query,gt_key1,gt_val1,gt_key2,gt_val2,gt_key3,gt_val3,gt_key4,gt_val4,gt_key5,gt_val5,gt_key6,gt_val6,gt_key7,gt_val7,gt_key8,gt_val8,gt_key9,gt_val9,gt_key10,gt_val10,gt_key11,gt_val11,,qmeans_key1,qmeans_val1,qmeans_key2,qmeans_val2,qmeans_key3,qmeans_val3,qmeans_key4,qmeans_val4,qmeans_key5,qmeans_val5,qmeans_key6,qmeans_val6,qmeans_key7,qmeans_val7,,gemma_key1,gemma_val1,gemma_key2,gemma_val2,gemma_key3,gemma_val3,gemma_key4,gemma_val4,gemma_key5,gemma_val5,gemma_key6,gemma_val6,gemma_key7,gemma_val7,gemma_key8,gemma_val8,gemma_key9,gemma_val9,,qmeans_key_match,gemma_key_match,qmeans_kv_match,gemma_kv_match,qmeans_val_any_match,gemma_val_any_match,total_gold_attrs
Jencoder Hollow Shaft Rotary Encoder J-50T,brand,Jencoder,part type,encoder,shaft diameter,hollow shaft,feature,rotary,model name/number,J-50T,,,,,,,,,,,,,,model name/number,j-50t,brand,jencoder,encoder type,shaft rotary encoder,product,hollow shaft rotary encoder,,,,,,,,part type,encoder,model name/number,J-50T,feature,Hollow Shaft,brand,Jencoder,,,,,,,,,,,,2,4,2,3,2,4,5
110HS20 Two Phase Stepper Motor,part type,motor,driven type,stepper,phase,2,model name/number,110HS20,,,,,,,,,,,,,,,,model name/number,110hs20,motor type,stepper motor,phase,two phase,product,stepper motor,,,,,,,,part type,stepper motor,model name/number,110HS20,driven type,two phase,,,,,,,,,,,,,,2,3,1,1,1,1,4
Toothed Belt Axis Egc-tb,part type,belt axis,model name/number,Egc-tb,feature,toothed,,,,,,,,,,,,,,,,,,model number,egc-tb,type,toothed belt,product,toothed belt,,,,,,,,,,part type,toothed belt,model name/number,Egc-tb,,,,,,,,,,,,,,,,0,2,0,1,1,1,3
lifting-column-actuator,part type,actuator,feature,lifting column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Electric Rotary Actuators,part type,actuator,power source,electric,feature,rotary,,,,,,,,,,,,,,,,,,power source,electric,actuator type,rotary,product,electric rotary actuators,,,,,,,,,,part type,actuators,driven type,electric,feature,rotary,,,,,,,,,,,,,,1,2,1,1,2,2,3
Single Phase Motors,part type,motor,phase,single,,,,,,,,,,,,,,,,,,,,phase,single phase,product,single phase motors,,,,,,,,,,,,part type,motor,phase,Single Phase,,,,,,,,,,,,,,,,1,2,0,1,0,1,2
AC Servo Motor,part type,motor,power source,AC,driven type,servo,,,,,,,,,,,,,,,,,,motor type,ac,product,ac servo motor,,,,,,,,,,,,part type,servo motor,driven type,AC,,,,,,,,,,,,,,,,0,2,0,0,1,1,3
Unbalance Motors,part type,motor,feature,unbalance,,,,,,,,,,,,,,,,,,,,product,motors,,,,,,,,,,,,,,part type,motors,feature,Unbalance,,,,,,,,,,,,,,,,0,2,0,1,0,1,2
Starters,part type,starter,,,,,,,,,,,,,,,,,,,,,,product,starters,,,,,,,,,,,,,,part type,starters,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1
industrial-electric-motor,part type,motor,power source,electric,application,industrial,,,,,,,,,,,,,,,,,,usage,industrial-electric-motor,product,industrial-electric-motor,,,,,,,,,,,,part type,motor,power source,electric,usage,industrial,,,,,,,,,,,,,,0,2,0,2,0,3,3
siemens motor,brand,siemens,part type,motor,,,,,,,,,,,,,,,,,,,,part type,motor,brand,siemens,product,siemens motor,,,,,,,,,,brand,siemens,part type,motor,,,,,,,,,,,,,,,,2,2,2,2,2,2,2
Marsh Actuators,brand,Marsh,part type,actuator,,,,,,,,,,,,,,,,,,,,product,actuators,brand,marsh,,,,,,,,,,,,part type,actuators,brand,Marsh,,,,,,,,,,,,,,,,1,2,1,1,1,1,2
Spindle Motors,part type,motor,usage,spindle,,,,,,,,,,,,,,,,,,,,product,spindle motors,,,,,,,,,,,,,,part type,Spindle Motors,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,2
carbon brush size: 08 x 20 x 30mm,part type,carbon brush,size,08 x 20 x 30mm,,,,,,,,,,,,,,,,,,,,size,08 x 20 x 30mm,type,carbon brush,product,carbon brush,,,,,,,,,,size,08 x 20 x 30mm,material,carbon,,,,,,,,,,,,,,,,1,1,1,1,2,1,2
1FK2104-6AF01-1SB0,model name/number,1FK2104-6AF01-1SB0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model name/number,1FK2104-6AF01-1SB0,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1
spal blower motor,brand,spal,part type,motor,usage,blower,,,,,,,,,,,,,,,,,,brand,spal,product,blower motor,,,,,,,,,,,,part type,blower motor,brand,spal,,,,,,,,,,,,,,,,1,2,1,1,1,1,3
VDS Automatic Sliding Gate Motor,brand,VDS,part type,motor,usage,sliding gate,feature,automatic,,,,,,,,,,,,,,,,automation grade,automatic,usage,sliding gate,brand,vds,product,automatic sliding gate motor,,,,,,,,part type,motor,brand,VDS,feature,Automatic Sliding Gate,,,,,,,,,,,,,,2,3,2,2,3,2,4
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,part type,motor,driven type,bldc,model name/number,Sa42bld002,rpm,3000 Rpm,voltage,24vdc,power,52 Watt,,,,,,,,,,,,voltage,24vdc,speed,3000 rpm,power,52 watt,motor type,bldc,model name/number,sa42bld002,product,bldc motor,,,,part type,motor,brand,Sa42bld002,driven type,BLDC,rpm,3000,voltage,24vdc,power,52 Watt,,,,,,,,3,5,3,4,5,5,6
Electric Actuator,part type,actuator,power source,electric,,,,,,,,,,,,,,,,,,,,power source,electric,product,electric actuator,,,,,,,,,,,,part type,actuator,power source,electric,,,,,,,,,,,,,,,,1,2,1,2,1,2,2
Hollow Shaft Rotary Encoder :Jencoder,brand,Jencoder,part type,encoder,shaft diameter,hollow shaft,feature,rotary,,,,,,,,,,,,,,,,encoder type,rotary,product,hollow shaft rotary encoder,,,,,,,,,,,,part type,rotary encoder,brand,Jencoder,feature,hollow shaft,,,,,,,,,,,,,,0,3,0,1,1,2,4
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,part type,fridge magnets,material,neodymium acrylic,size,2 x 2 inch,shape,square,quantity,75,feature,polaroid photo print,,,,,,,,,,,,size,2 x 2 inch,number of beads,75,material,acrylic,usage,fridge,pattern,photo,shape,square,product,polaroid fridge magnets,,part type,magnets,shape,square,material,acrylic,size,2 x 2 inch,quantity,75,,,,,,,,,,3,5,2,3,3,3,6
double shaft encoder gear motor,part type,motor,driven type,geared,feature,double shaft encoder,,,,,,,,,,,,,,,,,,shaft type,double shaft,motor type,gear motor,product,shaft encoder,,,,,,,,,,part type,encoder,driven type,gear,feature,double shaft,,,,,,,,,,,,,,0,3,0,0,0,0,3
960 rpm 1 foot mounted 15 hp three phase electric motor,part type,motor,rpm,960 rpm,mounting type,foot mounted,horsepower,15 hp,phase,3,power source,electric,,,,,,,,,,,,motor hp,15 hp,full load rpm,960 rpm,product,three phase electric motor,mounting type,foot,,,,,,,,part type,motor,brand,,driven type,three phase,model name/number,,feature,1 foot mounted,power,15 hp,rpm,960,phase,three,,,,1,3,0,1,2,2,6
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,brand,SIEMENS,part type,motor,series,SIMOTICS S-1FK2,driven type,servo,model name/number,1FK2104-6AF10-0MB0,power,1 kW,,,,,,,,,,,,power,1 kw,model name/number,1fk2104-6af10-0mb0,usage,servo motor,brand,siemens,product,servo motor,,,,,,part type,servo motor,brand,SIEMENS,model name/number,SIMOTICS S-1FK2 1FK2104-6AF10-0MB0,power,1 kW,,,,,,,,,,,,3,4,3,2,3,2,6
Y07-59d1-17155 Stepper Motor,part type,motor,driven type,stepper,model name/number,Y07-59d1-17155,,,,,,,,,,,,,,,,,,motor type,stepper motor,model name/number,y07-59d1-17155,product,stepper motor,,,,,,,,,,part type,Stepper Motor,model name/number,Y07-59d1-17155,,,,,,,,,,,,,,,,1,2,1,1,1,1,3
Schneider Electric BSH0703P11A2A Servo Motor,brand,Schneider Electric,part type,motor,driven type,servo,model name/number,BSH0703P11A2A,,,,,,,,,,,,,,,,model name/number,bsh0703p11a2a,usage,servo motor,product,schneider electric,,,,,,,,,,part type,servo motor,brand,Schneider Electric,model name/number,BSH0703P11A2A,,,,,,,,,,,,,,1,3,1,2,2,2,4
bldc motor,part type,motor,driven type,bldc,,,,,,,,,,,,,,,,,,,,motor type,bldc,part type,motor,product,bldc motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,2
double shaft gear motor,part type,motor,driven type,geared,feature,double shaft,,,,,,,,,,,,,,,,,,motor type,gear motor,product,gear motor,,,,,,,,,,,,part type,motor,driven type,gear,feature,double shaft,,,,,,,,,,,,,,0,3,0,2,0,2,3
ATS22 Softstarter Repair Service,part type,starter,starter type,soft,series,ATS22,feature,repair service,,,,,,,,,,,,,,,,model name/number,ats22,service,softstarter repair,product,repair service,,,,,,,,,,part type,Softstarter,model name/number,ATS22,usage,Repair Service,,,,,,,,,,,,,,0,1,0,0,2,2,4
ac bus blower motor 24 v spal,brand,spal,part type,motor,power source,ac,usage,bus blower,voltage,24 v,,,,,,,,,,,,,,voltage,24 v,motor type,ac,usage,bus,brand,spal,product,blower motor,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,3,0,5
dc motor 8 watt,part type,motor,power source,dc,power,8 watt,,,,,,,,,,,,,,,,,,power,8 watt,motor type,dc,product,dc motor,,,,,,,,,,power,8 watt,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,3
crompton-greaves-industrial-motors,brand,crompton greaves,part type,motor,application,industrial,,,,,,,,,,,,,,,,,,product,crompton-greaves-industrial-motors,,,,,,,,,,,,,,brand,crompton-greaves,part type,motors,usage,industrial,,,,,,,,,,,,,,0,2,0,0,0,1,3
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,part type,motor,power source,ac,usage,bus blower fan,rpm,1330 RPM,feature,dual shaft,,,,,,,,,,,,,,speed,1330 rpm,usage,bus,shaft type,dual shaft,part type,motor,product,blower fan,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,3,0,5
air  conditioning dual shaft 1330 RPM BLOWER FAN MOTOR,part type,motor,usage,air conditioning blower fan,rpm,1330 RPM,feature,dual shaft,,,,,,,,,,,,,,,,speed,1330 rpm,usage,air conditioning,shaft type,dual shaft,part type,motor,product,air conditioning,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,3,0,4
Siemens Servo Motors,brand,Siemens,part type,motor,driven type,servo,,,,,,,,,,,,,,,,,,brand,siemens,product,siemens servo motors,,,,,,,,,,,,part type,servo motors,brand,Siemens,,,,,,,,,,,,,,,,1,2,1,1,1,1,3
Kitchen Chimney Motor,part type,motor,usage,kitchen chimney,,,,,,,,,,,,,,,,,,,,usage,kitchen chimney,part type,motor,product,kitchen chimney motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,brand,SIEMENS,part type,motor,series,SIMOTICS S-1FK2,driven type,servo,model name/number,1FK2106-4AF10-0MA0,power,2.7 kW,,,,,,,,,,,,model name/number,1fk2106-4af10-0ma0,power,2.7 kw,usage,servo motor,brand,siemens,product,servo motor,,,,,,part type,servo motor,brand,SIEMENS,model name/number,SIMOTICS S-1FK2 1FK2106-4AF10-0MA0,power,2.7 kW,,,,,,,,,,,,3,4,3,2,3,2,6
Slip Ring Motor,part type,motor,driven type,slip ring,,,,,,,,,,,,,,,,,,,,motor type,ring,motor part type,slip,product,slip ring motor,,,,,,,,,,part type,motor,driven type,slip ring,,,,,,,,,,,,,,,,0,2,0,2,0,2,2
Break Motor,part type,motor,feature,brake,,,,,,,,,,,,,,,,,,,,part type,motor,product,break motor,,,,,,,,,,,,part type,brake motor,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,2
3 phase 15hp motor starter,part type,motor starter,phase,3,horsepower,15hp,,,,,,,,,,,,,,,,,,power,15hp,phase,3 phase,usage,motor starter,product,motor starter,,,,,,,,part type,motor starter,phase,3 phase,horsepower,15hp,,,,,,,,,,,,,,1,3,0,2,2,2,3
DC Carbon,part type,carbon,power source,DC,,,,,,,,,,,,,,,,,,,,material,carbon,product,carbon,,,,,,,,,,,,part type,brush,material,DC Carbon,,,,,,,,,,,,,,,,0,1,0,0,1,0,2
external motor rotor die casting,part type,motor rotor,feature,external die casting,,,,,,,,,,,,,,,,,,,,casting method,die casting,usage,motor,product,rotor die casting,,,,,,,,,,part type,rotor,driven type,external,,,,,,,,,,,,,,,,0,1,0,0,0,0,2
c 10 micro 2900 bldc moter,part type,motor,driven type,bldc,model name/number,c 10 micro 2900,,,,,,,,,,,,,,,,,,motor type,bldc,model name/number,c 10 micro 2900,product,micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,3
extra power breaker 1 power tool armature,part type,armature,usage,power tool,feature,extra power breaker,quantity,1,,,,,,,,,,,,,,,,motor part type,armature,product,power tool armature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4
Gear Motor,part type,motor,driven type,geared,,,,,,,,,,,,,,,,,,,,motor type,gear,product,gear motor,,,,,,,,,,,,part type,motor,driven type,gear,,,,,,,,,,,,,,,,0,2,0,1,0,1,2
Liquid Resistance Starter,part type,starter,starter type,liquid resistance,,,,,,,,,,,,,,,,,,,,form,liquid,product,liquid resistance starter,,,,,,,,,,,,part type,starter,feature,liquid resistance,,,,,,,,,,,,,,,,0,1,0,1,0,2,2
a c blower motor spal,brand,spal,part type,motor,usage,a c blower,,,,,,,,,,,,,,,,,,usage,blower,brand,spal,product,a c blower motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,1,0,3
1HP Single Phase Godrej Lawkim Foot Mounted,brand,Godrej Lawkim,part type,motor,horsepower,1HP,phase,single,mounting type,foot mounted,,,,,,,,,,,,,,motor horsepower,1hp,brand,godrej,model name/number,lawkim,phase,single phase,product,1hp single phase,,,,,,brand,Godrej,part type,motor,horsepower,1HP,phase,Single Phase,mounting type,Foot Mounted,,,,,,,,,,2,5,0,3,1,3,5
Automatic Sliding Gate Motor,part type,motor,usage,sliding gate,feature,automatic,,,,,,,,,,,,,,,,,,automation grade,automatic,usage,sliding gate,product,automatic sliding gate motor,,,,,,,,,,part type,motor,driven type,sliding gate,feature,automatic,,,,,,,,,,,,,,1,2,1,2,2,3,3
fcma soft starter,part type,starter,starter type,soft,series,fcma,,,,,,,,,,,,,,,,,,starter type,soft starter,product,fcma soft starter,,,,,,,,,,,,part type,soft starter,model name/number,fcma,,,,,,,,,,,,,,,,1,1,0,0,0,1,3
three phase 1 mini dol automatic-switch,part type,auto switch,phase,3,starter type,dol,size,mini,feature,automatic,quantity,1,,,,,,,,,,,,phase,three phase,product,automatic-switch,,,,,,,,,,,,part type,mini,phase,three phase,starter type,automatic-switch,,,,,,,,,,,,,,1,3,0,0,0,1,6
push button shutter motor,part type,motor,usage,shutter,feature,push button,,,,,,,,,,,,,,,,,,switch type,push button,usage,shutter,product,shutter motor,,,,,,,,,,part type,shutter motor,driven type,push button,,,,,,,,,,,,,,,,1,1,1,0,2,1,3
SIEMENS 1LE7501â€‘1BB23â€‘5AA4,brand,SIEMENS,model name/number,1LE7501â€‘1BB23â€‘5AA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
blower-motors,part type,motor,usage,blower,,,,,,,,,,,,,,,,,,,,product,blower-motors,,,,,,,,,,,,,,part type,blower,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
Servo Motor Repairing Service,part type,motor,driven type,servo,feature,repair service,,,,,,,,,,,,,,,,,,service,repairing,we repair,servo motor,product,servo motor repairing service,,,,,,,,,,part type,servo motor,usage,repairing service,,,,,,,,,,,,,,,,0,1,0,0,0,0,3
Petrosa Starter medium 200 Grams,brand,Petrosa,part type,starter,size,medium,weight,200 Grams,,,,,,,,,,,,,,,,size,medium 200 grams,product,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,4
automatic switch,part type,auto switch,feature,automatic,,,,,,,,,,,,,,,,,,,,switch operation,automatic,product,automatic switch,,,,,,,,,,,,feature,automatic,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,2
Telescopic Linear Actuators,part type,actuator,driven type,linear,feature,telescopic,,,,,,,,,,,,,,,,,,actuator type,linear,product,linear actuators,,,,,,,,,,,,part type,actuator,driven type,linear,feature,telescopic,,,,,,,,,,,,,,0,3,0,3,1,3,3
speed on  outdoor motar,part type,motor,usage,outdoor,feature,speed on,,,,,,,,,,,,,,,,,,usage,outdoor,brand,speed on,product,outdoor,,,,,,,,,,part type,motar,usage,outdoor,driven type,speed on,,,,,,,,,,,,,,1,2,1,1,2,2,3
Motor Automatic Switch,part type,auto switch,usage,motor,feature,automatic,,,,,,,,,,,,,,,,,,switch operation,automatic,usage,motor,product,motor automatic switch,,,,,,,,,,part type,Automatic Switch,,,,,,,,,,,,,,,,,,1,1,1,0,2,0,3
speed on outdoor motar,part type,motor,usage,outdoor,feature,speed on,,,,,,,,,,,,,,,,,,usage,outdoor,brand,speed on,product,outdoor,,,,,,,,,,usage,outdoor,part type,motar,,,,,,,,,,,,,,,,1,2,1,1,2,1,3
Crompton Greaves Flameproof IE3 Motor,brand,Crompton Greaves,part type,motor,feature,flameproof,efficiency,IE3,,,,,,,,,,,,,,,,brand,crompton,features,flameproof,efficiency,ie3,product,crompton greaves,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,3,0,4
a c blower motor spal 24v,brand,spal,part type,motor,usage,a c blower,voltage,24v,,,,,,,,,,,,,,,,voltage,24v,brand,spal,product,a c blower motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,4
brake motor,part type,motor,feature,brake,,,,,,,,,,,,,,,,,,,,part type,motor,product,brake motor,,,,,,,,,,,,part type,brake,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,2
star-delta-starter,part type,starter,starter type,star delta,,,,,,,,,,,,,,,,,,,,product,star-delta-starter,,,,,,,,,,,,,,part type,starter,feature,star delta,,,,,,,,,,,,,,,,0,1,0,1,0,2,2
deep vibrator motor,part type,motor,usage,deep vibrator,,,,,,,,,,,,,,,,,,,,product,vibrator motor,,,,,,,,,,,,,,part type,motor,feature,deep vibrator,,,,,,,,,,,,,,,,0,1,0,1,0,2,2
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,brand,Hydromatik Rexroth,part type,motor,driven type,hydraulic piston,model name/number,A2F-12-Wp6,,,,,,,,,,,,,,,,model name/number,a2f-12-wp6,type,hydraulic piston motor,product,hydraulic piston motor,,,,,,,,,,part type,motor,brand,Rexroth,model name/number,A2F-12-Wp6,driven type,Hydraulic Piston,,,,,,,,,,,,1,4,1,3,1,3,4
vibrator cover,part type,vibrator cover,,,,,,,,,,,,,,,,,,,,,,part type,cover,product,vibrator,,,,,,,,,,,,part type,cover,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1
Rotork Yt 3300 Smart Positioner,brand,Rotork,part type,positioner,model name/number,Yt 3300,feature,smart,,,,,,,,,,,,,,,,brand,rotork,type,smart positioner,model name/number,yt 3300,product,smart positioner,,,,,,,,part type,positioner,brand,Rotork,model name/number,Yt 3300,feature,Smart,,,,,,,,,,,,2,4,2,4,2,4,4
Concrete Vibrator Motor,part type,motor,usage,concrete vibrator,,,,,,,,,,,,,,,,,,,,usage,concrete vibrator,part type,motor,product,concrete vibrator motor,,,,,,,,,,part type,motor,usage,Concrete Vibrator,,,,,,,,,,,,,,,,2,2,2,2,2,2,2
blower motors in port blair,part type,motor,usage,blower,location/city,port blair,,,,,,,,,,,,,,,,,,product,blower motors,,,,,,,,,,,,,,part type,blower motors,location/city,port blair,,,,,,,,,,,,,,,,0,2,0,1,0,1,3
Hydromatik A2F-107 Hydraulic Piston Pump Motor,brand,Hydromatik,part type,pump motor,driven type,hydraulic piston,model name/number,A2F-107,,,,,,,,,,,,,,,,model name/number,a2f-107,type,hydraulic,brand,hydromatik,pump type,piston pump,product,hydraulic piston pump,,,,,,part type,motor,brand,Hydromatik,model name/number,A2F-107,driven type,Hydraulic Piston Pump,,,,,,,,,,,,2,4,2,2,2,2,4
"Rexroth A2Fo180, A2Fm180, A2Fo160, A2Fm160 Drive Shaft And Bearing Assembly 50Mm",brand,Rexroth,part type,drive shaft and bearing assembly,model name/number,"A2Fo180, A2Fm180, A2Fo160, A2Fm160",shaft diameter,50Mm,,,,,,,,,,,,,,,,model name/number,"a2fo180, a2fm180, a2fo160, a2fm160",brand,rexroth,product,bearing assembly,,,,,,,,,,part type,Drive Shaft And Bearing Assembly,brand,Rexroth,model name/number,"A2Fo180, A2Fm180, A2Fo160, A2Fm160",shaft diameter,50Mm,,,,,,,,,,,,2,4,2,4,2,4,4
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,brand,Brueninghaus Hydromatik Rexroth,part type,motor,driven type,hydraulic piston,model name/number,A2Fm-28/61,,,,,,,,,,,,,,,,model name/number,a2fm-28/61,type,hydraulic piston motor,product,hydraulic piston motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,4
parker hydraulic motor,brand,parker,part type,motor,driven type,hydraulic,,,,,,,,,,,,,,,,,,type,hydraulic motor,brand,parker,product,parker hydraulic motor,,,,,,,,,,part type,motor,brand,parker,driven type,hydraulic,,,,,,,,,,,,,,1,3,1,3,1,3,3
Kirloskar Three Phase Induction Motor,brand,Kirloskar,part type,motor,phase,3,driven type,induction,,,,,,,,,,,,,,,,motor type,induction motor,brand,kirloskar,no of phase,three phase,product,kirloskar three phase induction motor,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,4
Three Phase Induction Motor,part type,motor,phase,3,driven type,induction,,,,,,,,,,,,,,,,,,motor type,induction,no of phase,three phase,product,three phase induction motor,,,,,,,,,,part type,motor,driven type,induction,phase,Three,,,,,,,,,,,,,,0,3,0,2,1,2,3
Hanning Motor for Bentone Burner,brand,Hanning,part type,motor,usage,Bentone Burner,,,,,,,,,,,,,,,,,,product,bentone burner,,,,,,,,,,,,,,part type,motor,brand,Hanning,usage,Bentone Burner,,,,,,,,,,,,,,0,3,0,3,1,3,3
hyundai/kia clutch actuator,brand,hyundai; kia,part type,actuator,usage,clutch,,,,,,,,,,,,,,,,,,actuator type,clutch actuator,product,actuator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,3
Remi Centrifuge Carbon Brushes,brand,Remi,part type,carbon brush,usage,centrifuge,,,,,,,,,,,,,,,,,,product,remi centrifuge carbon brushes,brand,remi,,,,,,,,,,,,part type,brushes,brand,Remi,material,Carbon,,,,,,,,,,,,,,1,2,1,1,1,1,3
2hp motor,part type,motor,horsepower,2hp,,,,,,,,,,,,,,,,,,,,power,2hp,part type,motor,product,2hp motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,2
aluminium die cast rotors,part type,rotors,material,aluminium die cast,,,,,,,,,,,,,,,,,,,,material,aluminium,product,aluminium die cast rotors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,2
bhavani induction motor,brand,bhavani,part type,motor,driven type,induction,,,,,,,,,,,,,,,,,,motor type,induction,product,induction motor,,,,,,,,,,,,part type,induction motor,brand,bhavani,,,,,,,,,,,,,,,,0,2,0,1,1,1,3
DC Motor,part type,motor,power source,DC,,,,,,,,,,,,,,,,,,,,motor type,dc,product,dc motor,,,,,,,,,,,,part type,motor,driven type,DC,,,,,,,,,,,,,,,,0,1,0,1,1,2,2
Intermot hydro motors 800cc,brand,Intermot,part type,motor,driven type,hydraulic,displacement,800cc,,,,,,,,,,,,,,,,displacement,800cc,brand,intermot,product,hydro motors,,,,,,,,,,part type,motors,brand,Intermot,model name/number,hydro,displacement,800cc,,,,,,,,,,,,2,3,2,2,2,2,4
Mobile Starter,part type,starter,feature,mobile,,,,,,,,,,,,,,,,,,,,feeder type,starter,product,mobile starter,,,,,,,,,,,,part type,starter,usage,mobile,,,,,,,,,,,,,,,,0,1,0,1,1,2,2
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,brand,SIEMENS,part type,motor,series,SIMOTICS S-1FK2,driven type,servo,model name/number,1FK2204-5AK01-0MB0,power,0.12 kW,,,,,,,,,,,,power,0.12 kw,model name/number,1fk2204-5ak01-0mb0,usage,servo motor,brand,siemens,product,servo motor,,,,,,part type,servo motor,brand,SIEMENS,model name/number,SIMOTICS S-1FK2 1FK2204-5AK01-0MB0,power,0.12 kW,,,,,,,,,,,,3,4,3,2,3,2,6
Single Phase Induction Motor,part type,motor,phase,single,driven type,induction,,,,,,,,,,,,,,,,,,motor type,induction,no of phase,single phase,product,single phase induction motor,,,,,,,,,,part type,motor,driven type,induction,phase,single phase,,,,,,,,,,,,,,0,3,0,2,1,2,3
5 watts motor rexnord rec-8313-05-a2,brand,rexnord,part type,motor,power,5 watts,model name/number,rec-8313-05-a2,,,,,,,,,,,,,,,,power,5 watts,model name/number,rec-8313-05-a2,brand,rexnord,product,rexnord,,,,,,,,power,5 watts,model name/number,rec-8313-05-a2,part type,motor,,,,,,,,,,,,,,3,3,3,3,3,3,4
AC Fan Motor,part type,motor,power source,AC,usage,fan,,,,,,,,,,,,,,,,,,part type,motor,product,ac fan motor,,,,,,,,,,,,part type,motor,driven type,AC,feature,Fan,,,,,,,,,,,,,,1,1,1,1,1,3,3
helical-geared-motor,part type,motor,driven type,helical geared,,,,,,,,,,,,,,,,,,,,gear type,helical-geared-motor,product,helical-geared-motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
three phase electric motor 20 hp 960 rpm,part type,motor,phase,3,power source,electric,horsepower,20 hp,rpm,960 rpm,,,,,,,,,,,,,,speed,960 rpm,power source,electric,no of phase,three phase,product,three phase electric motor,,,,,,,,part type,motor,brand,,driven type,electric,power,20 hp,phase,three phase,rpm,960,,,,,,,,1,3,1,1,2,3,5
three phase electric motor near agra 20 hp 960 rpm,part type,motor,phase,3,power source,electric,horsepower,20 hp,rpm,960 rpm,location/city,agra,,,,,,,,,,,,power,20 hp,speed,960 rpm,power source,electric,no of phase,three phase,product,three phase electric motor,,,,,,part type,motor,brand,electric,driven type,three phase,model name/number,960 rpm,horsepower,20 hp,location/city,agra,,,,,,,,1,3,1,3,3,5,6
gsm mobile starter,part type,starter,feature,gsm mobile,,,,,,,,,,,,,,,,,,,,product,gsm mobile starter,,,,,,,,,,,,,,part type,starter,feature,gsm mobile,,,,,,,,,,,,,,,,0,2,0,2,0,2,2
Domestic Appliance Motors,part type,motor,application,domestic appliance,,,,,,,,,,,,,,,,,,,,usage,domestic,product,domestic appliance,,,,,,,,,,,,part type,motor,usage,Domestic Appliance,,,,,,,,,,,,,,,,0,1,0,1,1,2,2
schneider soft starter,brand,schneider,part type,starter,starter type,soft,,,,,,,,,,,,,,,,,,brand,schneider,starter type,soft starter,product,schneider soft starter,,,,,,,,,,part type,soft starter,brand,schneider,,,,,,,,,,,,,,,,2,2,1,1,1,1,3
Door han,,,,,,,,,,,,,,,,,,,,,,,,product,door,,,,,,,,,,,,,,usage,Door,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
