query,ok,key_count,attributes_json
el%20tech%20motors,True,1,"{""model number"": ""el%20tech%20motors""}"
Leadshine ISV5713V36 1000 AC Servo Motor,True,5,"{""motor type"": ""ac"", ""model name/number"": ""isv5713v36"", ""brand"": ""leadshine"", ""usage"": ""servo motor"", ""product"": ""ac servo motor""}"
PDA Sliding Gate Motor,True,2,"{""usage"": ""sliding gate"", ""product"": ""sliding gate motor""}"
42 HS 02 Two Phase Stepper Motor,True,4,"{""model name/number"": ""42 hs 02"", ""motor type"": ""stepper motor"", ""phase"": ""two phase"", ""product"": ""stepper motor""}"
Jencoder Hollow Type  Rotary Encoder J-50T,True,3,"{""brand"": ""jencoder"", ""encoder type"": ""rotary"", ""product"": ""rotary encoder""}"
Inverter Duty Induction Motors,True,3,"{""motor type"": ""induction"", ""features"": ""inverter"", ""product"": ""induction motors""}"
39 HS 02 Two Phase Stepper Motor,True,4,"{""model name/number"": ""39 hs 02"", ""motor type"": ""stepper motor"", ""phase"": ""two phase"", ""product"": ""stepper motor""}"
aluminium bell,True,2,"{""material"": ""aluminium"", ""product"": ""aluminium""}"
spindle-motors,True,1,"{""product"": ""spindle-motors""}"
Schneider Ats48 Soft Starter Repairs,True,3,"{""model name/number"": ""ats48"", ""brand"": ""schneider"", ""product"": ""schneider ats48 soft starter""}"
Jencoder Rotory Encoder : Hollow Type,True,2,"{""brand"": ""jencoder"", ""product"": ""rotory encoder""}"
swing starter,True,3,"{""feeder type"": ""starter"", ""lid type"": ""swing"", ""product"": ""starter""}"
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,True,5,"{""voltage"": ""12v dc"", ""speed"": ""30rpm"", ""model name/number"": ""ig32"", ""brand"": ""rhino"", ""product"": ""planetary geared motor""}"
18 inch g c exhaust fan motor housing,True,4,"{""size"": ""18 inch"", ""usage"": ""exhaust fan"", ""motor part type"": ""motor housing"", ""product"": ""exhaust fan motor""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,True,4,"{""model name/number"": ""1fk2104-6af01-1sb0"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
12v bldc,True,2,"{""voltage"": ""12v"", ""motor type"": ""bldc""}"
1 Inch Kit Cooler Motor,True,2,"{""usage"": ""cooler motor"", ""product"": ""cooler motor""}"
Jencoder Hollow Shaft Rotary Encoder J-50T,True,4,"{""model name/number"": ""j-50t"", ""brand"": ""jencoder"", ""encoder type"": ""shaft rotary encoder"", ""product"": ""hollow shaft rotary encoder""}"
110HS20 Two Phase Stepper Motor,True,4,"{""model name/number"": ""110hs20"", ""motor type"": ""stepper motor"", ""phase"": ""two phase"", ""product"": ""stepper motor""}"
Toothed Belt Axis Egc-tb,True,3,"{""model number"": ""egc-tb"", ""type"": ""toothed belt"", ""product"": ""toothed belt""}"
lifting-column-actuator,True,0,{}
Electric Rotary Actuators,True,3,"{""power source"": ""electric"", ""actuator type"": ""rotary"", ""product"": ""electric rotary actuators""}"
Single Phase Motors,True,2,"{""phase"": ""single phase"", ""product"": ""single phase motors""}"
AC Servo Motor,True,2,"{""motor type"": ""ac"", ""product"": ""ac servo motor""}"
Unbalance Motors,True,1,"{""product"": ""motors""}"
Starters,True,1,"{""product"": ""starters""}"
industrial-electric-motor,True,2,"{""usage"": ""industrial-electric-motor"", ""product"": ""industrial-electric-motor""}"
siemens motor,True,3,"{""part type"": ""motor"", ""brand"": ""siemens"", ""product"": ""siemens motor""}"
Marsh Actuators,True,2,"{""product"": ""actuators"", ""brand"": ""marsh""}"
Spindle Motors,True,1,"{""product"": ""spindle motors""}"
carbon brush size: 08 x 20 x 30mm,True,3,"{""size"": ""08 x 20 x 30mm"", ""type"": ""carbon brush"", ""product"": ""carbon brush""}"
1FK2104-6AF01-1SB0,True,0,{}
spal blower motor,True,2,"{""brand"": ""spal"", ""product"": ""blower motor""}"
VDS Automatic Sliding Gate Motor,True,4,"{""automation grade"": ""automatic"", ""usage"": ""sliding gate"", ""brand"": ""vds"", ""product"": ""automatic sliding gate motor""}"
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,True,6,"{""voltage"": ""24vdc"", ""speed"": ""3000 rpm"", ""power"": ""52 watt"", ""motor type"": ""bldc"", ""model name/number"": ""sa42bld002"", ""product"": ""bldc motor""}"
Electric Actuator,True,2,"{""power source"": ""electric"", ""product"": ""electric actuator""}"
Hollow Shaft Rotary Encoder :Jencoder,True,2,"{""encoder type"": ""rotary"", ""product"": ""hollow shaft rotary encoder""}"
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,True,7,"{""size"": ""2 x 2 inch"", ""number of beads"": ""75"", ""material"": ""acrylic"", ""usage"": ""fridge"", ""pattern"": ""photo"", ""shape"": ""square"", ""product"": ""polaroid fridge magnets""}"
double shaft encoder gear motor,True,3,"{""shaft type"": ""double shaft"", ""motor type"": ""gear motor"", ""product"": ""shaft encoder""}"
960 rpm 1 foot mounted 15 hp three phase electric motor,True,4,"{""motor hp"": ""15 hp"", ""full load rpm"": ""960 rpm"", ""product"": ""three phase electric motor"", ""mounting type"": ""foot""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,True,5,"{""power"": ""1 kw"", ""model name/number"": ""1fk2104-6af10-0mb0"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
Y07-59d1-17155 Stepper Motor,True,3,"{""motor type"": ""stepper motor"", ""model name/number"": ""y07-59d1-17155"", ""product"": ""stepper motor""}"
Schneider Electric BSH0703P11A2A Servo Motor,True,3,"{""model name/number"": ""bsh0703p11a2a"", ""usage"": ""servo motor"", ""product"": ""schneider electric""}"
bldc motor,True,3,"{""motor type"": ""bldc"", ""part type"": ""motor"", ""product"": ""bldc motor""}"
double shaft gear motor,True,2,"{""motor type"": ""gear motor"", ""product"": ""gear motor""}"
ATS22 Softstarter Repair Service,True,3,"{""model name/number"": ""ats22"", ""service"": ""softstarter repair"", ""product"": ""repair service""}"
ac bus blower motor 24 v spal,True,5,"{""voltage"": ""24 v"", ""motor type"": ""ac"", ""usage"": ""bus"", ""brand"": ""spal"", ""product"": ""blower motor""}"
dc motor 8 watt,True,3,"{""power"": ""8 watt"", ""motor type"": ""dc"", ""product"": ""dc motor""}"
crompton-greaves-industrial-motors,True,1,"{""product"": ""crompton-greaves-industrial-motors""}"
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,True,5,"{""speed"": ""1330 rpm"", ""usage"": ""bus"", ""shaft type"": ""dual shaft"", ""part type"": ""motor"", ""product"": ""blower fan""}"
air  conditioning dual shaft 1330 RPM BLOWER FAN MOTOR,True,5,"{""speed"": ""1330 rpm"", ""usage"": ""air conditioning"", ""shaft type"": ""dual shaft"", ""part type"": ""motor"", ""product"": ""air conditioning""}"
Siemens Servo Motors,True,2,"{""brand"": ""siemens"", ""product"": ""siemens servo motors""}"
Kitchen Chimney Motor,True,3,"{""usage"": ""kitchen chimney"", ""part type"": ""motor"", ""product"": ""kitchen chimney motor""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,True,5,"{""model name/number"": ""1fk2106-4af10-0ma0"", ""power"": ""2.7 kw"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
Slip Ring Motor,True,3,"{""motor type"": ""ring"", ""motor part type"": ""slip"", ""product"": ""slip ring motor""}"
Break Motor,True,2,"{""part type"": ""motor"", ""product"": ""break motor""}"
3 phase 15hp motor starter,True,4,"{""power"": ""15hp"", ""phase"": ""3 phase"", ""usage"": ""motor starter"", ""product"": ""motor starter""}"
DC Carbon,True,2,"{""material"": ""carbon"", ""product"": ""carbon""}"
external motor rotor die casting,True,3,"{""casting method"": ""die casting"", ""usage"": ""motor"", ""product"": ""rotor die casting""}"
c 10 micro 2900 bldc moter,True,3,"{""motor type"": ""bldc"", ""model name/number"": ""c 10 micro 2900"", ""product"": ""micro""}"
extra power breaker 1 power tool armature,True,2,"{""motor part type"": ""armature"", ""product"": ""power tool armature""}"
Gear Motor,True,2,"{""motor type"": ""gear"", ""product"": ""gear motor""}"
Liquid Resistance Starter,True,2,"{""form"": ""liquid"", ""product"": ""liquid resistance starter""}"
a c blower motor spal,True,3,"{""usage"": ""blower"", ""brand"": ""spal"", ""product"": ""a c blower motor""}"
1HP Single Phase Godrej Lawkim Foot Mounted,True,5,"{""motor horsepower"": ""1hp"", ""brand"": ""godrej"", ""model name/number"": ""lawkim"", ""phase"": ""single phase"", ""product"": ""1hp single phase""}"
Automatic Sliding Gate Motor,True,3,"{""automation grade"": ""automatic"", ""usage"": ""sliding gate"", ""product"": ""automatic sliding gate motor""}"
fcma soft starter,True,2,"{""starter type"": ""soft starter"", ""product"": ""fcma soft starter""}"
three phase 1 mini dol automatic-switch,True,2,"{""phase"": ""three phase"", ""product"": ""automatic-switch""}"
push button shutter motor,True,3,"{""switch type"": ""push button"", ""usage"": ""shutter"", ""product"": ""shutter motor""}"
SIEMENS 1LE7501â€‘1BB23â€‘5AA4,True,0,{}
blower-motors,True,1,"{""product"": ""blower-motors""}"
Servo Motor Repairing Service,True,3,"{""service"": ""repairing"", ""we repair"": ""servo motor"", ""product"": ""servo motor repairing service""}"
Petrosa Starter medium 200 Grams,True,2,"{""size"": ""medium 200 grams"", ""product"": ""medium""}"
automatic switch,True,2,"{""switch operation"": ""automatic"", ""product"": ""automatic switch""}"
Telescopic Linear Actuators,True,2,"{""actuator type"": ""linear"", ""product"": ""linear actuators""}"
speed on  outdoor motar,True,3,"{""usage"": ""outdoor"", ""brand"": ""speed on"", ""product"": ""outdoor""}"
Motor Automatic Switch,True,3,"{""switch operation"": ""automatic"", ""usage"": ""motor"", ""product"": ""motor automatic switch""}"
speed on outdoor motar,True,3,"{""usage"": ""outdoor"", ""brand"": ""speed on"", ""product"": ""outdoor""}"
Crompton Greaves Flameproof IE3 Motor,True,4,"{""brand"": ""crompton"", ""features"": ""flameproof"", ""efficiency"": ""ie3"", ""product"": ""crompton greaves""}"
a c blower motor spal 24v,True,3,"{""voltage"": ""24v"", ""brand"": ""spal"", ""product"": ""a c blower motor""}"
brake motor,True,2,"{""part type"": ""motor"", ""product"": ""brake motor""}"
star-delta-starter,True,1,"{""product"": ""star-delta-starter""}"
deep vibrator motor,True,1,"{""product"": ""vibrator motor""}"
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,True,3,"{""model name/number"": ""a2f-12-wp6"", ""type"": ""hydraulic piston motor"", ""product"": ""hydraulic piston motor""}"
vibrator cover,True,2,"{""part type"": ""cover"", ""product"": ""vibrator""}"
Rotork Yt 3300 Smart Positioner,True,4,"{""brand"": ""rotork"", ""type"": ""smart positioner"", ""model name/number"": ""yt 3300"", ""product"": ""smart positioner""}"
Concrete Vibrator Motor,True,3,"{""usage"": ""concrete vibrator"", ""part type"": ""motor"", ""product"": ""concrete vibrator motor""}"
blower motors in port blair,True,1,"{""product"": ""blower motors""}"
Hydromatik A2F-107 Hydraulic Piston Pump Motor,True,5,"{""model name/number"": ""a2f-107"", ""type"": ""hydraulic"", ""brand"": ""hydromatik"", ""pump type"": ""piston pump"", ""product"": ""hydraulic piston pump""}"
"Rexroth A2Fo180, A2Fm180, A2Fo160, A2Fm160 Drive Shaft And Bearing Assembly 50Mm",True,3,"{""model name/number"": ""a2fo180, a2fm180, a2fo160, a2fm160"", ""brand"": ""rexroth"", ""product"": ""bearing assembly""}"
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,True,3,"{""model name/number"": ""a2fm-28/61"", ""type"": ""hydraulic piston motor"", ""product"": ""hydraulic piston motor""}"
parker hydraulic motor,True,3,"{""type"": ""hydraulic motor"", ""brand"": ""parker"", ""product"": ""parker hydraulic motor""}"
Kirloskar Three Phase Induction Motor,True,4,"{""motor type"": ""induction motor"", ""brand"": ""kirloskar"", ""no of phase"": ""three phase"", ""product"": ""kirloskar three phase induction motor""}"
Three Phase Induction Motor,True,3,"{""motor type"": ""induction"", ""no of phase"": ""three phase"", ""product"": ""three phase induction motor""}"
Hanning Motor for Bentone Burner,True,1,"{""product"": ""bentone burner""}"
hyundai/kia clutch actuator,True,2,"{""actuator type"": ""clutch actuator"", ""product"": ""actuator""}"
Remi Centrifuge Carbon Brushes,True,2,"{""product"": ""remi centrifuge carbon brushes"", ""brand"": ""remi""}"
2hp motor,True,3,"{""power"": ""2hp"", ""part type"": ""motor"", ""product"": ""2hp motor""}"
aluminium die cast rotors,True,2,"{""material"": ""aluminium"", ""product"": ""aluminium die cast rotors""}"
bhavani induction motor,True,2,"{""motor type"": ""induction"", ""product"": ""induction motor""}"
DC Motor,True,2,"{""motor type"": ""dc"", ""product"": ""dc motor""}"
Intermot hydro motors 800cc,True,3,"{""displacement"": ""800cc"", ""brand"": ""intermot"", ""product"": ""hydro motors""}"
Mobile Starter,True,2,"{""feeder type"": ""starter"", ""product"": ""mobile starter""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,True,5,"{""power"": ""0.12 kw"", ""model name/number"": ""1fk2204-5ak01-0mb0"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
Single Phase Induction Motor,True,3,"{""motor type"": ""induction"", ""no of phase"": ""single phase"", ""product"": ""single phase induction motor""}"
5 watts motor rexnord rec-8313-05-a2,True,4,"{""power"": ""5 watts"", ""model name/number"": ""rec-8313-05-a2"", ""brand"": ""rexnord"", ""product"": ""rexnord""}"
AC Fan Motor,True,2,"{""part type"": ""motor"", ""product"": ""ac fan motor""}"
helical-geared-motor,True,2,"{""gear type"": ""helical-geared-motor"", ""product"": ""helical-geared-motor""}"
three phase electric motor 20 hp 960 rpm,True,4,"{""speed"": ""960 rpm"", ""power source"": ""electric"", ""no of phase"": ""three phase"", ""product"": ""three phase electric motor""}"
three phase electric motor near agra 20 hp 960 rpm,True,5,"{""power"": ""20 hp"", ""speed"": ""960 rpm"", ""power source"": ""electric"", ""no of phase"": ""three phase"", ""product"": ""three phase electric motor""}"
gsm mobile starter,True,1,"{""product"": ""gsm mobile starter""}"
Domestic Appliance Motors,True,2,"{""usage"": ""domestic"", ""product"": ""domestic appliance""}"
schneider soft starter,True,3,"{""brand"": ""schneider"", ""starter type"": ""soft starter"", ""product"": ""schneider soft starter""}"
Door han,True,1,"{""product"": ""door""}"
linear-actuators,True,1,"{""product"": ""linear-actuators""}"
Motor Starter,True,2,"{""usage"": ""motor"", ""product"": ""motor starter""}"
Three Phase Electric Motor,True,3,"{""power source"": ""electric"", ""no of phase"": ""three phase"", ""product"": ""three phase electric motor""}"
l t mpower pro mobile motor starter,True,3,"{""brand"": ""l t"", ""usage"": ""motor starter"", ""product"": ""mobile motor starter""}"
Kenstar Air Cooler Motor With Pump,True,4,"{""usage"": ""cooler"", ""brand"": ""kenstar"", ""part type"": ""motor"", ""product"": ""kenstar air cooler motor""}"
Three Phase Motor,True,3,"{""part type"": ""motor"", ""phase"": ""three phase"", ""product"": ""three phase motor""}"
Pneumatic Actuators,True,2,"{""actuator type"": ""pneumatic"", ""product"": ""pneumatic actuators""}"
Crane Duty Geared Motor With Brake,True,1,"{""product"": ""geared motor""}"
1000 n (100 kg) 1 100 mm 24 v telescopic linear actuators,True,3,"{""stroke length"": ""100 mm"", ""voltage"": ""24 v"", ""product"": ""1000""}"
Pneumatic Rotary Actuators,True,1,"{""product"": ""pneumatic rotary actuators""}"
Petrosa Starter medium,True,3,"{""size"": ""medium"", ""feeder type"": ""starter"", ""product"": ""starter""}"
Pneumatic Rotary Actuator,True,3,"{""power source"": ""pneumatic"", ""actuator type"": ""rotary actuator"", ""product"": ""pneumatic rotary actuator""}"
Shade Pole Rexnord c Frame Motor Rec-6110-A2,True,4,"{""motor type"": ""c frame"", ""model name/number"": ""rec-6110-a2"", ""brand"": ""rexnord"", ""product"": ""c frame motor""}"
dc motor bush,True,3,"{""motor part type"": ""bush"", ""motor type"": ""dc"", ""product"": ""motor bush""}"
crompton motors 20 hp 3 phase 960 rpm,True,5,"{""power"": ""20 hp"", ""phase"": ""3 phase"", ""speed"": ""960 rpm"", ""brand"": ""crompton"", ""product"": ""crompton motors""}"
geared motors,True,1,"{""product"": ""geared motors""}"
ball screw or belt driven actuator,True,2,"{""actuator type"": ""screw"", ""product"": ""ball screw""}"
Die Cast Rotors,True,2,"{""technique"": ""die cast"", ""product"": ""die cast rotors""}"
Crompton Greaves Motor,True,3,"{""brand"": ""crompton"", ""part type"": ""motor"", ""product"": ""crompton greaves motor""}"
automation switches,True,2,"{""type of product"": ""switches"", ""product"": ""automation switches""}"
à¤•à¥à¤²à¥€à¤¨à¤° à¤ªà¥à¤°à¥‹à¤¡à¤•à¥à¤Ÿ à¤•à¥‡ à¤²à¤¿à¤ à¤•à¥‡à¤®à¤¿à¤•à¤² à¤•à¤¹à¤¾à¤‚ à¤®à¤¿à¤²à¤¤à¤¾ à¤¹à¥ˆ,True,0,{}
Aluminium Bell Housing,True,3,"{""material"": ""aluminium"", ""type"": ""bell"", ""product"": ""aluminium bell housing""}"
crompton motors 20 hp 3 phase near khair 960 rpm,True,5,"{""power"": ""20 hp"", ""phase"": ""3 phase"", ""speed"": ""960 rpm"", ""brand"": ""crompton"", ""product"": ""crompton motors""}"
SIEMENS 1FL6064-1AC61-2LA1 SIMOTICS S-1FL6-1FL6 Operating voltage 3AC 400 V,True,4,"{""model name/number"": ""1fl6064-1ac61-2la1"", ""input voltage"": ""400 v"", ""brand"": ""siemens"", ""product"": ""operating""}"
Danfoss/Eaton Char-Lynn 2000 series,True,2,"{""model name/number"": ""char-lynn 2000"", ""product"": ""series""}"
crompton greaves motors 20 hp 3 phase,True,3,"{""power"": ""20 hp"", ""brand"": ""crompton"", ""product"": ""crompton greaves motors""}"
Landt Motor Starter Mk1 Direct On Line (dol) (mk1 Dol 9-14 A.),True,5,"{""starter type"": ""dol"", ""brand"": ""landt"", ""model name/number"": ""mk1"", ""usage"": ""motor starter"", ""product"": ""motor starter""}"
fdhhdfh,True,0,{}
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR  1FK2106-4AF01-1SA0 2.7 kW,True,5,"{""model name/number"": ""1fk2106-4af01-1sa0"", ""power"": ""2.7 kw"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
Vibration Motor,True,1,"{""product"": ""vibration motor""}"
Remi Geared Motor,True,2,"{""brand"": ""remi"", ""product"": ""remi geared motor""}"
Tata Signa Bs4 Blower Motor,True,3,"{""part type"": ""blower motor"", ""suitable for"": ""signa bs4"", ""product"": ""blower motor""}"
Allen Bradley SMC-3 43A Smart Motor starer,True,3,"{""brand"": ""allen bradley"", ""model name/number"": ""smc-3 43a"", ""product"": ""allen bradley""}"
skill-3220-armature-powerbilt(9683),True,1,"{""model name/number"": ""skill-3220-armature-powerbilt(9683)""}"
50W Wall Fan Motor,True,3,"{""power"": ""50w"", ""usage"": ""wall fan"", ""product"": ""wall fan motor""}"
m9mz90g4yga panasonic gear motor /90watt/ three phase,True,5,"{""motor type"": ""gear motor"", ""model name/number"": ""m9mz90g4yga"", ""brand"": ""panasonic"", ""phase"": ""three phase"", ""product"": ""panasonic gear motor""}"
ll braider soft starer,True,1,"{""product"": ""soft""}"
kollmorgen servo motors akm63k-anc2r-00,True,4,"{""model name/number"": ""akm63k-anc2r-00"", ""brand"": ""kollmorgen"", ""usage"": ""servo"", ""product"": ""servo motors""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1MB0 0.12 kW,True,5,"{""power"": ""0.12 kw"", ""model name/number"": ""1fk2204-5ak01-1mb0"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
Crane Current Collector Carbon Brush,True,2,"{""product"": ""crane current collector carbon brush"", ""usage"": ""crane""}"
Pneumatic Actuatos,True,2,"{""power source"": ""pneumatic"", ""product"": ""pneumatic""}"
1440 rpm three phase 9841043643 3 hp crompton greaves motor,True,6,"{""speed"": ""1440 rpm"", ""power"": ""3 hp"", ""model name/number"": ""9841043643"", ""brand"": ""crompton"", ""phase"": ""three phase"", ""product"": ""crompton greaves motor""}"
horse power,True,2,"{""animal breed"": ""horse"", ""product"": ""horse power""}"
Terminal plate,True,1,"{""product"": ""terminal plate""}"
dc brake motors in mumbai,True,3,"{""motor type"": ""dc brake"", ""place of origin"": ""mumbai"", ""product"": ""dc brake motors""}"
hindustan ac motor,True,3,"{""type"": ""ac"", ""brand"": ""hindustan"", ""product"": ""hindustan ac motor""}"
24 inch three phase 4 exhaust fan fibre,True,5,"{""size"": ""24 inch"", ""usage"": ""exhaust fan"", ""material"": ""fibre"", ""phase"": ""three phase"", ""product"": ""exhaust fan""}"
panasonic-ac-servo-motor,True,1,"{""product"": ""panasonic-ac-servo-motor""}"
three phase 1 piece 5 hp 2800 rpm 3.7 KW 5HP Crompton Greaves Motor 1500 rpm,True,7,"{""set contains"": ""1 piece"", ""speed"": ""2800 rpm"", ""power"": ""3.7 kw"", ""horsepower"": ""5 hp"", ""brand"": ""crompton"", ""phase"": ""three phase"", ""product"": ""5hp crompton greaves motor""}"
3 Phase Motor Starter,True,3,"{""phase"": ""3 phase"", ""usage"": ""motor starter"", ""product"": ""3 phase motor starter""}"
0.5 hp motor,True,3,"{""power"": ""0.5 hp"", ""part type"": ""motor"", ""product"": ""0.5 hp motor""}"
ac-fan-motor,True,1,"{""product"": ""ac-fan-motor""}"
L&T Mpower Pro Mobile Motor Starter,True,4,"{""brand"": ""l&t"", ""usage"": ""motor starter"", ""model name/number"": ""mpower pro"", ""product"": ""mobile motor starter""}"
linear actuator purlin,True,2,"{""valve motion"": ""linear"", ""product"": ""linear actuator""}"
1 piece Allen Bradley Soft Starters,True,4,"{""quantity per pack"": ""1 piece"", ""brand"": ""allen bradley"", ""starter type"": ""soft"", ""product"": ""allen bradley soft starters""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AB01-1SB0 4.5 kW,True,5,"{""model name/number"": ""1fk2210-3ab01-1sb0"", ""power"": ""4.5 kw"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
dg geared motor,True,2,"{""part type"": ""motor"", ""product"": ""geared motor""}"
Alternator Stator Core,True,3,"{""usage"": ""alternator"", ""part type"": ""stator core"", ""product"": ""alternator stator core""}"
servo motors repairs,True,1,"{""product"": ""servo motors repairs""}"
Motor Carbon Brushes,True,2,"{""product"": ""motor carbon brushes"", ""usage"": ""motor""}"
Pmdc Stirrer Motor,True,3,"{""motor type"": ""pmdc"", ""usage"": ""stirrer"", ""product"": ""stirrer motor""}"
dol-starter,True,2,"{""starter type"": ""dol-starter"", ""product"": ""dol-starter""}"
Fan Motor,True,2,"{""part type"": ""motor"", ""product"": ""fan motor""}"
Three Phase Motors Crompton Greaves,True,3,"{""brand"": ""crompton"", ""phase"": ""three phase"", ""product"": ""three phase motors""}"
TR 7 25x50 Holder,True,2,"{""model name/number"": ""tr 7"", ""product"": ""holder""}"
End Shield Cover,True,2,"{""type"": ""shield"", ""product"": ""end shield cover""}"
three phase 3.7 kw crompton greaves induction motor,True,5,"{""rated power"": ""3.7 kw"", ""brand"": ""crompton"", ""motor type"": ""induction motor"", ""no of phase"": ""three phase"", ""product"": ""crompton greaves induction motor""}"
1 for business use piece 22 kw Allen Bradley 150-C43NBD SMC-3 Soft Starter 43A 480V 3-Phase 100-240V AC Control,True,7,"{""model name/number"": ""150-c43nbd"", ""power"": ""22 kw"", ""phase"": ""3-phase"", ""voltage"": ""480v"", ""brand"": ""allen bradley"", ""starter type"": ""soft starter"", ""product"": ""soft starter""}"
3.7 kw crompton greaves induction motor,True,4,"{""rated power"": ""3.7 kw"", ""brand"": ""crompton"", ""motor type"": ""induction motor"", ""product"": ""crompton greaves induction motor""}"
Direct On Line Starter DOL Motor Starter (DMC),True,3,"{""starter type"": ""dol"", ""usage"": ""motor"", ""product"": ""dol motor starter""}"
crompton greaves induction motor,True,3,"{""brand"": ""crompton"", ""motor type"": ""induction motor"", ""product"": ""crompton greaves induction motor""}"
three phase-motors,True,2,"{""phase"": ""three phase-motors"", ""product"": ""three phase-motors""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0,True,4,"{""model name/number"": ""1fk2104-6af10-0mb0"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
Stators,True,1,"{""product"": ""stators""}"
1 fan motor,True,2,"{""part type"": ""motor"", ""product"": ""fan motor""}"
Makita MT-958 Armature By PowerSpeed,True,3,"{""type of power tool"": ""armature"", ""brand"": ""powerspeed"", ""product"": ""armature""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-1MA0  2.7 kW,True,5,"{""model name/number"": ""1fk2106-4af01-1ma0"", ""power"": ""2.7 kw"", ""usage"": ""servo motor"", ""brand"": ""siemens"", ""product"": ""servo motor""}"
KOLLMORGEN Servo Motors,True,2,"{""brand"": ""kollmorgen"", ""product"": ""servo motors""}"
10 HP Transtech Gear Electric Motor,True,5,"{""power"": ""10 hp"", ""power source"": ""electric"", ""motor type"": ""gear"", ""brand"": ""transtech"", ""product"": ""gear electric motor""}"
Hollow Shaft Type Incremental Rotary Encoder,True,2,"{""encoder type"": ""incremental"", ""product"": ""incremental rotary encoder""}"
Ti Motion Linear Actuator,True,3,"{""actuator type"": ""linear actuator"", ""brand"": ""ti motion"", ""product"": ""linear actuator""}"
Rhino+12V+DC+30RPM+70Kgcm+IG32+Heavy+Duty+Planetary+Geared+Motor,True,0,{}
1FK2104-6AF10-0MB0,True,0,{}
dual shaft 1330 RPM BLOWER FAN MOTOR,True,5,"{""speed"": ""1330 rpm"", ""usage"": ""blower fan"", ""shaft type"": ""dual shaft"", ""part type"": ""motor"", ""product"": ""blower fan""}"
Worm Geared Motor,True,2,"{""gearing arrangement type"": ""worm"", ""product"": ""worm geared motor""}"
3 Phase Electric Motor,True,3,"{""phase"": ""3 phase"", ""power source"": ""electric"", ""product"": ""3 phase electric motor""}"
linear 1 festo actuators,True,3,"{""model name/number"": ""1"", ""brand"": ""festo"", ""product"": ""actuators""}"
FL57BLS01-24V-10000A- Regular BLDC Motor,True,3,"{""motor type"": ""bldc"", ""model name/number"": ""fl57bls01-24v-10000a-"", ""product"": ""bldc motor""}"
starter,True,2,"{""feeder type"": ""starter"", ""product"": ""starter""}"
motor starter controller,True,2,"{""usage"": ""motor starter"", ""product"": ""motor starter""}"
EG224 Grade DC Motor Carbon Brush,True,4,"{""motor part type"": ""brush"", ""usage"": ""dc motor"", ""grade"": ""eg224"", ""product"": ""dc motor carbon brush""}"
mini motors,True,2,"{""size"": ""mini"", ""product"": ""mini motors""}"
Air Vane Motor,True,2,"{""type"": ""vane motor"", ""product"": ""air vane motor""}"
1 HP Impel VGGH25 Electric Motor,True,4,"{""power"": ""1 hp"", ""brand"": ""impel"", ""model name/number"": ""vggh25"", ""product"": ""electric motor""}"
dc fan motor 15 20 watt,True,4,"{""power"": ""20 watt"", ""motor type"": ""dc"", ""usage"": ""fan"", ""product"": ""dc fan motor""}"
fan motor 25 30 watt,True,3,"{""power"": ""30 watt"", ""usage"": ""fan"", ""product"": ""fan motor""}"
3-phase-motor-starter,True,2,"{""phase"": ""3-phase-motor-starter"", ""product"": ""3-phase-motor-starter""}"
Electric Motors and Components,True,2,"{""power source"": ""electric"", ""product"": ""electric motors and components""}"
