query,gold_key,gold_value,qmeans_value,v6_value,qmeans_match,v6_match
Schneider Ats48 Soft Starter Repairs,series,Ats48,,,FALSE,FALSE
Schneider Ats48 Soft Starter Repairs,feature,repair service,,,FALSE,FALSE
Jencoder Rotory Encoder : Hollow Type,brand,Jencoder,jencoder,,TRUE,FALSE
Jencoder Rotory Encoder : Hollow Type,part type,encoder,,,FALSE,FALSE
Jencoder Rotory Encoder : Hollow Type,shaft diameter,hollow,,,FALSE,FALSE
Jencoder Rotory Encoder : Hollow Type,feature,rotary,,,FALSE,FALSE
swing starter,part type,starter,,starter,FALSE,TRUE
swing starter,feature,swing,,swing,FALSE,TRUE
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,brand,Rhino,rhino,Rhino,TRUE,TRUE
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,part type,motor,,motor,FALSE,TRUE
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,voltage,12V,12v dc,12V DC,FALSE,FALSE
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,power source,DC,,,FALSE,FALSE
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,rpm,30RPM,,30RPM,FALSE,TRUE
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,torque,70Kgcm,,70Kgcm,FALSE,TRUE
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,model name/number,IG32,ig32,IG32,TRUE,TRUE
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,driven type,planetary geared,,planetary geared,FALSE,TRUE
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,feature,heavy duty,,,FALSE,FALSE
18 inch g c exhaust fan motor housing,part type,motor housing,,,FALSE,FALSE
18 inch g c exhaust fan motor housing,usage,exhaust fan,exhaust fan,,TRUE,FALSE
18 inch g c exhaust fan motor housing,size,18 inch,18 inch,,TRUE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,brand,SIEMENS,siemens,SIEMENS,TRUE,TRUE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,part type,motor,,servo motor,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,series,SIMOTICS S-1FK2,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,driven type,servo,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,model name/number,1FK2104-6AF01-1SB0,1fk2104-6af01-1sb0,SIMOTICS S-1FK2 1FK2104-6AF01-1SB0,TRUE,FALSE
12v bldc,part type,motor,,,FALSE,FALSE
12v bldc,driven type,bldc,,bldc,FALSE,TRUE
12v bldc,voltage,12v,12v,12v,TRUE,TRUE
1 Inch Kit Cooler Motor,part type,motor,,cooler motor,FALSE,FALSE
1 Inch Kit Cooler Motor,usage,cooler,cooler motor,,FALSE,FALSE
1 Inch Kit Cooler Motor,size,1 Inch,,1 Inch,FALSE,TRUE
1 Inch Kit Cooler Motor,feature,kit,,,FALSE,FALSE
Jencoder Hollow Shaft Rotary Encoder J-50T,brand,Jencoder,jencoder,Jencoder,TRUE,TRUE
Jencoder Hollow Shaft Rotary Encoder J-50T,part type,encoder,,encoder,FALSE,TRUE
Jencoder Hollow Shaft Rotary Encoder J-50T,shaft diameter,hollow shaft,,,FALSE,FALSE
Jencoder Hollow Shaft Rotary Encoder J-50T,feature,rotary,,Hollow Shaft,FALSE,FALSE
Jencoder Hollow Shaft Rotary Encoder J-50T,model name/number,J-50T,j-50t,J-50T,TRUE,TRUE
110HS20 Two Phase Stepper Motor,part type,motor,,stepper motor,FALSE,FALSE
110HS20 Two Phase Stepper Motor,driven type,stepper,,two phase,FALSE,FALSE
110HS20 Two Phase Stepper Motor,phase,2,two phase,,FALSE,FALSE
110HS20 Two Phase Stepper Motor,model name/number,110HS20,110hs20,110HS20,TRUE,TRUE
Toothed Belt Axis Egc-tb,part type,belt axis,,toothed belt,FALSE,FALSE
Toothed Belt Axis Egc-tb,model name/number,Egc-tb,,Egc-tb,FALSE,TRUE
Toothed Belt Axis Egc-tb,feature,toothed,,,FALSE,FALSE
lifting-column-actuator,part type,actuator,,,FALSE,FALSE
lifting-column-actuator,feature,lifting column,,,FALSE,FALSE
Electric Rotary Actuators,part type,actuator,,actuators,FALSE,FALSE
Electric Rotary Actuators,power source,electric,electric,,TRUE,FALSE
Electric Rotary Actuators,feature,rotary,,rotary,FALSE,TRUE
Single Phase Motors,part type,motor,,motor,FALSE,TRUE
Single Phase Motors,phase,single,single phase,Single Phase,FALSE,FALSE
AC Servo Motor,part type,motor,,servo motor,FALSE,FALSE
AC Servo Motor,power source,AC,,,FALSE,FALSE
AC Servo Motor,driven type,servo,,AC,FALSE,FALSE
Unbalance Motors,part type,motor,,motors,FALSE,FALSE
Unbalance Motors,feature,unbalance,,Unbalance,FALSE,TRUE
Starters,part type,starter,,starters,FALSE,FALSE
industrial-electric-motor,part type,motor,,motor,FALSE,TRUE
industrial-electric-motor,power source,electric,,electric,FALSE,TRUE
industrial-electric-motor,application,industrial,,,FALSE,FALSE
siemens motor,brand,siemens,siemens,siemens,TRUE,TRUE
siemens motor,part type,motor,motor,motor,TRUE,TRUE
Marsh Actuators,brand,Marsh,marsh,Marsh,TRUE,TRUE
Marsh Actuators,part type,actuator,,actuators,FALSE,FALSE
Spindle Motors,part type,motor,,Spindle Motors,FALSE,FALSE
Spindle Motors,usage,spindle,,,FALSE,FALSE
carbon brush size: 08 x 20 x 30mm,part type,carbon brush,,,FALSE,FALSE
carbon brush size: 08 x 20 x 30mm,size,08 x 20 x 30mm,08 x 20 x 30mm,08 x 20 x 30mm,TRUE,TRUE
1FK2104-6AF01-1SB0,model name/number,1FK2104-6AF01-1SB0,,1FK2104-6AF01-1SB0,FALSE,TRUE
spal blower motor,brand,spal,spal,spal,TRUE,TRUE
spal blower motor,part type,motor,,blower motor,FALSE,FALSE
spal blower motor,usage,blower,,,FALSE,FALSE
VDS Automatic Sliding Gate Motor,brand,VDS,vds,VDS,TRUE,TRUE
VDS Automatic Sliding Gate Motor,part type,motor,,motor,FALSE,TRUE
VDS Automatic Sliding Gate Motor,usage,sliding gate,sliding gate,,TRUE,FALSE
VDS Automatic Sliding Gate Motor,feature,automatic,,Automatic Sliding Gate,FALSE,FALSE
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,part type,motor,,motor,FALSE,TRUE
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,driven type,bldc,,BLDC,FALSE,TRUE
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,model name/number,Sa42bld002,sa42bld002,,TRUE,FALSE
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,rpm,3000 Rpm,,3000,FALSE,FALSE
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,voltage,24vdc,24vdc,24vdc,TRUE,TRUE
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,power,52 Watt,52 watt,52 Watt,TRUE,TRUE
Electric Actuator,part type,actuator,,actuator,FALSE,TRUE
Electric Actuator,power source,electric,electric,electric,TRUE,TRUE
Hollow Shaft Rotary Encoder :Jencoder,brand,Jencoder,,Jencoder,FALSE,TRUE
Hollow Shaft Rotary Encoder :Jencoder,part type,encoder,,rotary encoder,FALSE,FALSE
Hollow Shaft Rotary Encoder :Jencoder,shaft diameter,hollow shaft,,,FALSE,FALSE
Hollow Shaft Rotary Encoder :Jencoder,feature,rotary,,hollow shaft,FALSE,FALSE
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,part type,fridge magnets,,magnets,FALSE,FALSE
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,material,neodymium acrylic,acrylic,acrylic,FALSE,FALSE
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,size,2 x 2 inch,2 x 2 inch,2 x 2 inch,TRUE,TRUE
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,shape,square,square,square,TRUE,TRUE
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,quantity,75,,75,FALSE,TRUE
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,feature,polaroid photo print,,,FALSE,FALSE
double shaft encoder gear motor,part type,motor,,encoder,FALSE,FALSE
double shaft encoder gear motor,driven type,geared,,gear,FALSE,FALSE
double shaft encoder gear motor,feature,double shaft encoder,,double shaft,FALSE,FALSE
960 rpm 1 foot mounted 15 hp three phase electric motor,part type,motor,,motor,FALSE,TRUE
960 rpm 1 foot mounted 15 hp three phase electric motor,rpm,960 rpm,,960,FALSE,FALSE
960 rpm 1 foot mounted 15 hp three phase electric motor,mounting type,foot mounted,foot,,FALSE,FALSE
960 rpm 1 foot mounted 15 hp three phase electric motor,horsepower,15 hp,,,FALSE,FALSE
960 rpm 1 foot mounted 15 hp three phase electric motor,phase,3,,three,FALSE,FALSE
960 rpm 1 foot mounted 15 hp three phase electric motor,power source,electric,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,brand,SIEMENS,siemens,SIEMENS,TRUE,TRUE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,part type,motor,,servo motor,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,series,SIMOTICS S-1FK2,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,driven type,servo,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,model name/number,1FK2104-6AF10-0MB0,1fk2104-6af10-0mb0,SIMOTICS S-1FK2 1FK2104-6AF10-0MB0,TRUE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,power,1 kW,1 kw,1 kW,TRUE,TRUE
Y07-59d1-17155 Stepper Motor,part type,motor,,Stepper Motor,FALSE,FALSE
Y07-59d1-17155 Stepper Motor,driven type,stepper,,,FALSE,FALSE
Y07-59d1-17155 Stepper Motor,model name/number,Y07-59d1-17155,y07-59d1-17155,Y07-59d1-17155,TRUE,TRUE
Schneider Electric BSH0703P11A2A Servo Motor,brand,Schneider Electric,,Schneider Electric,FALSE,TRUE
Schneider Electric BSH0703P11A2A Servo Motor,part type,motor,,servo motor,FALSE,FALSE
Schneider Electric BSH0703P11A2A Servo Motor,driven type,servo,,,FALSE,FALSE
Schneider Electric BSH0703P11A2A Servo Motor,model name/number,BSH0703P11A2A,bsh0703p11a2a,BSH0703P11A2A,TRUE,TRUE
bldc motor,part type,motor,motor,,TRUE,FALSE
bldc motor,driven type,bldc,,,FALSE,FALSE
double shaft gear motor,part type,motor,,motor,FALSE,TRUE
double shaft gear motor,driven type,geared,,gear,FALSE,FALSE
double shaft gear motor,feature,double shaft,,double shaft,FALSE,TRUE
ATS22 Softstarter Repair Service,part type,starter,,Softstarter,FALSE,FALSE
ATS22 Softstarter Repair Service,starter type,soft,,,FALSE,FALSE
ATS22 Softstarter Repair Service,series,ATS22,,,FALSE,FALSE
ATS22 Softstarter Repair Service,feature,repair service,,,FALSE,FALSE
ac bus blower motor 24 v spal,brand,spal,spal,,TRUE,FALSE
ac bus blower motor 24 v spal,part type,motor,,,FALSE,FALSE
ac bus blower motor 24 v spal,power source,ac,,,FALSE,FALSE
ac bus blower motor 24 v spal,usage,bus blower,bus,,FALSE,FALSE
ac bus blower motor 24 v spal,voltage,24 v,24 v,,TRUE,FALSE
dc motor 8 watt,part type,motor,,,FALSE,FALSE
dc motor 8 watt,power source,dc,,,FALSE,FALSE
dc motor 8 watt,power,8 watt,8 watt,8 watt,TRUE,TRUE
crompton-greaves-industrial-motors,brand,crompton greaves,,crompton-greaves,FALSE,FALSE
crompton-greaves-industrial-motors,part type,motor,,motors,FALSE,FALSE
crompton-greaves-industrial-motors,application,industrial,,,FALSE,FALSE
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,part type,motor,motor,,TRUE,FALSE
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,power source,ac,,,FALSE,FALSE
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,usage,bus blower fan,bus,,FALSE,FALSE
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,rpm,1330 RPM,,,FALSE,FALSE
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,feature,dual shaft,,,FALSE,FALSE
air  conditioning dual shaft 1330 RPM BLOWER FAN MOTOR,part type,motor,motor,,TRUE,FALSE
air  conditioning dual shaft 1330 RPM BLOWER FAN MOTOR,usage,air conditioning blower fan,air conditioning,,FALSE,FALSE
air  conditioning dual shaft 1330 RPM BLOWER FAN MOTOR,rpm,1330 RPM,,,FALSE,FALSE
air  conditioning dual shaft 1330 RPM BLOWER FAN MOTOR,feature,dual shaft,,,FALSE,FALSE
Siemens Servo Motors,brand,Siemens,siemens,Siemens,TRUE,TRUE
Siemens Servo Motors,part type,motor,,servo motors,FALSE,FALSE
Siemens Servo Motors,driven type,servo,,,FALSE,FALSE
Kitchen Chimney Motor,part type,motor,motor,,TRUE,FALSE
Kitchen Chimney Motor,usage,kitchen chimney,kitchen chimney,,TRUE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,brand,SIEMENS,siemens,SIEMENS,TRUE,TRUE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,part type,motor,,servo motor,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,series,SIMOTICS S-1FK2,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,driven type,servo,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,model name/number,1FK2106-4AF10-0MA0,1fk2106-4af10-0ma0,SIMOTICS S-1FK2 1FK2106-4AF10-0MA0,TRUE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,power,2.7 kW,2.7 kw,2.7 kW,TRUE,TRUE
Slip Ring Motor,part type,motor,,motor,FALSE,TRUE
Slip Ring Motor,driven type,slip ring,,slip ring,FALSE,TRUE
Break Motor,part type,motor,motor,brake motor,TRUE,FALSE
Break Motor,feature,brake,,,FALSE,FALSE
3 phase 15hp motor starter,part type,motor starter,,motor starter,FALSE,TRUE
3 phase 15hp motor starter,phase,3,3 phase,3 phase,FALSE,FALSE
3 phase 15hp motor starter,horsepower,15hp,,15hp,FALSE,TRUE
DC Carbon,part type,carbon,,brush,FALSE,FALSE
DC Carbon,power source,DC,,,FALSE,FALSE
external motor rotor die casting,part type,motor rotor,,rotor,FALSE,FALSE
external motor rotor die casting,feature,external die casting,,,FALSE,FALSE
c 10 micro 2900 bldc moter,part type,motor,,,FALSE,FALSE
c 10 micro 2900 bldc moter,driven type,bldc,,,FALSE,FALSE
c 10 micro 2900 bldc moter,model name/number,c 10 micro 2900,c 10 micro 2900,,TRUE,FALSE
extra power breaker 1 power tool armature,part type,armature,,,FALSE,FALSE
extra power breaker 1 power tool armature,usage,power tool,,,FALSE,FALSE
extra power breaker 1 power tool armature,feature,extra power breaker,,,FALSE,FALSE
extra power breaker 1 power tool armature,quantity,1,,,FALSE,FALSE
Gear Motor,part type,motor,,motor,FALSE,TRUE
Gear Motor,driven type,geared,,gear,FALSE,FALSE
Liquid Resistance Starter,part type,starter,,starter,FALSE,TRUE
Liquid Resistance Starter,starter type,liquid resistance,,,FALSE,FALSE
a c blower motor spal,brand,spal,spal,,TRUE,FALSE
a c blower motor spal,part type,motor,,,FALSE,FALSE
a c blower motor spal,usage,a c blower,blower,,FALSE,FALSE
1HP Single Phase Godrej Lawkim Foot Mounted,brand,Godrej Lawkim,godrej,Godrej,FALSE,FALSE
1HP Single Phase Godrej Lawkim Foot Mounted,part type,motor,,motor,FALSE,TRUE
1HP Single Phase Godrej Lawkim Foot Mounted,horsepower,1HP,,1HP,FALSE,TRUE
1HP Single Phase Godrej Lawkim Foot Mounted,phase,single,single phase,Single Phase,FALSE,FALSE
1HP Single Phase Godrej Lawkim Foot Mounted,mounting type,foot mounted,,Foot Mounted,FALSE,TRUE
Automatic Sliding Gate Motor,part type,motor,,motor,FALSE,TRUE
Automatic Sliding Gate Motor,usage,sliding gate,sliding gate,,TRUE,FALSE
Automatic Sliding Gate Motor,feature,automatic,,automatic,FALSE,TRUE
fcma soft starter,part type,starter,,soft starter,FALSE,FALSE
fcma soft starter,starter type,soft,soft starter,,FALSE,FALSE
fcma soft starter,series,fcma,,,FALSE,FALSE
three phase 1 mini dol automatic-switch,part type,auto switch,,mini,FALSE,FALSE
three phase 1 mini dol automatic-switch,phase,3,three phase,three phase,FALSE,FALSE
three phase 1 mini dol automatic-switch,starter type,dol,,automatic-switch,FALSE,FALSE
three phase 1 mini dol automatic-switch,size,mini,,,FALSE,FALSE
three phase 1 mini dol automatic-switch,feature,automatic,,,FALSE,FALSE
three phase 1 mini dol automatic-switch,quantity,1,,,FALSE,FALSE
push button shutter motor,part type,motor,,shutter motor,FALSE,FALSE
push button shutter motor,usage,shutter,shutter,,TRUE,FALSE
push button shutter motor,feature,push button,,,FALSE,FALSE
SIEMENS 1LE7501â€‘1BB23â€‘5AA4,brand,SIEMENS,,,FALSE,FALSE
SIEMENS 1LE7501â€‘1BB23â€‘5AA4,model name/number,1LE7501â€‘1BB23â€‘5AA4,,,FALSE,FALSE
blower-motors,part type,motor,,blower,FALSE,FALSE
blower-motors,usage,blower,,,FALSE,FALSE
Servo Motor Repairing Service,part type,motor,,servo motor,FALSE,FALSE
Servo Motor Repairing Service,driven type,servo,,,FALSE,FALSE
Servo Motor Repairing Service,feature,repair service,,,FALSE,FALSE
Petrosa Starter medium 200 Grams,brand,Petrosa,,,FALSE,FALSE
Petrosa Starter medium 200 Grams,part type,starter,,,FALSE,FALSE
Petrosa Starter medium 200 Grams,size,medium,medium 200 grams,,FALSE,FALSE
Petrosa Starter medium 200 Grams,weight,200 Grams,,,FALSE,FALSE
automatic switch,part type,auto switch,,,FALSE,FALSE
automatic switch,feature,automatic,,automatic,FALSE,TRUE
Telescopic Linear Actuators,part type,actuator,,actuator,FALSE,TRUE
Telescopic Linear Actuators,driven type,linear,,linear,FALSE,TRUE
Telescopic Linear Actuators,feature,telescopic,,telescopic,FALSE,TRUE
speed on  outdoor motar,part type,motor,,motar,FALSE,FALSE
speed on  outdoor motar,usage,outdoor,outdoor,outdoor,TRUE,TRUE
speed on  outdoor motar,feature,speed on,,,FALSE,FALSE
Motor Automatic Switch,part type,auto switch,,Automatic Switch,FALSE,FALSE
Motor Automatic Switch,usage,motor,motor,,TRUE,FALSE
Motor Automatic Switch,feature,automatic,,,FALSE,FALSE
speed on outdoor motar,part type,motor,,motar,FALSE,FALSE
speed on outdoor motar,usage,outdoor,outdoor,outdoor,TRUE,TRUE
speed on outdoor motar,feature,speed on,,,FALSE,FALSE
Crompton Greaves Flameproof IE3 Motor,brand,Crompton Greaves,crompton,,FALSE,FALSE
Crompton Greaves Flameproof IE3 Motor,part type,motor,,,FALSE,FALSE
Crompton Greaves Flameproof IE3 Motor,feature,flameproof,,,FALSE,FALSE
Crompton Greaves Flameproof IE3 Motor,efficiency,IE3,ie3,,TRUE,FALSE
a c blower motor spal 24v,brand,spal,spal,,TRUE,FALSE
a c blower motor spal 24v,part type,motor,,,FALSE,FALSE
a c blower motor spal 24v,usage,a c blower,,,FALSE,FALSE
a c blower motor spal 24v,voltage,24v,24v,,TRUE,FALSE
brake motor,part type,motor,motor,brake,TRUE,FALSE
brake motor,feature,brake,,,FALSE,FALSE
star-delta-starter,part type,starter,,starter,FALSE,TRUE
star-delta-starter,starter type,star delta,,,FALSE,FALSE
deep vibrator motor,part type,motor,,motor,FALSE,TRUE
deep vibrator motor,usage,deep vibrator,,,FALSE,FALSE
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,brand,Hydromatik Rexroth,,Rexroth,FALSE,FALSE
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,part type,motor,,motor,FALSE,TRUE
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,driven type,hydraulic piston,,Hydraulic Piston,FALSE,TRUE
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,model name/number,A2F-12-Wp6,a2f-12-wp6,A2F-12-Wp6,TRUE,TRUE
vibrator cover,part type,vibrator cover,cover,cover,FALSE,FALSE
Rotork Yt 3300 Smart Positioner,brand,Rotork,rotork,Rotork,TRUE,TRUE
Rotork Yt 3300 Smart Positioner,part type,positioner,,positioner,FALSE,TRUE
Rotork Yt 3300 Smart Positioner,model name/number,Yt 3300,yt 3300,Yt 3300,TRUE,TRUE
Rotork Yt 3300 Smart Positioner,feature,smart,,Smart,FALSE,TRUE
Concrete Vibrator Motor,part type,motor,motor,motor,TRUE,TRUE
Concrete Vibrator Motor,usage,concrete vibrator,concrete vibrator,Concrete Vibrator,TRUE,TRUE
blower motors in port blair,part type,motor,,blower motors,FALSE,FALSE
blower motors in port blair,usage,blower,,,FALSE,FALSE
blower motors in port blair,location/city,port blair,,port blair,FALSE,TRUE
Hydromatik A2F-107 Hydraulic Piston Pump Motor,brand,Hydromatik,hydromatik,Hydromatik,TRUE,TRUE
Hydromatik A2F-107 Hydraulic Piston Pump Motor,part type,pump motor,,motor,FALSE,FALSE
Hydromatik A2F-107 Hydraulic Piston Pump Motor,driven type,hydraulic piston,,Hydraulic Piston Pump,FALSE,FALSE
Hydromatik A2F-107 Hydraulic Piston Pump Motor,model name/number,A2F-107,a2f-107,A2F-107,TRUE,TRUE
"Rexroth A2Fo180, A2Fm180, A2Fo160, A2Fm160 Drive Shaft And Bearing Assembly 50Mm",brand,Rexroth,rexroth,Rexroth,TRUE,TRUE
"Rexroth A2Fo180, A2Fm180, A2Fo160, A2Fm160 Drive Shaft And Bearing Assembly 50Mm",part type,drive shaft and bearing assembly,,Drive Shaft And Bearing Assembly,FALSE,TRUE
"Rexroth A2Fo180, A2Fm180, A2Fo160, A2Fm160 Drive Shaft And Bearing Assembly 50Mm",model name/number,"A2Fo180, A2Fm180, A2Fo160, A2Fm160","a2fo180, a2fm180, a2fo160, a2fm160","A2Fo180, A2Fm180, A2Fo160, A2Fm160",TRUE,TRUE
"Rexroth A2Fo180, A2Fm180, A2Fo160, A2Fm160 Drive Shaft And Bearing Assembly 50Mm",shaft diameter,50Mm,,50Mm,FALSE,TRUE
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,brand,Brueninghaus Hydromatik Rexroth,,,FALSE,FALSE
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,part type,motor,,,FALSE,FALSE
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,driven type,hydraulic piston,,,FALSE,FALSE
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,model name/number,A2Fm-28/61,a2fm-28/61,,TRUE,FALSE
parker hydraulic motor,brand,parker,parker,parker,TRUE,TRUE
parker hydraulic motor,part type,motor,,motor,FALSE,TRUE
parker hydraulic motor,driven type,hydraulic,,hydraulic,FALSE,TRUE
Kirloskar Three Phase Induction Motor,brand,Kirloskar,kirloskar,,TRUE,FALSE
Kirloskar Three Phase Induction Motor,part type,motor,,,FALSE,FALSE
Kirloskar Three Phase Induction Motor,phase,3,,,FALSE,FALSE
Kirloskar Three Phase Induction Motor,driven type,induction,,,FALSE,FALSE
Three Phase Induction Motor,part type,motor,,motor,FALSE,TRUE
Three Phase Induction Motor,phase,3,,Three,FALSE,FALSE
Three Phase Induction Motor,driven type,induction,,induction,FALSE,TRUE
Hanning Motor for Bentone Burner,brand,Hanning,,Hanning,FALSE,TRUE
Hanning Motor for Bentone Burner,part type,motor,,motor,FALSE,TRUE
Hanning Motor for Bentone Burner,usage,Bentone Burner,,Bentone Burner,FALSE,TRUE
hyundai/kia clutch actuator,brand,hyundai; kia,,,FALSE,FALSE
hyundai/kia clutch actuator,part type,actuator,,,FALSE,FALSE
hyundai/kia clutch actuator,usage,clutch,,,FALSE,FALSE
Remi Centrifuge Carbon Brushes,brand,Remi,remi,Remi,TRUE,TRUE
Remi Centrifuge Carbon Brushes,part type,carbon brush,,brushes,FALSE,FALSE
Remi Centrifuge Carbon Brushes,usage,centrifuge,,,FALSE,FALSE
2hp motor,part type,motor,motor,,TRUE,FALSE
2hp motor,horsepower,2hp,,,FALSE,FALSE
aluminium die cast rotors,part type,rotors,,,FALSE,FALSE
aluminium die cast rotors,material,aluminium die cast,aluminium,,FALSE,FALSE
bhavani induction motor,brand,bhavani,,bhavani,FALSE,TRUE
bhavani induction motor,part type,motor,,induction motor,FALSE,FALSE
bhavani induction motor,driven type,induction,,,FALSE,FALSE
DC Motor,part type,motor,,motor,FALSE,TRUE
DC Motor,power source,DC,,,FALSE,FALSE
Intermot hydro motors 800cc,brand,Intermot,intermot,Intermot,TRUE,TRUE
Intermot hydro motors 800cc,part type,motor,,motors,FALSE,FALSE
Intermot hydro motors 800cc,driven type,hydraulic,,,FALSE,FALSE
Intermot hydro motors 800cc,displacement,800cc,800cc,800cc,TRUE,TRUE
Mobile Starter,part type,starter,,starter,FALSE,TRUE
Mobile Starter,feature,mobile,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,brand,SIEMENS,siemens,SIEMENS,TRUE,TRUE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,part type,motor,,servo motor,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,series,SIMOTICS S-1FK2,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,driven type,servo,,,FALSE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,model name/number,1FK2204-5AK01-0MB0,1fk2204-5ak01-0mb0,SIMOTICS S-1FK2 1FK2204-5AK01-0MB0,TRUE,FALSE
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,power,0.12 kW,0.12 kw,0.12 kW,TRUE,TRUE
Single Phase Induction Motor,part type,motor,,motor,FALSE,TRUE
Single Phase Induction Motor,phase,single,,single phase,FALSE,FALSE
Single Phase Induction Motor,driven type,induction,,induction,FALSE,TRUE
5 watts motor rexnord rec-8313-05-a2,brand,rexnord,rexnord,,TRUE,FALSE
5 watts motor rexnord rec-8313-05-a2,part type,motor,,motor,FALSE,TRUE
5 watts motor rexnord rec-8313-05-a2,power,5 watts,5 watts,5 watts,TRUE,TRUE
