Query,Key Match Count,Value Match Count,Gemma Unique Keys,QMeans Unique Keys,Gemma Unique Values,QMeans Unique Values,Key Match %,Value Match %,Gemma: Value - Keys,QMeans: Value - Keys,Matched Keys,Matched Values,Gemma Only Keys,QMeans Only Keys
3330601 Cummins Electronic Fuel Control Actuator,1,2,12,3,3,3,8.3%,66.7%,Cummins - brand | company | manufacturer | make |||| 3330601 - model_number | model_name | model | model_no |||| Electronic Fuel Control Actuator - type | motor_type | product_type | device_type,3330601 - model name/number |||| cummins - brand |||| fuel control actuator - actuator type,brand,3330601 | cummins,company | device type | make | manufacturer | model | model name | model no | model number | motor type | product type | type,actuator type | model name/number
370W Electric Sliding Gate Motor,3,3,10,3,3,3,30.0%,100.0%,Electric - power_source | power_supply | power_type |||| 370W - power | wattage | motor_power |||| Sliding Gate - usage_application | application | usage | suitable_for,370w - power |||| electric - power source |||| sliding gate - usage,power | power source | usage,370w | electric | sliding gate,application | motor power | power supply | power type | suitable for | usage application | wattage,
39 HS 02 Two Phase Stepper Motor,1,1,11,3,3,3,9.1%,33.3%,Two Phase - phase | phase_type | number_of_phase | input_phase |||| 02 - model_number | model_name | model | model_no |||| 39 HS - ambient_temperature | operating_temperature | temperature_range,39 hs 02 - model name/number |||| stepper motor - motor type |||| two phase - phase,phase,two phase,ambient temperature | input phase | model | model name | model no | model number | number of phase | operating temperature | phase type | temperature range,model name/number | motor type
3d minuture,0,0,7,1,1,1,0.0%,0.0%,3D Minuture - size | dimension | frame_size | number_of_poles | phase | number_of_phase | input_phase,3d - type,,,dimension | frame size | input phase | number of phase | number of poles | phase | size,type
40 HP  Siemens Electric Motors,1,2,8,3,2,3,12.5%,100.0%,40 HP - horsepower | horse_power | hp | motor_horsepower |||| Siemens - brand | company | manufacturer | make,40 hp - power |||| electric - power source |||| siemens - brand,brand,40 hp | siemens,company | horse power | horsepower | hp | make | manufacturer | motor horsepower,power | power source
4000w bldc motor / 4kw bldc motor for electric car / electric motor for gokart,3,3,15,4,4,4,20.0%,75.0%,Electric - power_source | power_supply | power_type |||| 4000W - power | wattage | motor_power |||| Electric Car - usage_application | application | usage | suitable_for | usage_industry |||| BLDC - brand | company | manufacturer | make,4000w - power |||| bldc - motor type |||| car - usage |||| electric - power source,power | power source | usage,4000w | bldc | electric,application | brand | company | make | manufacturer | motor power | power supply | power type | suitable for | usage application | usage industry | wattage,motor type
42 HS 02 Two Phase Stepper Motor,1,2,12,3,3,3,8.3%,66.7%,Two Phase - phase | phase_type | number_of_phase | input_phase |||| 42 HS 02 - model_number | model_name | model | model_no |||| 42 - speed | rpm | motor_speed | rated_speed,42 hs 02 - model name/number |||| stepper motor - motor type |||| two phase - phase,phase,42 hs 02 | two phase,input phase | model | model name | model no | model number | motor speed | number of phase | phase type | rated speed | rpm | speed,model name/number | motor type
4HP Single Phase Electric Motor 220-240V 50-60Hz for Air Compressor,0,0,0,6,0,6,N/A,N/A,,220-240v - voltage |||| 4hp - power |||| 50-60hz - frequency |||| air compressor - usage |||| electric - power source |||| single phase - no of phase,,,,frequency | no of phase | power | power source | usage | voltage
5 HP Three Phase Motor,0,2,8,2,2,2,0.0%,100.0%,5 HP - horsepower | horse_power | hp | motor_horsepower |||| Three Phase - phase | phase_type | number_of_phase | input_phase,5 hp - power |||| three phase - no of phase,,5 hp | three phase,horse power | horsepower | hp | input phase | motor horsepower | number of phase | phase | phase type,no of phase | power
5 In 1 Magic Brush,0,1,6,1,2,1,0.0%,50.0%,5 In 1 - number_of_poles | no_of_poles | poles |||| Magic Brush - type | motor_type | product_type,5 in 1 - features,,5 in 1,motor type | no of poles | number of poles | poles | product type | type,features
5 sliding piece 800 kg Gate Motor,0,1,6,4,2,4,0.0%,50.0%,800 kg - weight | item_weight | net_weight |||| 5 Sliding Piece - number_of_pieces | no_of_pieces | quantity,5 - set contains |||| 800 kg - weight capacity |||| gate - usage |||| sliding - open style,,800 kg,item weight | net weight | no of pieces | number of pieces | quantity | weight,open style | set contains | usage | weight capacity
5 watts motor rexnord rec-8313-05-a2,2,3,12,3,3,3,16.7%,100.0%,5 Watts - power_source | power_supply | power_type | power |||| Rexnord - brand | company | manufacturer | make |||| REC-8313-05-A2 - model_number | model_name | model | model_no,5 watts - power |||| rec-8313-05-a2 - model name/number |||| rexnord - brand,brand | power,5 watts | rec-8313-05-a2 | rexnord,company | make | manufacturer | model | model name | model no | model number | power source | power supply | power type,model name/number
50 n 100 mm linear motor,1,1,10,1,2,1,10.0%,50.0%,50 N - torque | output_torque | rated_torque | maximum_torque |||| 100 mm - diameter | shaft_diameter | inner_diameter |||| 100 mm - pressure | working_pressure | max_pressure,100 mm - diameter,diameter,100 mm,inner diameter | max pressure | maximum torque | output torque | pressure | rated torque | shaft diameter | torque | working pressure,
500 rpm mig pmdc motor 24v/42v,3,2,12,3,3,3,25.0%,66.7%,500 RPM - speed | rpm | motor_speed | rated_speed |||| 24V/42V - voltage | operating_voltage | supply_voltage | rated_voltage |||| MIG PMDC Motor - type | motor_type | product_type | device_type,24v/42v - voltage |||| 500 rpm - speed |||| pmdc - motor type,motor type | speed | voltage,24v/42v | 500 rpm,device type | motor speed | operating voltage | product type | rated speed | rated voltage | rpm | supply voltage | type,
50HP Abb Electric Motor,1,2,8,4,2,4,12.5%,100.0%,50HP - horsepower | horse_power | hp | motor_horsepower |||| ABB - brand | company | manufacturer | make,50hp - power |||| abb - brand |||| electric - power source |||| motor - product,brand,50hp | abb,company | horse power | horsepower | hp | make | manufacturer | motor horsepower,power | power source | product
50W Wall Fan Motor,1,1,6,2,2,2,16.7%,50.0%,Wall - power_source | power_supply | power_type |||| 50W - wattage | power | motor_power,50w - power |||| wall fan - usage,power,50w,motor power | power source | power supply | power type | wattage,usage
57 HS 09 Two Phase Stepper Motor,1,2,8,3,2,3,12.5%,100.0%,Two Phase - phase | phase_type | number_of_phase | input_phase |||| 57 HS 09 - model_number | model_name | model | model_no,57 hs 09 - model name/number |||| stepper motor - motor type |||| two phase - phase,phase,57 hs 09 | two phase,input phase | model | model name | model no | model number | number of phase | phase type,model name/number | motor type
57 HS 13 Two Phase Stepper Motor,1,2,12,3,3,3,8.3%,66.7%,Two Phase - phase | phase_type | number_of_phase | input_phase |||| 57 HS 13 - model_number | model_name | model | model_no |||| HS 13 - ip_rating | protection_class | degree_of_protection | ambient_temperature,57 hs 13 - model name/number |||| stepper motor - motor type |||| two phase - phase,phase,57 hs 13 | two phase,ambient temperature | degree of protection | input phase | ip rating | model | model name | model no | model number | number of phase | phase type | protection class,model name/number | motor type
57 HS 22 Two Phase Stepper Motor,1,2,8,3,2,3,12.5%,100.0%,Two Phase - phase | phase_type | number_of_phase | input_phase |||| 57 HS 22 - speed | rpm | motor_speed | rated_speed,57 hs 22 - model name/number |||| stepper motor - motor type |||| two phase - phase,phase,57 hs 22 | two phase,input phase | motor speed | number of phase | phase type | rated speed | rpm | speed,model name/number | motor type
5HP Single Phase Buffing Machine Motor,1,2,8,3,2,3,12.5%,100.0%,5HP - horsepower | horse_power | hp | motor_horsepower |||| Single Phase - phase | phase_type | number_of_phase | input_phase,5hp - power |||| buffing machine motor - product |||| single phase - phase,phase,5hp | single phase,horse power | horsepower | hp | input phase | motor horsepower | number of phase | phase type,power | product
5hp 3phase motor,1,2,8,2,2,2,12.5%,100.0%,5HP - horsepower | horse_power | hp | motor_horsepower |||| 3phase - phase | phase_type | number_of_phase | input_phase,3phase - phase |||| 5hp - power,phase,3phase | 5hp,horse power | horsepower | hp | input phase | motor horsepower | number of phase | phase type,power
5hp flour mill motor,1,2,8,3,2,3,12.5%,100.0%,5HP - horsepower | horse_power | hp | motor_horsepower |||| Flour Mill - usage_application | application | usage | suitable_for,5hp - power |||| flour mill - usage |||| motor - part type,usage,5hp | flour mill,application | horse power | horsepower | hp | motor horsepower | suitable for | usage application,part type | power
5hp motor,0,1,4,2,1,2,0.0%,100.0%,5HP - horsepower | horse_power | hp | motor_horsepower,5hp - power |||| motor - part type,,5hp,horse power | horsepower | hp | motor horsepower,part type | power
5r/min 1.5w 50/60hz motor,3,3,11,3,3,3,27.3%,100.0%,5R/min - speed | rpm | motor_speed | rated_speed |||| 1.5W - power | wattage | motor_power | power_rating |||| 50/60Hz - frequency | frequency_hertz | operating_frequency,1.5w - power |||| 50/60hz - frequency |||| 5r/min - speed,frequency | power | speed,1.5w | 50/60hz | 5r/min,frequency hertz | motor power | motor speed | operating frequency | power rating | rated speed | rpm | wattage,
6 for business use piece electronic Valve Positioners,0,0,14,0,4,0,0.0%,0.0%,Business Use - usage_application | application | usage | suitable_for |||| 6 - number_of_poles | no_of_poles | poles |||| Electronic - type | motor_type | product_type | device_type |||| Piece - number_of_pieces | quantity | number_of_units,,,,application | device type | motor type | no of poles | number of pieces | number of poles | number of units | poles | product type | quantity | suitable for | type | usage | usage application,
600 kg sliding gate motor,1,1,8,2,2,2,12.5%,50.0%,600 kg - capacity | load_capacity | weight_capacity | lifting_capacity |||| Sliding Gate Motor - type | motor_type | product_type | device_type,600 kg - weight capacity |||| sliding gate - usage,weight capacity,600 kg,capacity | device type | lifting capacity | load capacity | motor type | product type | type,usage
60W Desert Cooler Motor,2,1,8,4,2,4,25.0%,50.0%,60W - power_source | power_supply | power_type | power |||| Desert Cooler Motor - usage_application | application | usage | suitable_for,60w - power |||| cooler - usage |||| desert - cooler type |||| motor - part type,power | usage,60w,application | power source | power supply | power type | suitable for | usage application,cooler type | part type
65X50X25MM CARBON BRUSH,1,2,7,2,2,2,14.3%,100.0%,65X50X25MM - size | dimension | frame_size |||| CARBON BRUSH - material | body_material | material_type | casing_material,65x50x25mm - size |||| carbon brush - type,size,65x50x25mm | carbon brush,body material | casing material | dimension | frame size | material | material type,type
6FC5357-0BA11-1AE0,0,0,4,0,1,0,0.0%,0.0%,6FC5357-0BA11-1AE0 - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
6ik180gu 240 w motor,1,2,8,2,2,2,12.5%,100.0%,6IK180GU - model_number | model_name | model | model_no |||| 240 W - power_source | power_supply | power_type | power,240 w - power |||| 6ik180gu - model name/number,power,240 w | 6ik180gu,model | model name | model no | model number | power source | power supply | power type,model name/number
730 Frame Slipring Induction Motor,1,1,7,2,2,2,14.3%,50.0%,730 - number_of_poles | no_of_poles | poles |||| Slipring - type | motor_type | product_type | device_type,730 - frame size |||| induction motor - motor type,motor type,730,device type | no of poles | number of poles | poles | product type | type,frame size
75 HP Crompton Industrial Motors,1,2,8,2,2,2,12.5%,100.0%,75 HP - horsepower | horse_power | hp | motor_horsepower |||| Crompton - brand | company | manufacturer | make,75 hp - power |||| crompton - brand,brand,75 hp | crompton,company | horse power | horsepower | hp | make | manufacturer | motor horsepower,power
75 Hp Induction Motor,0,1,4,2,1,2,0.0%,100.0%,75 Hp - horsepower | horse_power | hp | motor_horsepower,75 hp - rated power |||| induction - motor type,,75 hp,horse power | horsepower | hp | motor horsepower,motor type | rated power
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,3,3,18,6,5,6,16.7%,60.0%,Acrylic - material | material_type | body_material | casing_material |||| 2 - number_of_poles | no_of_poles | poles |||| Photo print Polaroid Fridge Magnets - type | motor_type | product_type | device_type |||| 2 x 2 inch - size | dimension | frame_size |||| 75 - usage_application | application | usage | suitable_for,75 - number of beads |||| 2 x 2 inch - size |||| acrylic - material |||| fridge - usage |||| photo - pattern |||| square - shape,material | size | usage,2 x 2 inch | 75 | acrylic,application | body material | casing material | device type | dimension | frame size | material type | motor type | no of poles | number of poles | poles | product type | suitable for | type | usage application,number of beads | pattern | shape
75 kw 100 hp induction motor,0,1,9,1,3,1,0.0%,33.3%,Induction Motor - power_source | power_supply | power_type |||| 100 HP - horsepower | horse_power | hp |||| 75 kW - power | wattage | motor_power,75 kw - rated power,,75 kw,horse power | horsepower | hp | motor power | power | power source | power supply | power type | wattage,rated power
750 rpm 1 0.18 kw marathon electric motor,2,3,17,3,5,3,11.8%,60.0%,750 RPM - speed | rpm | motor_speed | rated_speed |||| Electric - power_source | power_supply | power_type |||| 0.18 KW - wattage | motor_wattage | power_rating |||| 1 - weight | item_weight | net_weight |||| Marathon - brand | company | manufacturer | make,0.18 kw - power |||| 750 rpm - speed |||| marathon - brand,brand | speed,0.18 kw | 750 rpm | marathon,company | item weight | make | manufacturer | motor speed | motor wattage | net weight | power rating | power source | power supply | power type | rated speed | rpm | wattage | weight,power
75HP Face Mounted Motor Marathon,1,2,12,2,3,2,8.3%,66.7%,75HP - horsepower | horse_power | hp | motor_horsepower |||| Marathon - brand | company | manufacturer | make |||| Face Mounted - mounting_type | mounting | mounting_style | mounting_method,75hp - power |||| marathon - brand,brand,75hp | marathon,company | horse power | horsepower | hp | make | manufacturer | motor horsepower | mounting | mounting method | mounting style | mounting type,power
775 dc motor,0,2,8,2,2,2,0.0%,100.0%,775 - model_number | model_name | model | model_no |||| DC - power_source | power_supply | power_type | power_rating,775 - model name/number |||| dc - motor type,,775 | dc,model | model name | model no | model number | power rating | power source | power supply | power type,model name/number | motor type
775 dc motor bihpuri,0,2,12,2,3,2,0.0%,66.7%,DC - power_source | power_supply | power_type | input_power |||| BIHPURI - brand | company | manufacturer | make |||| 775 - model_number | model_name | model | model_no,775 - model name/number |||| dc - motor type,,775 | dc,brand | company | input power | make | manufacturer | model | model name | model no | model number | power source | power supply | power type,model name/number | motor type
775 dc motor near agra bichpuri,0,1,11,2,3,2,0.0%,33.3%,775 - model_number | model_name | model | model_no |||| Near Agra Bichpuri - location | area | location_type |||| DC Motor - usage_application | application | usage | suitable_for,775 - model name/number |||| dc - motor type,,775,application | area | location | location type | model | model name | model no | model number | suitable for | usage | usage application,model name/number | motor type
800 RPM Electric Sliding Gate Motor,3,3,11,3,3,3,27.3%,100.0%,800 RPM - speed | rpm | motor_speed | rated_speed |||| Electric - power_source | power_supply | power_type |||| Sliding Gate - usage_application | application | usage | suitable_for,800 rpm - speed |||| electric - power source |||| sliding gate - usage,power source | speed | usage,800 rpm | electric | sliding gate,application | motor speed | power supply | power type | rated speed | rpm | suitable for | usage application,
800 W Wet Dry Vacuum Cleaner Motors,1,1,7,3,2,3,14.3%,50.0%,800 W - power_source | power_supply | power_type |||| Wet Dry Vacuum Cleaner Motors - usage_application | application | usage | suitable_for,800 w - power |||| cleaner - usage |||| motors - part type,usage,800 w,application | power source | power supply | power type | suitable for | usage application,part type | power
86 HS 65 Two Phase Stepper Motor,1,2,14,3,4,3,7.1%,50.0%,Two Phase - phase | phase_type | number_of_phase | input_phase |||| 86 HS 65 - model_number | model_name | model | model_no |||| 65 - ambient_temperature | operating_temperature | temperature_range |||| HS - insulation_class | insulation_type | winding_insulation,86 hs 65 - model name/number |||| stepper motor - motor type |||| two phase - phase,phase,86 hs 65 | two phase,ambient temperature | input phase | insulation class | insulation type | model | model name | model no | model number | number of phase | operating temperature | phase type | temperature range | winding insulation,model name/number | motor type
86HS120 Two Phase Stepper Motor,1,2,7,3,2,3,14.3%,100.0%,86HS120 - model_number | model_name | model | model_no |||| Two Phase - number_of_phase | phase | number_of_phase | input_phase,86hs120 - model name/number |||| stepper motor - motor type |||| two phase - phase,phase,86hs120 | two phase,input phase | model | model name | model no | model number | number of phase,model name/number | motor type
90 watt ac geared motor,1,2,9,2,3,2,11.1%,66.7%,AC - power_source | power_supply | power_type |||| 90 Watt - power | wattage | motor_power |||| Geared Motor - size | dimension | frame_size,90 watt - power |||| ac - type,power,90 watt | ac,dimension | frame size | motor power | power source | power supply | power type | size | wattage,type
9067/9069 Makita Armature By PowerSpeed,1,2,16,3,4,3,6.2%,50.0%,Makita - brand | company | manufacturer | make |||| 9067/9069 - model_number | model_name | model | model_no |||| Armature - type | motor_type | product_type | device_type |||| By PowerSpeed - usage_application | application | usage | suitable_for,9067/9069 - model name/number |||| armature - type of power tool |||| powerspeed - brand,brand,9067/9069 | armature,application | company | device type | make | manufacturer | model | model name | model no | model number | motor type | product type | suitable for | type | usage | usage application,model name/number | type of power tool
960 rpm 1 foot mounted 15 hp three phase electric motor,0,2,13,4,4,4,0.0%,50.0%,960 RPM - speed | rpm | motor_speed | rated_speed |||| Three Phase - power_source | power_supply | power_type |||| 15 HP - power_rating | wattage | motor_power |||| 1 Foot Mounted - size | dimension | frame_size,15 hp - motor hp |||| 960 rpm - full load rpm |||| electric motor - product |||| foot - mounting type,,15 hp | 960 rpm,dimension | frame size | motor power | motor speed | power rating | power source | power supply | power type | rated speed | rpm | size | speed | wattage,full load rpm | motor hp | mounting type | product
9607 HB / 9609 HB Makita Armature By PowerSpeed,2,3,18,3,5,3,11.1%,60.0%,Makita - brand | company | manufacturer | make |||| 9607 HB / 9609 HB - model_number | model_name | model | model_no |||| Armature - type | motor_type | product_type | device_type |||| PowerSpeed - starter_type | starting_method | starter |||| HB - insulation_class | insulation_type | winding_insulation,9607 hb / 9609 hb - model number |||| armature - type of power tool |||| powerspeed - brand,brand | model number,9607 hb / 9609 hb | armature | powerspeed,company | device type | insulation class | insulation type | make | manufacturer | model | model name | model no | motor type | product type | starter | starter type | starting method | type | winding insulation,type of power tool
ABB 200HP Induction Motor,1,2,8,3,2,3,12.5%,100.0%,ABB - brand | company | manufacturer | make |||| 200HP - horsepower | horse_power | hp | motor_horsepower,200hp - rated power |||| abb - brand |||| induction motor - motor type,brand,200hp | abb,company | horse power | horsepower | hp | make | manufacturer | motor horsepower,motor type | rated power
ABB 50 HP Three Phase Electric Motors,1,3,12,3,3,3,8.3%,100.0%,ABB - brand | company | manufacturer | make |||| 50 HP - horsepower | horse_power | hp | motor_horsepower |||| Three Phase - phase | phase_type | number_of_phase | input_phase,50 hp - power |||| abb - brand |||| three phase - no of phase,brand,50 hp | abb | three phase,company | horse power | horsepower | hp | input phase | make | manufacturer | motor horsepower | number of phase | phase | phase type,no of phase | power
ABB Auto- Lek Ail 94022 A Solenoid Switch,1,1,8,2,2,2,12.5%,50.0%,ABB - brand | company | manufacturer | make |||| Auto- Lek Ail 94022 A - model_number | model_name | model | model_no,abb - brand |||| solenoid switch - product,brand,abb,company | make | manufacturer | model | model name | model no | model number,product
ABB Electric Motor,1,1,5,2,2,2,20.0%,50.0%,ABB - brand | company | manufacturer | make |||| Electric Motor - type,abb - brand |||| electric - power source,brand,abb,company | make | manufacturer | type,power source
ABB MOTOR 200KW 270HP 1500RPM FOOT IE2,3,3,16,6,5,6,18.8%,60.0%,ABB MOTOR - power_source | power_supply | power_type |||| 200KW 270HP - power_rating | wattage | motor_power |||| 1500RPM - speed | rpm | motor_speed |||| FOOT - mounting_type | mounting | mounting_style | mounting_method |||| IE2 - efficiency | energy_efficiency_grade | star_rating,1500rpm - speed |||| 200kw - power |||| 270hp - horsepower |||| abb - brand |||| foot - mounting type |||| ie2 - efficiency,efficiency | mounting type | speed,1500rpm | foot | ie2,energy efficiency grade | motor power | motor speed | mounting | mounting method | mounting style | power rating | power source | power supply | power type | rpm | star rating | wattage,brand | horsepower | power
ABB Servo Motors,1,1,5,2,2,2,20.0%,50.0%,ABB - brand | company | manufacturer | make |||| Servo Motors - type,abb - brand |||| servo - product,brand,abb,company | make | manufacturer | type,product
ABB Soft Starters,1,1,4,2,1,2,25.0%,100.0%,ABB - brand | company | manufacturer | make,abb - brand |||| soft - starter type,brand,abb,company | make | manufacturer,starter type
ABB Three Phase Induction Motor,1,2,8,3,2,3,12.5%,100.0%,ABB - brand | company | manufacturer | make |||| Three Phase - phase | phase_type | number_of_phase | input_phase,abb - brand |||| induction - motor type |||| three phase - no of phase,brand,abb | three phase,company | input phase | make | manufacturer | number of phase | phase | phase type,motor type | no of phase
AC Electric Motor,1,1,7,3,2,3,14.3%,50.0%,AC - power_source | power_supply | power_type |||| Electric Motor - usage_application | application | usage | suitable_for,ac - type |||| electric - power source |||| motor - part type,power source,ac,application | power supply | power type | suitable for | usage | usage application,part type | type
AC Fail and DC Fail,0,0,4,0,1,0,0.0%,0.0%,AC Fail and DC Fail - power_source | power_supply | power_type | power_requirement,,,,power requirement | power source | power supply | power type,
AC Fan Motor,0,0,7,1,2,1,0.0%,0.0%,AC - power_source | power_supply | power_type |||| Fan Motor - usage_application | application | usage | suitable_for,motor - part type,,,application | power source | power supply | power type | suitable for | usage | usage application,part type
AC Geared Motor,0,1,7,2,2,2,0.0%,50.0%,AC - power_source | power_supply | power_type |||| Geared Motor - usage_application | application | usage | suitable_for,ac - type |||| motor - part type,,ac,application | power source | power supply | power type | suitable for | usage | usage application,part type | type
AC Induction Motor,1,0,4,1,1,1,25.0%,0.0%,AC Induction Motor - type | motor_type | product_type | device_type,ac induction - motor type,motor type,,device type | product type | type,
AC MOTAR,0,0,8,0,2,0,0.0%,0.0%,AC - power_source | power_supply | power_type | input_power |||| MOTAR - model_number | model_name | model | model_no,,,,input power | model | model name | model no | model number | power source | power supply | power type,
AC MOTARS,1,1,6,1,2,1,16.7%,50.0%,AC - power_source | power_supply | power_type |||| MOTARS - automation_grade | operation_mode | working_mode,ac - power source,power source,ac,automation grade | operation mode | power supply | power type | working mode,
AC Motor,0,1,4,2,1,2,0.0%,100.0%,AC - power_source | power_supply | power_type | power_requirement,ac - motor type |||| motor - part type,,ac,power requirement | power source | power supply | power type,motor type | part type
AC Servo Motor,0,1,6,1,2,1,0.0%,50.0%,AC - power_source | power_supply | power_type |||| Servo Motor - automation_grade | operation_mode | working_mode,ac - motor type,,ac,automation grade | operation mode | power source | power supply | power type | working mode,motor type
AC Slip Ring Induction Motor,1,0,4,1,1,1,25.0%,0.0%,AC Slip Ring Induction Motor - type | motor_type | product_type | device_type,ac - motor type,motor type,,device type | product type | type,
AC Synchronous Motors,1,0,4,1,1,1,25.0%,0.0%,AC Synchronous Motors - type | motor_type | product_type | device_type,ac - motor type,motor type,,device type | product type | type,
AM Gold Motor Starter,0,0,8,1,2,1,0.0%,0.0%,AM - brand | company | manufacturer | make |||| Gold - material | body_material | material_type | casing_material,motor starter - usage,,,body material | brand | casing material | company | make | manufacturer | material | material type,usage
APEX COOL 410W MOTOR,1,1,6,3,2,3,16.7%,50.0%,APEX COOL - power_source | power_supply | power_type |||| 410W - power | wattage | motor_power,410w - power |||| apex - brand |||| motor - part type,power,410w,motor power | power source | power supply | power type | wattage,brand | part type
ATS22 Softstarter Repair Service,1,1,8,2,2,2,12.5%,50.0%,ATS22 - model_number | model_name | model | model_no |||| Repair Service - service_type | service | service_offered | type_of_service,ats22 - model name/number |||| softstarter repair - service,service,ats22,model | model name | model no | model number | service offered | service type | type of service,model name/number
Abb Electric Motor 50hp 1500 Rpm,3,3,12,4,3,4,25.0%,100.0%,ABB - brand | company | manufacturer | make |||| 50HP - horsepower | horse_power | hp | motor_horsepower |||| 1500 Rpm - speed | rpm | motor_speed | rated_speed,1500 rpm - speed |||| 50hp - motor horsepower |||| abb - brand |||| electric - power source,brand | motor horsepower | speed,1500 rpm | 50hp | abb,company | horse power | horsepower | hp | make | manufacturer | motor speed | rated speed | rpm,power source
Abb Make Electric Motor,1,1,8,2,2,2,12.5%,50.0%,ABB - brand | company | manufacturer | make |||| Electric Motor - usage_application | application | usage | suitable_for,abb - brand |||| electric - power source,brand,abb,application | company | make | manufacturer | suitable for | usage | usage application,power source
Abb Used Ac Motors,1,3,11,3,3,3,9.1%,100.0%,ABB - brand | usage_application | company | application | manufacturer | usage | make | suitable_for |||| AC - power_source | power_supply | power_type,abb - brand |||| ac - motor type |||| used - condition,brand,abb | ac | used,application | company | make | manufacturer | power source | power supply | power type | suitable for | usage | usage application,condition | motor type
Ac Outdoor Fan Motor,0,2,8,3,2,3,0.0%,100.0%,Outdoor - usage_application | application | usage_area | suitable_for |||| AC - power_source | power_supply | power_type | power_requirement,ac - motor type |||| motor - part type |||| outdoor - usage,,ac | outdoor,application | power requirement | power source | power supply | power type | suitable for | usage application | usage area,motor type | part type | usage
Actuators,0,0,4,0,1,0,0.0%,0.0%,Actuators - type | product_type | device_type | model_number,,,,device type | model number | product type | type,
Acurater plate,0,1,8,1,2,1,0.0%,50.0%,Acurater - brand | company | manufacturer | make |||| Plate - material | body_material | material_type | casing_material,plate - type,,plate,body material | brand | casing material | company | make | manufacturer | material | material type,type
Aei/Marathon Motor Brush Holder,0,0,4,1,1,1,0.0%,0.0%,AEI/Marathon - brand | company | manufacturer | make,brush holder - motor part type,,,brand | company | make | manufacturer,motor part type
Air Conditioner Motor,0,0,4,2,1,2,0.0%,0.0%,Air Conditioner Motor - type | motor_type | product_type | device_type,air conditioner - usage |||| motor - part type,,,device type | motor type | product type | type,part type | usage
Air Vane Motor,1,0,4,1,1,1,25.0%,0.0%,Air Vane Motor - type | motor_type | product_type | device_type,vane motor - type,type,,device type | motor type | product type,
Allen Bradley SMC-3 43A Smart Motor starer,1,1,16,2,4,2,6.2%,25.0%,Allen Bradley - brand | company | manufacturer | make |||| 43A - current | current_rating | rated_current | input_current |||| SMC-3 - model_number | model_name | model | model_no |||| Smart Motor Starer - type | motor_type | product_type | device_type,allen bradley - brand |||| smc-3 43a - model name/number,brand,allen bradley,company | current | current rating | device type | input current | make | manufacturer | model | model name | model no | model number | motor type | product type | rated current | type,model name/number
Alternator Carbon Brush,0,2,8,2,2,2,0.0%,100.0%,Alternator - brand | company | manufacturer | make |||| Carbon Brush - material | material_type | body_material | casing_material,alternator - usage |||| carbon brush - type,,alternator | carbon brush,body material | brand | casing material | company | make | manufacturer | material | material type,type | usage
Alternator Stator Core,0,2,6,2,2,2,0.0%,100.0%,Alternator - type | product_type | device_type |||| Stator Core - model_number | model_name | model,alternator - usage |||| stator core - part type,,alternator | stator core,device type | model | model name | model number | product type | type,part type | usage
Aluminium Bell Housing,1,1,8,2,2,2,12.5%,50.0%,Aluminium - material | material_type | body_material | casing_material |||| Bell Housing - usage_application | application | usage | suitable_for,aluminium - material |||| bell - type,material,aluminium,application | body material | casing material | material type | suitable for | usage | usage application,type
Aluminium Winding Cooler Fan Motor,1,1,8,3,2,3,12.5%,50.0%,Aluminium - material | body_material | material_type | casing_material |||| Winding Cooler Fan Motor - usage_application | application | usage | suitable_for,aluminium - winding material |||| cooler - usage |||| motor - part type,usage,aluminium,application | body material | casing material | material | material type | suitable for | usage application,part type | winding material
Arun D O L Motor Starter,1,1,7,2,2,2,14.3%,50.0%,Arun - brand | company | manufacturer | make |||| D O L Motor Starter - starter_type | starting_method | starter,arun - brand |||| motor starter - usage,brand,arun,company | make | manufacturer | starter | starter type | starting method,usage
Auto Switch for 3 Phase Motor,1,1,7,2,2,2,14.3%,50.0%,3 Phase - number_of_poles | no_of_poles | poles |||| Auto Switch - usage_application | application | usage | suitable_for,3 phase - phase |||| motor - usage,usage,3 phase,application | no of poles | number of poles | poles | suitable for | usage application,phase
Automatic Door Motor,2,1,14,2,2,2,14.3%,50.0%,Automatic - power_source | power_supply | power_type | automation_grade |||| Not specified - number_of_poles | no_of_poles | poles |||| Not specified - ambient_temperature | operating_temperature | temperature_range |||| Not specified - usage_application | application | usage | suitable_for,automatic - automation grade |||| door - usage,automation grade | usage,automatic,ambient temperature | application | no of poles | number of poles | operating temperature | poles | power source | power supply | power type | suitable for | temperature range | usage application,
Automatic Rolling Shutters Motor,2,2,8,2,2,2,25.0%,100.0%,Automatic - power_source | power_supply | power_type | automation_grade |||| Rolling Shutters - usage_application | application | usage | suitable_for,automatic - automation grade |||| rolling shutters - usage,automation grade | usage,automatic | rolling shutters,application | power source | power supply | power type | suitable for | usage application,
Automatic Sliding Gate Motor,2,2,8,2,2,2,25.0%,100.0%,Automatic - power_source | power_supply | power_type | automation_grade |||| Sliding Gate - usage_application | application | usage | suitable_for,automatic - automation grade |||| sliding gate - usage,automation grade | usage,automatic | sliding gate,application | power source | power supply | power type | suitable for | usage application,
