query,gt_success,gemma_success,gt_total_keys,gt_unique_values,gemma_total_keys,gemma_unique_values,matched_key_count,matched_value_count,gt_only_key_count,gemma_only_key_count,key_match_rate,value_match_rate,perfect_match_count,partial_match_count,matched_keys,gt_only_keys,gemma_only_keys,matched_values,key_match_details_json,value_match_details_json,priority_alignment_json
Door han,True,True,2,1,4,1,0,0,2,4,0.00%,0.00%,0,0,,category; product category,make; manufacturer; brand; company,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Double Motor Vacuum Cleaner,True,True,4,2,6,2,2,1,2,4,50.00%,50.00%,0,0,motor type; product type,use; application,no of poles; number of poles; type; poles,vacuum cleaner,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Vacuum Cleaner"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Vacuum Cleaner"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]","[{""value"": ""vacuum cleaner"", ""gt_original"": ""vacuum cleaner"", ""gemma_original"": ""Vacuum Cleaner"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""motor_type"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 3, ""attr_priority"": 2}], ""under_same_key"": false}]","{""perfect_matches"": [], ""partial_matches"": []}"
Double Shaft Motor,True,True,4,2,6,2,2,0,2,4,50.00%,0.00%,0,0,motor type; product type,shaft; shaft type,number of shaft; shaft number; type; no of shaft,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Double Shaft Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Double Shaft Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
Dual shaft Motor,True,True,4,2,3,1,0,0,4,3,0.00%,0.00%,0,0,,shaft; motor type; shaft type; product type,no of poles; number of poles; poles,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Dwe4235 Armature,True,True,2,1,8,2,0,1,2,4,0.00%,100.00%,0,0,,category; product category,model number; model name; model; model no,armature,[],"[{""value"": ""armature"", ""gt_original"": ""armature"", ""gemma_original"": ""Armature"", ""gt_keys"": [{""key"": ""product_category"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""category"", ""key_priority"": 2, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""model_no"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""model_number"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""model_name"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""model"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": false}]","{""perfect_matches"": [], ""partial_matches"": []}"
EG224 Grade DC Motor Carbon Brush,True,True,9,4,12,3,5,1,4,7,55.56%,25.00%,0,2,application; motor type; product type; model; model number,use; part number; current type; supply type,device type; usage; model name; model no; type; suitable for; usage application,dc motor,"[{""normalized_key"": ""application"", ""gt_key"": ""application"", ""gt_value"": ""automotive"", ""gt_key_priority"": 1, ""gt_attr_priority"": 4, ""gemma_key"": ""application"", ""gemma_value"": ""Carbon Brush"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 3, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""dc motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""DC Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""dc motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""DC Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""model"", ""gt_key"": ""model"", ""gt_value"": ""EG224"", ""gt_key_priority"": 3, ""gt_attr_priority"": 3, ""gemma_key"": ""model"", ""gemma_value"": ""EG224 Grade"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}, {""normalized_key"": ""model number"", ""gt_key"": ""model_number"", ""gt_value"": ""EG224"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""gemma_key"": ""model_number"", ""gemma_value"": ""EG224 Grade"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""dc motor"", ""gt_original"": ""dc motor"", ""gemma_original"": ""DC Motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""motor_type"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""device_type"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""motor type"", ""value"": ""dc motor"", ""gt_priorities"": ""key_prio=1, attr_prio=1"", ""gemma_priorities"": ""key_prio=2, attr_prio=2""}, {""key"": ""product type"", ""value"": ""dc motor"", ""gt_priorities"": ""key_prio=2, attr_prio=1"", ""gemma_priorities"": ""key_prio=3, attr_prio=2""}]}"
ELLDO cooler motor,True,True,4,2,8,2,2,1,2,6,50.00%,50.00%,0,2,motor type; product type,use; application,make; device type; manufacturer; company; type; brand,cooler motor,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""cooler motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Cooler Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""cooler motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Cooler Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}]","[{""value"": ""cooler motor"", ""gt_original"": ""cooler motor"", ""gemma_original"": ""Cooler Motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""motor_type"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""device_type"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""motor type"", ""value"": ""cooler motor"", ""gt_priorities"": ""key_prio=1, attr_prio=1"", ""gemma_priorities"": ""key_prio=2, attr_prio=2""}, {""key"": ""product type"", ""value"": ""cooler motor"", ""gt_priorities"": ""key_prio=2, attr_prio=1"", ""gemma_priorities"": ""key_prio=3, attr_prio=2""}]}"
Eaton Orbital Motor,True,True,5,2,4,1,3,1,2,1,60.00%,50.00%,1,2,company; manufacturer; brand,motor type; product type,make,eaton,"[{""normalized_key"": ""company"", ""gt_key"": ""company"", ""gt_value"": ""eaton"", ""gt_key_priority"": 3, ""gt_attr_priority"": 1, ""gemma_key"": ""company"", ""gemma_value"": ""Eaton"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""manufacturer"", ""gt_key"": ""manufacturer"", ""gt_value"": ""eaton"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""manufacturer"", ""gemma_value"": ""Eaton"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""eaton"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""brand"", ""gemma_value"": ""Eaton"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 1, ""value_also_matches"": true, ""key_priority_match"": true, ""attr_priority_match"": true}]","[{""value"": ""eaton"", ""gt_original"": ""eaton"", ""gemma_original"": ""Eaton"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""make"", ""key_priority"": 4, ""attr_priority"": 1}], ""under_same_key"": true}]","{""perfect_matches"": [{""key"": ""brand"", ""value"": ""eaton"", ""priorities"": ""key_prio=1, attr_prio=1""}], ""partial_matches"": [{""key"": ""company"", ""value"": ""eaton"", ""gt_priorities"": ""key_prio=3, attr_prio=1"", ""gemma_priorities"": ""key_prio=2, attr_prio=1""}, {""key"": ""manufacturer"", ""value"": ""eaton"", ""gt_priorities"": ""key_prio=2, attr_prio=1"", ""gemma_priorities"": ""key_prio=3, attr_prio=1""}]}"
Ecoflam Burner Servo Motor,True,True,2,1,8,2,2,1,0,6,100.00%,100.00%,0,2,motor type; product type,,make; device type; manufacturer; company; type; brand,servo motor,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""servo motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Servo Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""servo motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Servo Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}]","[{""value"": ""servo motor"", ""gt_original"": ""servo motor"", ""gemma_original"": ""Servo Motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""gemma_keys"": [{""key"": ""type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""motor_type"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""device_type"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""motor type"", ""value"": ""servo motor"", ""gt_priorities"": ""key_prio=1, attr_prio=1"", ""gemma_priorities"": ""key_prio=2, attr_prio=2""}, {""key"": ""product type"", ""value"": ""servo motor"", ""gt_priorities"": ""key_prio=2, attr_prio=1"", ""gemma_priorities"": ""key_prio=3, attr_prio=2""}]}"
Electric Actuator,True,True,4,1,4,1,0,0,4,4,0.00%,0.00%,0,0,,use; category; application; product category,power supply; power source; input power; power type,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electric Motor,True,True,2,1,4,1,0,0,2,4,0.00%,0.00%,0,0,,motor type; product type,automation grade; power source; power type; power supply,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electric Motor Housing,True,True,2,1,6,2,0,0,2,6,0.00%,0.00%,0,0,,motor type; product type,body material; material type; material; power source; power supply; power type,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electric Motor Starters,True,True,4,2,10,2,0,0,4,10,0.00%,0.00%,0,0,,use; application; motor type; product type,starting method; insulation type; input power; power source; power supply; starter; starter type; winding insulation; power type; insulation class,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electric Motor with Gear,True,True,2,1,6,2,0,0,2,6,0.00%,0.00%,0,0,,motor type; product type,automation grade; power source; operation mode; power supply; working mode; power type,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electric Motors,True,True,2,1,4,1,0,0,2,4,0.00%,0.00%,0,0,,motor type; product type,power supply; power source; input power; power type,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electric Motors and Components,True,True,2,1,7,2,0,0,2,7,0.00%,0.00%,0,0,,motor type; product type,application; usage; power source; power supply; suitable for; power type; usage application,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electric Rotary Actuators,True,True,4,1,6,2,0,0,4,6,0.00%,0.00%,0,0,,use; category; application; product category,automation grade; power source; operation mode; power supply; working mode; power type,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electric Sliding Gate Motor,True,True,2,1,7,2,0,0,2,7,0.00%,0.00%,0,0,,motor type; product type,application; usage; power source; power supply; suitable for; power type; usage application,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electric Vibratory Motor,True,True,2,1,7,2,0,0,2,7,0.00%,0.00%,0,0,,motor type; product type,application; usage; power source; power supply; suitable for; power type; usage application,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electrical carbon Brushes,True,True,4,2,9,3,1,0,3,8,25.00%,0.00%,0,0,application,use; category; product category,body material; device type; material type; material; product type; usage; type; usage application,,"[{""normalized_key"": ""application"", ""gt_key"": ""application"", ""gt_value"": ""automotive"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""application"", ""gemma_value"": ""Brushes"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 3, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electro Pneumatic Valve Positioner,True,True,6,2,7,2,1,0,3,6,25.00%,0.00%,0,0,application,use; category; product category,usage; power source; power supply; suitable for; power type; usage application,,"[{""normalized_key"": ""application"", ""gt_key"": ""application"", ""gt_value"": ""actuator"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""application"", ""gemma_value"": ""Valve Positioner"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
Electronic Starter,True,True,4,1,7,2,1,1,3,6,25.00%,100.00%,0,1,application,use; category; product category,usage; power source; power supply; suitable for; power type; usage application,starter,"[{""normalized_key"": ""application"", ""gt_key"": ""application"", ""gt_value"": ""starter"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""application"", ""gemma_value"": ""Starter"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": true, ""key_priority_match"": false, ""attr_priority_match"": false}]","[{""value"": ""starter"", ""gt_original"": ""starter"", ""gemma_original"": ""Starter"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""product_category"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""category"", ""key_priority"": 2, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""usage_application"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""application"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""usage"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""suitable_for"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": true}]","{""perfect_matches"": [], ""partial_matches"": [{""key"": ""application"", ""value"": ""starter"", ""gt_priorities"": ""key_prio=1, attr_prio=1"", ""gemma_priorities"": ""key_prio=2, attr_prio=2""}]}"
End Shield Cover,True,True,2,1,12,3,0,0,2,11,0.00%,0.00%,0,0,,category; product category,make; application; device type; product type; usage; manufacturer; company; type; brand; suitable for; usage application,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
Exhaust Fan Motor,True,True,6,3,4,1,2,0,2,2,50.00%,0.00%,0,0,motor type; product type,use; application,type; device type,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""fan motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Exhaust Fan Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""exhaust motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Exhaust Fan Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""fan motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Exhaust Fan Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""exhaust motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""product_type"", ""gemma_value"": ""Exhaust Fan Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 1, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
Explosion Proof Electric Motor,True,True,4,2,6,2,0,1,4,6,0.00%,50.00%,0,0,,protection; motor type; product type; enclosure,application; usage; power source; power supply; power type; usage application,explosion proof,[],"[{""value"": ""explosion proof"", ""gt_original"": ""explosion proof"", ""gemma_original"": ""Explosion Proof"", ""gt_keys"": [{""key"": ""enclosure"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""protection"", ""key_priority"": 2, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""usage_application"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""application"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""usage"", ""key_priority"": 3, ""attr_priority"": 2}], ""under_same_key"": false}]","{""perfect_matches"": [], ""partial_matches"": []}"
Explosion Proof Motors,True,True,4,2,7,1,0,1,4,7,0.00%,50.00%,0,0,,protection; motor type; product type; enclosure,application; usage; power source; power supply; suitable for; power type; usage application,explosion proof,[],"[{""value"": ""explosion proof"", ""gt_original"": ""explosion proof"", ""gemma_original"": ""Explosion Proof"", ""gt_keys"": [{""key"": ""enclosure"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""protection"", ""key_priority"": 2, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""power_source"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""power_supply"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""power_type"", ""key_priority"": 3, ""attr_priority"": 1}, {""key"": ""usage_application"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""application"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""usage"", ""key_priority"": 3, ""attr_priority"": 2}, {""key"": ""suitable_for"", ""key_priority"": 4, ""attr_priority"": 2}], ""under_same_key"": false}]","{""perfect_matches"": [], ""partial_matches"": []}"
FEBRICATION BLOWER 1HP SINGLE PHASE,True,True,5,2,9,3,1,1,4,8,20.00%,50.00%,0,0,power,phase; hp; horsepower; supply phase,motor power; power source; power supply; manufacturer; company; wattage; brand; power type,single phase,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""1 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""power"", ""gemma_value"": ""1HP"", ""gemma_key_priority"": 1, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": true, ""attr_priority_match"": false}]","[{""value"": ""single phase"", ""gt_original"": ""single phase"", ""gemma_original"": ""Single Phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 2}], ""gemma_keys"": [{""key"": ""power_source"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""power_supply"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""power_type"", ""key_priority"": 3, ""attr_priority"": 1}], ""under_same_key"": false}]","{""perfect_matches"": [], ""partial_matches"": []}"
FHP Motor,True,True,2,1,4,1,0,0,2,4,0.00%,0.00%,0,0,,motor type; product type,model number; model name; model; model no,,[],[],"{""perfect_matches"": [], ""partial_matches"": []}"
FL28STH45-0674A - Hybrid Stepper Motor,True,True,2,1,8,2,2,0,0,6,100.00%,0.00%,0,0,motor type; product type,,device type; model name; model; model number; model no; type,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""stepper motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Hybrid Stepper Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""stepper motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Hybrid Stepper Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
FL28STH45-0674AF-14 - Hybrid Stepper Motor,True,True,2,1,8,2,2,0,0,6,100.00%,0.00%,0,0,motor type; product type,,device type; model name; model; model number; model no; type,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""stepper motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Hybrid Stepper Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""stepper motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Hybrid Stepper Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
FL28STH51-0674AF-Hybrid Stepper Motor,True,True,2,1,8,2,2,0,0,6,100.00%,0.00%,0,0,motor type; product type,,device type; model name; model; model number; model no; type,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""stepper motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Hybrid"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""stepper motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Hybrid"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
FL42BLSL01- Regular BLDC Motor,True,True,4,2,8,2,2,0,0,6,100.00%,0.00%,0,0,motor type; product type,,device type; model name; model; model type; model number; model no,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""bldc motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Regular BLDC Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""dc motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""gemma_key"": ""motor_type"", ""gemma_value"": ""Regular BLDC Motor"", ""gemma_key_priority"": 2, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": true}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""bldc motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 1, ""gemma_key"": ""product_type"", ""gemma_value"": ""Regular BLDC Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": false}, {""normalized_key"": ""product type"", ""gt_key"": ""product_type"", ""gt_value"": ""dc motor"", ""gt_key_priority"": 2, ""gt_attr_priority"": 2, ""gemma_key"": ""product_type"", ""gemma_value"": ""Regular BLDC Motor"", ""gemma_key_priority"": 3, ""gemma_attr_priority"": 2, ""value_also_matches"": false, ""key_priority_match"": false, ""attr_priority_match"": true}]",[],"{""perfect_matches"": [], ""partial_matches"": []}"
