success,query,gemini_dataset_attr_count,gemini_dataset_isq_list,gemini_dataset_isq_pipe,gemini_dataset_raw_output,error
True,LD BLOWN FILM EXTRUDER MACHINE INDORE,2,"['[""ld:plastic processed:specification""', '""indore (m.p.):location:specification""]']","[""ld:plastic processed:specification"" | ""indore (m.p.):location:specification""]","```python
[""ld:plastic processed:specification"", ""indore (m.p.):location:specification""]
```",
True,Automatic 110Kg/hr Twin Screw Extrusion Plant,3,"['[""automatic:automation grade:specification""', '""110 kg/hr:production capacity:specification""', '""twin screw:screw design:specification""]']","[""automatic:automation grade:specification"" | ""110 kg/hr:production capacity:specification"" | ""twin screw:screw design:specification""]","```python
[""automatic:automation grade:specification"", ""110 kg/hr:production capacity:specification"", ""twin screw:screw design:specification""]
```",
True,1200 kg/hr 3 layer blown film machine,3,"['[""1200 kg/hr:production capacity:specification""', '""3 layer:layer:specification""', '""blown film extrusion machine:machine type:specification""]']","[""1200 kg/hr:production capacity:specification"" | ""3 layer:layer:specification"" | ""blown film extrusion machine:machine type:specification""]","```python
[""1200 kg/hr:production capacity:specification"", ""3 layer:layer:specification"", ""blown film extrusion machine:machine type:specification""]
```",
True,500 kg/hr automatic three screw extruder,3,"['[""500 kg/hr:production capacity:specification""', '""automatic:automation grade:specification""', '""three:phase:specification""]']","[""500 kg/hr:production capacity:specification"" | ""automatic:automation grade:specification"" | ""three:phase:specification""]","```python
[""500 kg/hr:production capacity:specification"", ""automatic:automation grade:specification"", ""three:phase:specification""]
```",
True,three screw extruder,0,[],,"```python
[]
```",
True,500  kg%2 fhr automatic three screw extruder,3,"['[""500 kg/hr:production capacity:specification""', '""automatic:automation grade:specification""', '""three:phase:specification""]']","[""500 kg/hr:production capacity:specification"" | ""automatic:automation grade:specification"" | ""three:phase:specification""]","```python
[""500 kg/hr:production capacity:specification"", ""automatic:automation grade:specification"", ""three:phase:specification""]
```",
True,500  kg%2 fhr three screw extruder,0,[],,"```python
[]
```",
True,Silver Refinery Plant Capacity(kg): 10,1,"['[""10:capacity(kg):specification""]']","[""10:capacity(kg):specification""]","```python
[""10:capacity(kg):specification""]
```",
True,Silver Refining Machine 30 Kg,2,"['[""30 kg:capacity(kg):specification""', '""silver refining plant:product type:specification""]']","[""30 kg:capacity(kg):specification"" | ""silver refining plant:product type:specification""]","```python
[""30 kg:capacity(kg):specification"", ""silver refining plant:product type:specification""]
```",
True,blown film extrusion machine running video,0,[],,"```python
[]
```",
True,Silver Recovery Unit,0,[],,"```python
[]
```",
True,Extrusion Plant,0,[],,[],
True,aluminium can manufacturing plant,0,[],,[],
True,Copper Electrowinning,0,[],,"```python
[]
```",
True,extruder die,0,[],,[],
True,Single Die Extruder,1,['single die:die type:specification'],single die:die type:specification,"[""single die:die type:specification""]",
True,extruder die manufacturers,0,[],,[],
True,bopp films production line,0,[],,"```python
[]
```",
True,Gold Refining Chemical,0,[],,"```python
[]
```",
True,Bitumen Centrifuge Extractor Motorized,3,"['[""electric:power source:specification""', '""motorized:type of testing machines:specification""', '""electric:driven type:specification""]']","[""electric:power source:specification"" | ""motorized:type of testing machines:specification"" | ""electric:driven type:specification""]","```python
[""electric:power source:specification"", ""motorized:type of testing machines:specification"", ""electric:driven type:specification""]
```",
True,Gold Silver Refining Plant,32,"['[""silver refining plant:usage/application:specification""', '""silver refining plant:heating range:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:material:specification""', '""silver refining plant:product type:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:packaging type:specification""', '""silver refining plant:surface finish:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""', '""silver refining plant:dimension:specification""']","[""silver refining plant:usage/application:specification"" | ""silver refining plant:heating range:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:material:specification"" | ""silver refining plant:product type:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:packaging type:specification"" | ""silver refining plant:surface finish:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification"" | ""silver refining plant:dimension:specification""","```python
[""silver refining plant:usage/application:specification"", ""silver refining plant:heating range:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:material:specification"", ""silver refining plant:product type:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:packaging type:specification"", ""silver refining plant:surface finish:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining plant:dimension:specification"", ""silver refining",
True,"indian make automatic silver refining machine (10-100kg capacity, 316 ss, 3 kw, 220 v)",7,"['[""india:country of origin:specification""', '""automatic:automation grade:specification""', '""silver:metal:specification""', '""10-100:capacity(kg):specification""', '""ss:body material:specification""', '""3 kw:power:specification""', '""220 v:voltage:specification""]']","[""india:country of origin:specification"" | ""automatic:automation grade:specification"" | ""silver:metal:specification"" | ""10-100:capacity(kg):specification"" | ""ss:body material:specification"" | ""3 kw:power:specification"" | ""220 v:voltage:specification""]","```python
[""india:country of origin:specification"", ""automatic:automation grade:specification"", ""silver:metal:specification"", ""10-100:capacity(kg):specification"", ""ss:body material:specification"", ""3 kw:power:specification"", ""220 v:voltage:specification""]
```",
True,Sample Extruder,0,[],,[],
True,Rice Bran Solvent Extraction Plant Installation Service,3,"['[""rice bran:raw material:specification""', '""solvent extraction plant:usage/application:specification""', '""installation services:installation services:specification""]']","[""rice bran:raw material:specification"" | ""solvent extraction plant:usage/application:specification"" | ""installation services:installation services:specification""]","```python
[""rice bran:raw material:specification"", ""solvent extraction plant:usage/application:specification"", ""installation services:installation services:specification""]
```",
True,Bitumen Extractor,0,[],,"```python
[]
```",
True,silver extraction plant,2,"['silver:metal:specification', 'extraction plant:machine type:specification']",silver:metal:specification | extraction plant:machine type:specification,"[""silver:metal:specification"", ""extraction plant:machine type:specification""]",
True,50 business use no Silver Refining Plant,0,[],,"```python
[]
```",
True,50 business use 50 Kg Silver Refining Plant,0,[],,"```python
[]
```",
True,automatic 50 kg +silver+refining+plant,3,"['[""automatic:automation grade:specification""', '""50 kg:capacity(kg):specification""', '""silver:metal:specification""]']","[""automatic:automation grade:specification"" | ""50 kg:capacity(kg):specification"" | ""silver:metal:specification""]","```python
[""automatic:automation grade:specification"", ""50 kg:capacity(kg):specification"", ""silver:metal:specification""]
```",
True,automatic automatic+silver+refining+plant,0,[],,"```python
[]
```",
True,automatic+silver+refining+plant,2,"['automatic:automation grade:specification', 'silver:metal:specification']",automatic:automation grade:specification | silver:metal:specification,"[""automatic:automation grade:specification"", ""silver:metal:specification""]",
True,Automatic Silver Refinery Machine,2,"['automatic:automation grade:specification', 'silver:metal:specification']",automatic:automation grade:specification | silver:metal:specification,"[""automatic:automation grade:specification"", ""silver:metal:specification""]",
True,silver refining plant 45TOUCH,1,"['[""silver refining plant:usage/application:specification""]']","[""silver refining plant:usage/application:specification""]","```python
[""silver refining plant:usage/application:specification""]
```",
True,Bhuiamla Liquid Extracts,0,[],,"```python
[]
```",
True,Extruded And Expanded,0,[],,"```python
[]
```",
True,Used Triple Screw Extruder,0,[],,"```python
[]
```",
True,Triple Screw Extruder,0,[],,"```python
[]
```",
True,Packed Bed Type Solid Liquid Extraction Apparatus,0,[],,"```python
[]
```",
True,Extractor Machine,0,[],,[],
True,Caterpillar With DC Drive Control,0,[],,"```python
[]
```",
True,3 kg gole refinery machine,0,[],,"```python
[]
```",
True,Italy Type Gold Refining Machines,0,[],,"```python
[]
```",
True,PPM-75FFE Extruder Force Feeder,0,[],,"```python
[]
```",
True,ld extruder machine nagpur,0,[],,[],
True,Continuous Extrusion Machine,0,[],,"```python
[]
```",
True,mother baby extruder machine,1,['mother baby extruder:machine type:specification'],mother baby extruder:machine type:specification,"[""mother baby extruder:machine type:specification""]",
True,gr enterprises gold refined,0,[],,[],
True,Gold Refinery Machine 1To   100Kg,2,"['[""100 kg:capacity(kg):specification""', '""gold:metal:specification""]']","[""100 kg:capacity(kg):specification"" | ""gold:metal:specification""]","```python
[""100 kg:capacity(kg):specification"", ""gold:metal:specification""]
```",
True,5To 50Kg Gold Refinery Machine,0,[],,"```python
[]
```",
True,3Kg Gold Refinery,0,[],,"```python
[]
```",
True,Laboratory Gold Refining Plant,3,"['gold refining plant:usage/application:specification', 'laboratory:industry type:specification', 'gold:metal:specification']",gold refining plant:usage/application:specification | laboratory:industry type:specification | gold:metal:specification,"[""gold refining plant:usage/application:specification"", ""laboratory:industry type:specification"", ""gold:metal:specification""]",
True,Cabbage Liquid Extracts,0,[],,"```python
[]
```",
True,pure gold conversion machine,0,[],,[],
True,Automatic Silver Refining Plant Capacity(kg): 10,3,"['[""automatic:automation grade:specification""', '""silver refining plant:usage/application:specification""', '""10:capacity(kg):specification""]']","[""automatic:automation grade:specification"" | ""silver refining plant:usage/application:specification"" | ""10:capacity(kg):specification""]","```python
[""automatic:automation grade:specification"", ""silver refining plant:usage/application:specification"", ""10:capacity(kg):specification""]
```",
True,Gold Processing Plant,0,[],,"```python
[]
```",
True,100 silver-refining--plant,0,[],,"```python
[]
```",
True,250 mt aluminium extrusion plant,2,"['250 mt:production capacity:specification', 'aluminium extrusion:usage/application:specification']",250 mt:production capacity:specification | aluminium extrusion:usage/application:specification,"[""250 mt:production capacity:specification"", ""aluminium extrusion:usage/application:specification""]",
True,test)extractvalue(9014 concat(0x7e (select(elt(9014=9014 1))) 0x7e)) and (34b0z3kj like 34b0z3kj,0,[],,[],
True,blown film extrusion die,0,[],,[],
True,Extrusion Blown Film Machine From India,2,"['[""india:country of origin:specification""', '""blown film extrusion machine:machine type:specification""]']","[""india:country of origin:specification"" | ""blown film extrusion machine:machine type:specification""]","```python
[""india:country of origin:specification"", ""blown film extrusion machine:machine type:specification""]
```",
True,cable-extruder,1,['cable extruder:type:specification'],cable extruder:type:specification,"[""cable extruder:type:specification""]",
True,manual extruder,1,['manual:automation grade:specification'],manual:automation grade:specification,"[""manual:automation grade:specification""]",
True,aba blown film machine,0,[],,"```python
[]
```",
True,100 kg Basket Extruder Machine,1,['100 kg:capacity(kg):specification'],100 kg:capacity(kg):specification,"[""100 kg:capacity(kg):specification""]",
True,test)extractvalue(2179 !50000concat(0x7e (!50000select(elt(2179=2179 1))) 0x7e))-- -,0,[],,"I am sorry, but I am unable to extract any attributes from the provided query as it does not contain any of the specified attributes.",
True,test)extractvalue(7101 concat(0x7e (select(elt(7101=7101 1))) 0x7e))-- -,0,[],,"I am sorry, but I am unable to extract any attributes from the provided query as it does not contain any of the specified attributes.",
True,Essential Oil and Oleoresin Extraction Plant Consultancy Service,0,[],,"```python
[]
```",
True,FRP Mixer Settler for Liquid Extraction System,0,[],,"```python
[]
```",
True,screw extruder,0,[],,[],
True,Curcumin Solvent Extraction Plant,0,[],,[],
True,Sheet Extrusion Plant,0,[],,[],
True,Natural Flavor Extracts Extraction Plant Capacity: 1 Tpd,2,"['[""1 Tpd:capacity:specification""', '""extraction method:extraction method:specification""]']","[""1 Tpd:capacity:specification"" | ""extraction method:extraction method:specification""]","```python
[""1 Tpd:capacity:specification"", ""extraction method:extraction method:specification""]
```",
True,50 silver refining plant,2,"['50:purity:specification', 'silver refining plant:usage/application:specification']",50:purity:specification | silver refining plant:usage/application:specification,"[""50:purity:specification"", ""silver refining plant:usage/application:specification""]",
True,automatic silver refining plant 50kgs,3,"['[""automatic:automation grade:specification""', '""silver:metal:specification""', '""50 kg:capacity(kg):specification""]']","[""automatic:automation grade:specification"" | ""silver:metal:specification"" | ""50 kg:capacity(kg):specification""]","```python
[""automatic:automation grade:specification"", ""silver:metal:specification"", ""50 kg:capacity(kg):specification""]
```",
True,automatic silver refining plant near pune 50kgs,3,"['[""automatic:automation grade:specification""', '""silver:metal:specification""', '""50 kg:capacity(kg):specification""]']","[""automatic:automation grade:specification"" | ""silver:metal:specification"" | ""50 kg:capacity(kg):specification""]","```python
[""automatic:automation grade:specification"", ""silver:metal:specification"", ""50 kg:capacity(kg):specification""]
```",
True,Hand-Operated Hydro Extractor,0,[],,"```python
[]
```",
True,Centrifugal Hydro Extractors,0,[],,"```python
[]
```",
True,no Solid Phase Extraction System,0,[],,[],
True,BITUMEN EXTRACTOR (HAND OPERATED),3,"['hand operated:hand operated:specification', 'bitumen extractor:type of testing machines:specification', 'bitumen extractor:product type:specification']",hand operated:hand operated:specification | bitumen extractor:type of testing machines:specification | bitumen extractor:product type:specification,"[""hand operated:hand operated:specification"", ""bitumen extractor:type of testing machines:specification"", ""bitumen extractor:product type:specification""]",
True,100 tpd solvent extraction plant,2,"['100 tpd:capacity:specification', 'solvent extraction plant:usage/application:specification']",100 tpd:capacity:specification | solvent extraction plant:usage/application:specification,"[""100 tpd:capacity:specification"", ""solvent extraction plant:usage/application:specification""]",
True,yes Solid Phase Extraction System,0,[],,"```python
[]
```",
True,epe machine,0,[],,[],
True,Gold Filter,0,[],,"```python
[]
```",
True,Gold  Refinery Machine Semi Automatic,4,"['[""semi automatic:automation grade:specification""', '""gold refining plant:usage/application:specification""', '""gold:metal:specification""', '""product type:product type:specification""]']","[""semi automatic:automation grade:specification"" | ""gold refining plant:usage/application:specification"" | ""gold:metal:specification"" | ""product type:product type:specification""]","```python
[""semi automatic:automation grade:specification"", ""gold refining plant:usage/application:specification"", ""gold:metal:specification"", ""product type:product type:specification""]
```",
True,tabacco solvent extraction plant,0,[],,[],
True,Silver Recovery Machine,0,[],,[],
True,Extruder Expander System,0,[],,"```python
[]
```",
True,extraction-machinery,0,[],,"```python
[]
```",
True,Bitumen Centrifuge Extractor SF00000629,2,"['[""bitumen extractor:type of testing machines:specification""', '""manual:product type:specification""]']","[""bitumen extractor:type of testing machines:specification"" | ""manual:product type:specification""]","```python
[""bitumen extractor:type of testing machines:specification"", ""manual:product type:specification""]
```",
True,Curcumin Extraction Plant,0,[],,"```python
[]
```",
True,Extruter Head 6 Inch,0,[],,"```python
[]
```",
True,hours output extruder,0,[],,"```python
[]
```",
True,PCB Recycling & Metal Recovery Plant,0,[],,"```python
[]
```",
True,gold percentage machine,0,[],,"```python
[]
```",
True,Shoots - Golden Rod Brown Color Extraction Plant,0,[],,"```python
[]
```",
True,Wdg Basket Extruder Granule Machine,0,[],,"```python
[]
```",
True,Supercritical Anti Solvent(SAS) Systems,0,[],,"```python
[]
```",
True,plastic wire extruder,0,[],,"```python
[]
```",
True,100 kg/hr ceramic extruder machine,1,['100 kg/hr:production capacity:specification'],100 kg/hr:production capacity:specification,"[""100 kg/hr:production capacity:specification""]",
True,2 kg hours output extruder,0,[],,"```python
[]
```",
True,tube extrusion machine 50 kg/hr hours output extruder,2,"['50 kg/hr:production capacity:specification', 'tube extrusion machine:type:specification']",50 kg/hr:production capacity:specification | tube extrusion machine:type:specification,"[""50 kg/hr:production capacity:specification"", ""tube extrusion machine:type:specification""]",
True,20 business use yes Silver Refining Plant,0,[],,"```python
[]
```",
True,bran plant,0,[],,"```python
[]
```",
True,cashew nut shell solvent extraction plant,0,[],,"```python
[]
```",
True,single Cylinder Horizontal Extruder,0,[],,"```python
[]
```",
True,polymer foam making exruder,0,[],,"```python
[]
```",
True,LDPE Agro Mixture Machine for Ld hm 5w Capacity: 50kg,2,"['[""ld:plastic processed:specification""', '""50 kg:capacity(kg):specification""]']","[""ld:plastic processed:specification"" | ""50 kg:capacity(kg):specification""]","```python
[""ld:plastic processed:specification"", ""50 kg:capacity(kg):specification""]
```",
True,"LDPE Agro Mixture Machine for LD,HM, 5W, Capacity: 50kg",2,"['[""ld:plastic processed:specification""', '""50 kg:capacity(kg):specification""]']","[""ld:plastic processed:specification"" | ""50 kg:capacity(kg):specification""]","```python
[""ld:plastic processed:specification"", ""50 kg:capacity(kg):specification""]
```",
True,extraction machinerystebiya,0,[],,[],
True,gold tanch machine,0,[],,[],
True,1 kg Automatic Gold Refining Machine Setup,2,"['[""1 kg:capacity(kg):specification""', '""automatic:automation grade:specification""]']","[""1 kg:capacity(kg):specification"" | ""automatic:automation grade:specification""]","```python
[""1 kg:capacity(kg):specification"", ""automatic:automation grade:specification""]
```",
True,Blown Film Extrusion Plant,0,[],,[],
True,50 kg/hr Extruder Machine,1,"['[""50 kg/hr:production capacity:specification""]']","[""50 kg/hr:production capacity:specification""]","```python
[""50 kg/hr:production capacity:specification""]
```",
True,semi atomatic banana refing machin,0,[],,"```python
[]
```",
True,ldpe bag monolayer blown film extrusion machine,3,"['[""ldpe:plastic processed:specification""', '""monolayer:layer:specification""', '""blown film extrusion machine:machine type:specification""]']","[""ldpe:plastic processed:specification"" | ""monolayer:layer:specification"" | ""blown film extrusion machine:machine type:specification""]","```python
[""ldpe:plastic processed:specification"", ""monolayer:layer:specification"", ""blown film extrusion machine:machine type:specification""]
```",
True,Two-layer extrusion machine for bulk packaging,0,[],,"```python
[]
```",
True,Extruder Machine .,0,[],,[],
True,1000 kg/hr Twin Screw Extruder,3,"['[""1000 kg/hr:production capacity:specification""', '""twin screw:screw design:specification""', '""twin screw:type of extruder:specification""]']","[""1000 kg/hr:production capacity:specification"" | ""twin screw:screw design:specification"" | ""twin screw:type of extruder:specification""]","```python
[""1000 kg/hr:production capacity:specification"", ""twin screw:screw design:specification"", ""twin screw:type of extruder:specification""]
```",
True,High Recovery Rate Mobile Gold Ore Processing Plant - 40 TPH Alluvial Gold Mining Equipment,1,"['[""40 tph:production capacity:specification""]']","[""40 tph:production capacity:specification""]","```python
[""40 tph:production capacity:specification""]
```",
True,Gold Jewellery Refining Consultant,0,[],,[],
True,100 kg/hr single die extruder,2,"['[""100 kg/hr:production capacity:specification""', '""single die:die:specification""]']","[""100 kg/hr:production capacity:specification"" | ""single die:die:specification""]","```python
[""100 kg/hr:production capacity:specification"", ""single die:die:specification""]
```",
True,single-die-extruder,0,[],,[],
True,aero silver recovery,0,[],,"```python
[]
```",
True,Liquid Liquid Extractor,0,[],,"```python
[]
```",
True,mini twin screw extruder machine,2,"['twin screw:screw design:specification', 'twin screw:type of extruder:specification']",twin screw:screw design:specification | twin screw:type of extruder:specification,"[""twin screw:screw design:specification"", ""twin screw:type of extruder:specification""]",
True,Vertical Extruder,0,[],,"```python
[]
```",
True,20 kg gold and silver refinery machine,3,"['[""20 kg:capacity(kg):specification""', '""gold:metal:specification""', '""silver:metal:specification""]']","[""20 kg:capacity(kg):specification"" | ""gold:metal:specification"" | ""silver:metal:specification""]","```python
[""20 kg:capacity(kg):specification"", ""gold:metal:specification"", ""silver:metal:specification""]
```",
True,no Aluminium Extrusion Plant,0,[],,"```python
[]
```",
True,Gold and Silver Refinery Machine,4,"['gold:metal:specification', 'silver:metal:specification', 'gold refining:usage/application:specification', 'silver refining:usage/application:specification']",gold:metal:specification | silver:metal:specification | gold refining:usage/application:specification | silver refining:usage/application:specification,"[""gold:metal:specification"", ""silver:metal:specification"", ""gold refining:usage/application:specification"", ""silver refining:usage/application:specification""]",
True,5000 no Complete Aluminum Extrusion plant .,0,[],,"```python
[]
```",
True,gold-refining-equipment,0,[],,[],
True,Horizontal Rotary Extractors,0,[],,[],
True,EXTRUDERS,0,[],,[],
True,solvent distillerson plant menu capture of,0,[],,"```python
[]
```",
True,Vegetable Oil Extractor,0,[],,[],
True,fully automatic silver & gold refainary,3,"['[""fully automatic:automation grade:specification""', '""silver:metal:specification""', '""gold:metal:specification""]']","[""fully automatic:automation grade:specification"" | ""silver:metal:specification"" | ""gold:metal:specification""]","```python
[""fully automatic:automation grade:specification"", ""silver:metal:specification"", ""gold:metal:specification""]
```",
True,corpa 0il cake,0,[],,"```python
[]
```",
True,silver refining plant fully automatic,2,"['[""silver refining plant:usage/application:specification""', '""fully automatic:automation grade:specification""]']","[""silver refining plant:usage/application:specification"" | ""fully automatic:automation grade:specification""]","```python
[""silver refining plant:usage/application:specification"", ""fully automatic:automation grade:specification""]
```",
True,automatic 100 kg/hr Twin Screw Extruder,4,"['[""automatic:automation grade:specification""', '""100 kg/hr:production capacity:specification""', '""twin screw:screw design:specification""', '""twin screw:type of extruder:specification""]']","[""automatic:automation grade:specification"" | ""100 kg/hr:production capacity:specification"" | ""twin screw:screw design:specification"" | ""twin screw:type of extruder:specification""]","```python
[""automatic:automation grade:specification"", ""100 kg/hr:production capacity:specification"", ""twin screw:screw design:specification"", ""twin screw:type of extruder:specification""]
```",
True,gold refinery,0,[],,"```python
[]
```",
True,sino holyson twin screw extruder machine,0,[],,"```python
[]
```",
True,SINO-HOLYSON Twin Screw Extruder Machine,0,[],,"```python
[]
```",
True,Double Screw Extruder,0,[],,"```python
[]
```",
True,Tube Extrusion Machine,1,['tube extrusion machine:machine type:specification'],tube extrusion machine:machine type:specification,"[""tube extrusion machine:machine type:specification""]",
True,Extracting Machinery,0,[],,"```python
[]
```",
True,Silver Refining Plant Capacity(kg): 10,1,"['[""10:capacity(kg):specification""]']","[""10:capacity(kg):specification""]","```python
[""10:capacity(kg):specification""]
```",
True,"Silver Refining Plant, Capacity(kg): 10",2,"['[""10:capacity(kg):specification""', '""silver refining plant:usage/application:specification""]']","[""10:capacity(kg):specification"" | ""silver refining plant:usage/application:specification""]","```python
[""10:capacity(kg):specification"", ""silver refining plant:usage/application:specification""]
```",
True,aluminium machinery,0,[],,"```python
[]
```",
True,pp lumps extruder machine,2,"['pp:material to be extruded:specification', 'ms:body material:specification']",pp:material to be extruded:specification | ms:body material:specification,"[""pp:material to be extruded:specification"", ""ms:body material:specification""]",
True,Sulver ork plant,0,[],,"```python
[]
```",
True,Material Processing (pre Expander),0,[],,"```python
[]
```",
True,extruder 180 sqmm,0,[],,"```python
[]
```",
True,Rudder,0,[],,"```python
[]
```",
True,DK platinum refining machine 30 kg,1,['30 kg:capacity(kg):specification'],30 kg:capacity(kg):specification,"[""30 kg:capacity(kg):specification""]",
True,rice bran solvent plant,2,"['rice bran:raw material:specification', 'solvent extraction plant:machine type:specification']",rice bran:raw material:specification | solvent extraction plant:machine type:specification,"[""rice bran:raw material:specification"", ""solvent extraction plant:machine type:specification""]",
True,twin screw extruder portable,2,"['twin screw:screw design:specification', 'portable:feature:specification']",twin screw:screw design:specification | portable:feature:specification,"[""twin screw:screw design:specification"", ""portable:feature:specification""]",
True,Gold and Silver Refinery Setup,2,"['gold:metal:specification', 'silver:metal:specification']",gold:metal:specification | silver:metal:specification,"[""gold:metal:specification"", ""silver:metal:specification""]",
True,namkeen machine extrusion chamber & screw,0,[],,"```python
[]
```",
True,Mixer Extruder,0,[],,[],
True,High Pressure Injector Hydraulic Extractor,0,[],,"```python
[]
```",
True,3 Layer ABA Die,1,['3 layer:layer:specification'],3 layer:layer:specification,"[""3 layer:layer:specification""]",
True,aqua regia gold refinery machine,3,"['aqua regia:process type:specification', 'gold:refining material:specification', 'machine:product type:specification']",aqua regia:process type:specification | gold:refining material:specification | machine:product type:specification,"[""aqua regia:process type:specification"", ""gold:refining material:specification"", ""machine:product type:specification""]",
True,Copper Extrusion,0,[],,"```python
[]
```",
True,Co Extruded,0,[],,"```python
[]
```",
True,gold munual refinery,0,[],,"```python
[]
```",
True,100 ton rice bran solvent extraction,3,"['100 tpd:capacity:specification', 'rice bran:raw material:specification', 'solvent extraction:extraction method:specification']",100 tpd:capacity:specification | rice bran:raw material:specification | solvent extraction:extraction method:specification,"[""100 tpd:capacity:specification"", ""rice bran:raw material:specification"", ""solvent extraction:extraction method:specification""]",
True,200 tun aluminium extrusion plant,0,[],,"```python
[]
```",
True,extruder machine near bhiwadi,0,[],,[],
True,निडर एक्सटरुडर मशीन,0,[],,[],
True,tube-extrusion-machine,0,[],,[],
True,7 kg Capacity Refining and Recycling System,1,['7 kg:capacity(kg):specification'],7 kg:capacity(kg):specification,"[""7 kg:capacity(kg):specification""]",
True,aluminium plant,0,[],,[],
True,ram extruder,0,[],,[],
True,Twin Screw Extruder Machine,2,"['twin screw:screw design:specification', 'twin screw:type of extruder:specification']",twin screw:screw design:specification | twin screw:type of extruder:specification,"[""twin screw:screw design:specification"", ""twin screw:type of extruder:specification""]",
True,100 kg/hr manual twin screw extruder machine,3,"['[""100 kg/hr:production capacity:specification""', '""manual:automation grade:specification""', '""twin screw:screw design:specification""]']","[""100 kg/hr:production capacity:specification"" | ""manual:automation grade:specification"" | ""twin screw:screw design:specification""]","```python
[""100 kg/hr:production capacity:specification"", ""manual:automation grade:specification"", ""twin screw:screw design:specification""]
```",
True,Semi Automatic Mat Extruder Machine,2,"['semi automatic:automation grade:specification', 'automatic:type:specification']",semi automatic:automation grade:specification | automatic:type:specification,"[""semi automatic:automation grade:specification"", ""automatic:type:specification""]",
True,Die Roller Extruder Machine,0,[],,"```python
[]
```",
True,extrusion-plant,0,[],,[],
True,20KG GOLD REFINING MACHINE - METAL AND DUST REFINING,5,"['[""20 kg:capacity(kg):specification""', '""gold:metal:specification""', '""gold refining:usage/application:specification""', '""metal:material to be extruded:specification""', '""dust:dust:specification""]']","[""20 kg:capacity(kg):specification"" | ""gold:metal:specification"" | ""gold refining:usage/application:specification"" | ""metal:material to be extruded:specification"" | ""dust:dust:specification""]","```python
[""20 kg:capacity(kg):specification"", ""gold:metal:specification"", ""gold refining:usage/application:specification"", ""metal:material to be extruded:specification"", ""dust:dust:specification""]
```",
True,solid phase bioremediation,0,[],,"```python
[]
```",
True,twin screw extruder for polymer,3,"['[""twin screw:screw design:specification""', '""extruder:type:specification""', '""plastic:material to be extruded:specification""]']","[""twin screw:screw design:specification"" | ""extruder:type:specification"" | ""plastic:material to be extruded:specification""]","```python
[""twin screw:screw design:specification"", ""extruder:type:specification"", ""plastic:material to be extruded:specification""]
```",
