"fk_im_spec_master_desc","fk_im_spec_options_desc"
Capacity,As per client requirement
Plastic Processed,As per Customer Requirement
Capacity,standard
Screw Design,Standard
I Deal In,New Only
Dimension,Customisable
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Color,As per requirement
I Deal In,New Only
Dimension,standard
I Deal In,New Only
Design Type,Customized
Dimension,Customisable
Design Type,Customized
Diesel Consumption,NA
I Deal In,New Only
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Usage/Application,"Used for extraction of spices, herbals, alkaloids, natural colors and gums. We can supply any capaci"
Design Type,"Used for extraction of spices, herbals, alkaloids, natural colors and gums. We can supply any capaci"
Machine Type,"Used for extraction of spices, herbals, alkaloids, natural colors and gums. We can supply any capaci"
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Brand Name,Qunying
No of position,"96"
Production Capacity,"50 kg"
Capacity(kg),"5 kg"
Capacity,"5 kg"
Capacity,"100 kg/hr"
Motor Power,"10 HP"
Capacity(kg),"5 kg"
Capacity,"5 kg"
Capacity,"2.5 Kg"
Plastic Processed,PVC
Plastic Processed,PVC
Type Of Testing Machines,Manual
Automation Grade,Semi Automatic
Font Roll Diameter,Semi Automatic
Automation Grade,Fully Automatic
Bowl Capacity,"2.5 Kg"
Frequency,Fully Automatic
Line Speed,Semi Automatic
Material,PVC
Operation Mode,AUTOMATIC
Production Capacity,"100 KG/HR"
Material,PVC
Type,AUTOMATIC
Font Roll Diameter,Fully Automatic
Line Speed,Fully Automatic
Frequency,Semi Automatic
Feed Motor,"10 HP"
Main Motor,"10 HP"
Automation Grade,Manual
Capacity,"1kg"
Capacity(kg),"1kg"
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Automation Grade,Automatic
Machine Type,Automatic
Automation Grade,Automatic
Machine Type,Automatic
Automation Grade,Automatic
Machine Type,Automatic
Machine Type,Automatic
Machine Weight,"0.8 Tonnes"
Voltage,"415"
Phase,Three Phase
Voltage,"440 V"
Automation Grade,Automatic
Usage/Application,Industrial
Installation Services,Yes
Frequency,"50 Hz"
Machine Power,"0-40"
Driven Type,Electric
Lay Flat Width,"12 Feet"
Voltage,"240 -380 V"
Power Source,Electric
Output,"0.12 - 1.2 Kg/h"
Weight,"900 kg"
Power,"10 kW"
Size,Natural
Output,"10 - 20 kg/hrs"
Weight,"1050 Kg"
Power,"220 Volts"
Brand,S D Enterprises
Color,blue
Speed,"1440"
Material,Stainless Steel
Usage/Application,Rotary Extractor
Brand,LUCKY
Power Source,Electric
Frequency,"60 Hz"
Material,MS
Material,MS
Voltage,"415 V"
Power,"5 HP"
Automation Grade,Automatic
Automation Grade,Semi-Automatic
Brand,Lucid Fusion
Voltage,"220V"
Brand,Steco
Automation Grade,Semi-Automatic
Design Type,Customised
Brand/Make,Goyum
Brand,Zoomlion
Body Material,MS
Phase,Single
Design Type,Standard
Wire Diameter,N.A
Warranty,"1 YEAR"
Model Name/Number,IEC1255HM
Motor,"2 H P"
Usage/Application,Textile Industry
Body Material,Mild Steel
Frequency,"50 Hz"
Machine Power,"0-40"
Installation Services,Yes
Automation Grade,Automatic
Phase,SINGLE
Automation Grade,Automatic
Material,Cast Iron
Wire Type,All
Automation Grade,Semi-Automatic
Installation Services,Yes
Voltage,"220 V"
Usage/Application,Dairy Farm
Frequency,"50 / 60 HZ"
Country of Origin,Made in India
Power,"4HP"
Material,P P
Frequency,"50-60Hz"
Country of Origin,Made in India
Phase,"3phase"
Automation Grade,Manual
Automation Grade,Semi-Automatic
Brand,Adroit Extrusion
Machine Type,Automatic
Automation Grade,Semi-Automatic
Phase,Three Phase
Power,"30 KW"
Power,"3 Phase"
Automation Grade,Semi-Automatic
Voltage Supply,"230V"
Frequency,"50Hz"
Automation Grade,Automatic
Voltage,"440 V"
Capacity,"150kh"
Country of Origin,Made in India
Phase,"3 Phase"
Automation Grade,Automatic
Installation Services,Yes
Drum Size,"26/36/48"
Installation Services,Yes
Automation Grade,Automatic
Model Name/Number,MEL/40/EX
Color,Blue
Hand Operated,Yes
Brand,Shri Balaji Scientific Works
Purity,"99%"
Voltage,"440V"
Weight,"1500 Kg"
Body Material,Stainless Steel
Phase,Single Phase
Brand,Gangaa
I Deal In,New Only
Brand,Sisco India
Automation Grade,Semi-Automatic
Purity,"99.99%"
Phase,Three
Power,"0.5 kW"
Voltage,"440 V"
Frequency,"50-60 Hz"
Automatic Grade,Automatic
Brand,K-Jhil Scientific Pvt. Ltd
Automation Grade,fully automatic
Power Source,Electric
Sheet Thickness,"2 mm"
Motor Power,"1 Hp"
Automation Grade,Semi-Automatic
Color,bule
Body Material,on request
Screw Diameter,depends on material
Line Speed,depends on material
Weight,on request
Finish Type,depends on material
Die Size,on request
Driven Type,on request
Installation Services,depends on material
Hopper,on request
Screw Number,on request
Surface Finish Coating,depends on material
Phase,"3"
Voltage,"220 V"
Output,"500 - 2000 g /hrs"
Weight,"400 Kg"
Automation Grade,Semi-Automatic
Phase,"3 Phase"
Body Material,Mild steel
Brand,Innotech
Operation Mode,Automatic
Country of Origin,Made in India
Installation Services,Yes
Size,Customized
Country of Origin,Made in India
Installation Services,Yes
I Deal In,New Only
Country of Origin,Made in India
Color,customized
Country of Origin,Made in India
Material,SS
Automation Grade,Automatic
Voltage,"230 V"
Power Source,Electric
Usage/Application,Laboratory
Frequency,"50 Hz"
Material,Mild Steel
Power,"1 Hp"
Output,"50-100 kg/hr"
Driven Type,motor
Pressure,"4-5 kg"
Speed,"1500RPM"
Phase,Three Phase
Voltage,"440 V"
Usage/Application,Industrial
Speed,"750 rpm"
Output,"120 - 200 Kg/hr"
Motor Power,"2HP"
Power,"3 kwt"
Phase,"3"
Lay Flat Width,"18 Feet / 24 Feet / 36 Feet"
Main Drive Ac,AC
Color,Blue white semance grey
Power,AC
Automation Grade,Semi-Automatic
Voltage,"220V"
Machine Power,"5 HP"
Power Consumption,"5"
Automation Grade,Semi-Automatic
Voltage,"220 V"
Brand,GM Industries
Country of Origin,Made in India
Brand,LE
Material,Stainless Steel
Weight,"200 kg"
Frequency,"50Hz"
Brand,Creative Autotech
Voltage Supply,"230 V AC"
Surface Finishing,Color Coated
Brand,Habricks
Country of Origin,Made in India
Automation Grade,Manual
Voltage Supply,"230 V"
Frequency,"50 HZ"
Hand Operated,Yes
Installation Services,Yes
Automation Grade,Semi-Automatic
Output,"100-200 kg/hr"
Voltage,"415v/440v"
Diameter,depends on material
Average Productivity,depends on material
Screw Size,on request
Wire Diameter,depends on material
Lay Flat Width,on request
Motor Kw,depends on motor kw
Diameter Millimeter,depends on material
I Deal In,New Only
Automation Grade,Semi-Automatic
Body Material,Mild Steel
Voltage,"415v/440v"
Power,"2.2 Kw"
Automation Grade,Semi-Automatic
Installation Services,Yes
Body Material,PP
Voltage,"230v"
Automation Grade,Automatic
Driven Type,AC VFD
Automation Grade,Automatic
Body Material,stainless steel and cast iron
Weight,"500 kgs"
Size,"50"
Driven Type,motor
Material,PP
Voltage,"48 - 75 ( kw )"
Brand,Ocean Extrusions Pvt Ltd
Country of Origin,Made in India
Screw Number,Twin Screw
Country of Origin,Made in India
Automation Grade,Automatic
Production Capacity,"350 kg/hr"
Production Capacity,"100 kg/hr"
Machine Type,Continuous Extrusion Machine
Production Capacity,"200 kg/hr"
Material,HDPE
Automation Grade,Automatic
Production Capacity,"50 kg/hr"
Capacity,"100"
Capacity,"48"
Machine Type,Solvent Extraction Plant
Production Capacity,"50 kg/hr"
Machine Type,Tube Extrusion Machine
Production Capacity,"50 kg/hr"
Material,Nickel Recovery Plant
Production Capacity,"50 kg/hr"
Body Material,Stainless Steel
Line Speed,"60 RPM"
Production Capacity,"300 kg/hr"
Machine Type,Twin Screw Extruder
Capacity,"100 kg"
Material,Mild Steel
Automation Grade,Automatic
Features,High Speed
Uses,Asphalt Testing
Material to be Process,Plastic
Sheet Material,Aluminium
Barrel Bore,"45 mm"
Capacity(kg),"5 kg"
Capacity,"5 kg"
Plastic Processed,PLASTIC
Brand,Helix
Motor Power,as per the size
Dimension,AS PER THE SIZE
Frequency,Automatic Refining machine
Frequency,Fully Automatic
Motor Power,Fully Automatic
Material To Be Extruded,Plastic
Range,"20 to 110mm"
Screw L/D,"18:1"
Automation Grade,Semi-Automatic
Material,PP
Body Material,pp
Dimension,as per the size
Font Roll Diameter,as per the size
Automatic grade,Semi Automatic
Automation Grade,Automatic Refining Machine
Die Size,"20 to 110mm"
Power,Fully Automatic
Material,pp
Automation Grade,Fully Automatic
Body Material,Fully Automatic
Size,"20 to 110mm"
Body Material,PP
Font Roll Diameter,AS PER THE SIZE
Line Speed,AS PER THE SIZE
Power,AS PER THE SIZE
Voltage,"230"
Automation Grade,Automatic
Power,"230"
Frequency,Automatic
Motor Power,Automatic
Voltage,"220"
Electrical Unit Consumption,"220"
No of position,"48, 96, 144"
Capacity,"236 m/min"
Capacity,"3000 L"
Capacity,"3000 L"
Capacity,"25 L"
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Automation Grade,Semi Automatic
Design Type,Semi Automatic
Automation Grade,Semi Automatic
Machine Type,Semi Automatic
Design Type,Semi Automatic
Automation Grade,Semi Automatic
Design Type,Semi Automatic
Machine Type,Semi Automatic
Machine Type,Semi Automatic
Automation Grade,Semi Automatic
Design Type,Semi Automatic
Automation Grade,Semi Automatic
Design Type,Semi Automatic
Machine Type,Semi Automatic
Automation Grade,Semi Automatic
Design Type,Semi Automatic
Machine Type,Semi Automatic
Design Type,Semi Automatic
Machine Type,Semi Automatic
Automation Grade,Semi Automatic
Machine Type,Semi Automatic
Automation Grade,Semi Automatic
Design Type,Semi Automatic
Machine Type,Semi Automatic
Brand,Mechotechllp
Form,Mechotechllp
Overall Dimension,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Operation Mode,Automatic
Driven Type,Automatic
Size,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Overall Dimension,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Operation Mode,Automatic
Driven Type,Automatic
Size,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Capacity,"48,96,144"
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Power Source,Solvent Extraction Plant
Body Material,Y
Automation Grade,Automatic
Automatic Grade,Automatic
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Material,PP
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Standard
Dimension,As required
Design Type,Customized
I Deal In,New Only
Design Type,Customized
Purity,Good
I Deal In,New Only
I Deal In,New Only
Purity,Good
Purity,good
I Deal In,New Only
Size,As per Design
I Deal In,New Only
I Deal In,New Only
Design Type,Customised
Dimension,Customisable
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Automatic grade,Costomized
Design Type,Customized
Heating Range,Good
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Packaging Size,CUSTOM
Usage/Application,ANY
I Deal In,New Only
Packaging Size,As Specified
I Deal In,New Only
I Deal In,New Only
Design,Customized
Design Type,Customized
Color,Customized
I Deal In,New Only
Phase,Not applicable
Capacity,Cutomized
Production Capacity,As Per Requirement
Frequency,standard
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I deal in,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I deal in,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I deal in,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Design Type,CUSTOMIZED
Color,any
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Design Type,Customised
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Design Type,CUSTOMISED
I Deal In,New Only
Usage/Application,Mixing
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Design Type,Customized
Space,As per Requirement
I Deal In,New Only
I Deal In,New Only
Capacity,custom
Brand,NA
Screw Design,na
Screw Number,na
Plastic Processed,NA
Plastic Processed,na
Capacity,as per requirement
Power,all
Voltage,all
Design Type,AS PER DESIGN
Power Source,AS PER DESIGN
Voltage,AS PER DESIGN
Color,as per requirement
Capacity,Customized
Material,Customized
Color,Other
Flow Rate,Other
Capacity,"50 kg/hr"
Machine Type,Automatic
Automation Grade,Semi-Automatic
Packaging Type,Roll
Automation Grade,Semi Automatic
Capacity,"100 kg/hr"
Capacity,"100 kg/hr"
Production Capacity,"50 kg/hr"
Capacity,"100 kg/hr"
Material,Stainless Steel
Roller Material,Mild Steel
Production Capacity,"100 kg/hr"
Automation Grade,Semi Automatic
Operation Type,Automatic
Capacity(kg),"20 kg"
Capacity,"100 kg"
Material,Stainless Steel & Mild Steel Both Available
Automation Grade,Automatic & Semi Automatic Both
Frequency,"50 htz"
No of position,"12, 24"
Installation Services,Yes
Driven Type,Electrical
Frequency,"50Hz"
No of position,"12 & 24"
Voltage,"440 V"
Phase,Single phase
Power Source,Vaccum only
Frequency,"50 htz"
SPE cartridge size,"HLB, C18"
Standard with equipment,Vaccum Manifold & accessories
Phase,single
SPE cartridge size,"HLB, C18"
Standard with equipment,Vaccum Manifold & accessories
Model Name/Number,NSC/HYD/220/CUSTOMISEDCN
No of position,YES
Frequency,YES
Power Source,ELECTRIC
SPE cartridge size,COOL
Standard with equipment,YES
Phase,TWO
Power Source,Electric
Frequency,"40hz"
Model Name/Number,MPPL-TP/110GF
Production Capacity,"100 kg/hr"
Production Capacity,"150 kg/hr"
Type of Machine,PP Dana Making Machine
Production Capacity,"50 kg/hr"
Capacity,"50 L"
Capacity,"1 Kg Per Transaction"
Capacity,"10 TPD"
Production Capacity,"100g to 2kg"
Production Capacity,"50 kg/hr"
Capacity(kg),"5 kg"
Capacity,"1 to 100kg"
Size/Diameter,"10 inch"
Flow Rate,"500 m^3/hr"
Capacity,"1 to 100 kg"
Capacity,"35 kg per hr"
Production Capacity,"100 kg"
Production Capacity,"100 kg/hr"
Production Capacity,"200 kg/hr"
Production Capacity,upto 25 kg/hr
Capacity,"50 TPD"
Capacity,"6kg"
Capacity(kg),"20 kg"
Capacity,"50 kg/hr"
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Usage/Application,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Usage/Application,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Machine
Design Type,Solvent Extraction Machine
Usage/Application,"Used for extraction of spices, herbals, alkaloids, natural colors and gums. We can supply any capaci"
Design Type,"Used for extraction of spices, herbals, alkaloids, natural colors and gums. We can supply any capaci"
Capacity,"500 kg/hr"
Capacity(kg),"10 kg"
Production Capacity,"500 kg/hr"
Capacity,"10 kg"
Screw Number,"65/132"
Diameter,"65/132"
Size,"65/132"
Screw Diameter,"65/132"
Capacity(kg),"100 kg"
Capacity,"100 kg"
Capacity(kg),"10 kg"
Capacity,"10 Kg"
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Automation Grade,Automatic
Machine Type,Automatic
Automation Grade,Automatic
Machine Type,Automatic
Automation Grade,Automatic
Machine Type,Automatic
Automation Grade,Automatic
Machine Type,Automatic
Machine Type,Automatic
Automation Grade,Automatic
Automation Grade,Automatic
Machine Type,Automatic
Machine Type,Automatic
Automation Grade,Automatic
Machine Type,Automatic
Automation Grade,Automatic
Automation Grade,Automatic
Machine Type,Automatic
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Tank Volume,Customized
Capacity,As per requirement
Capacity,Standard
Capacity,variables
I Deal In,New Only
I Deal In,New Only
Design Type,Standard
I Deal In,New Only
Purity,Good
I Deal In,New Only
Frequency,as per the requirement
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Automation Grade,As Per Requirement
I Deal In,New Only
Design Type,Customized
I Deal In,New Only
I Deal In,New Only
Design,Customized
Purity,Good
I Deal In,New Only
Purity,Good
I Deal In,New Only
I Deal In,New Only
Dust,N/A
I Deal In,New Only
I Deal In,New Only
Design Type,Customised
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Usage/Application,ANY
I Deal In,New Only
Color,Customized
Size,Customized
I Deal In,New Only
Size,Customized
I Deal In,New Only
I Deal In,New Only
Design Type,Standard
Purity,Good
Model Name/Number,ANY
Power Source,Not required
Capacity,Based on Requirement
Capacity,ANY
Capacity,customized
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Automation Grade,Automatic
Automation Grade,Automatic
Machine Type,Automatic
Automation Grade,Automatic
Capacity,"96"
Capacity,"50 kg"
Design Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Machine Type,Solvent Extraction Plant
Design Type,Solvent Extraction Plant
Machine Type,Automatic
Automation Grade,Automatic
Capacity,As per requirements
Material,BOTH
I Deal In,New Only
Design Type,Standard
Wire Thickness,NIL
Design Type,Standard
Depth,as per size
Diameter,as per requirement
I Deal In,New Only
