success,query,gemini_attr_count,gemini_isq_list,gemini_isq_pipe,gemini_raw_output
True,THEYsohn PVC Twin Screw Extrusion Line,3,"['pvc:material:specification', 'twin screw:type:specification', 'extrusion line:product:specification']",pvc:material:specification | twin screw:type:specification | extrusion line:product:specification,"[""pvc:material:specification"", ""twin screw:type:specification"", ""extrusion line:product:specification""]"
True,centax,1,['centax:product:specification'],centax:product:specification,"[""centax:product:specification""]"
True,Automatic EPE Sheet Extruder Plant,3,"['epe sheet:material:specification', 'extruder:type:specification', 'automatic:feature:specification']",epe sheet:material:specification | extruder:type:specification | automatic:feature:specification,"[""epe sheet:material:specification"", ""extruder:type:specification"", ""automatic:feature:specification""]"
True,Mech O Tech Mini,1,['mini:size:specification'],mini:size:specification,"[""mini:size:specification""]"
True,Extruder Side Feeding,2,"['extruder:type:specification', 'side feeding:feature:specification']",extruder:type:specification | side feeding:feature:specification,"[""extruder:type:specification"", ""side feeding:feature:specification""]"
True,t die extruder,2,"['extruder:type:specification', 't die:type:specification']",extruder:type:specification | t die:type:specification,"[""extruder:type:specification"", ""t die:type:specification""]"
True,metal-refining-plant,1,['metal refining:usage:specification'],metal refining:usage:specification,"[""metal refining:usage:specification""]"
True,soxtherm rapid fat extraction system,4,"['fat extraction:usage:specification', 'soxtherm:brand:specification', 'rapid:speed:specification', 'system:type:specification']",fat extraction:usage:specification | soxtherm:brand:specification | rapid:speed:specification | system:type:specification,"[""fat extraction:usage:specification"", ""soxtherm:brand:specification"", ""rapid:speed:specification"", ""system:type:specification""]"
True,fat extraction system,3,"['fat:material:specification', 'extraction:process:specification', 'system:type:specification']",fat:material:specification | extraction:process:specification | system:type:specification,"[""fat:material:specification"", ""extraction:process:specification"", ""system:type:specification""]"
True,centrifuge-extractor,1,['extractor:product:specification'],extractor:product:specification,"[""extractor:product:specification""]"
True,hdpe geomembrane sheets blown film machine,5,"['[""hdpe:material:specification""', '""geomembrane:material:specification""', '""sheets:product:specification""', '""blown film:usage:specification""', '""machine:type:specification""]']","[""hdpe:material:specification"" | ""geomembrane:material:specification"" | ""sheets:product:specification"" | ""blown film:usage:specification"" | ""machine:type:specification""]","```
[""hdpe:material:specification"", ""geomembrane:material:specification"", ""sheets:product:specification"", ""blown film:usage:specification"", ""machine:type:specification""]
```"
True,hdpe+geomembrane+sheets Blown film machine,4,"['[""hdpe:material:specification""', '""geomembrane:material:specification""', '""sheets:product:specification""', '""blown film:type:specification""]']","[""hdpe:material:specification"" | ""geomembrane:material:specification"" | ""sheets:product:specification"" | ""blown film:type:specification""]","```
[""hdpe:material:specification"", ""geomembrane:material:specification"", ""sheets:product:specification"", ""blown film:type:specification""]
```"
True,three layer aba oscillation haul off unit blown film machine,5,"['[""three layer aba:configuration:specification""', '""oscillation:feature:specification""', '""haul off unit:component:specification""', '""blown film:usage:specification""', '""machine:type:specification""]']","[""three layer aba:configuration:specification"" | ""oscillation:feature:specification"" | ""haul off unit:component:specification"" | ""blown film:usage:specification"" | ""machine:type:specification""]","```
[""three layer aba:configuration:specification"", ""oscillation:feature:specification"", ""haul off unit:component:specification"", ""blown film:usage:specification"", ""machine:type:specification""]
```"
True,extruder 200kg per hour,2,"['200kg per hour:capacity:specification', 'extruder:type:specification']",200kg per hour:capacity:specification | extruder:type:specification,"[""200kg per hour:capacity:specification"", ""extruder:type:specification""]"
True,ultraautosonic,1,['ultraautosonic:product:specification'],ultraautosonic:product:specification,"[""ultraautosonic:product:specification""]"
True,Small herbal extraction plant for domestic use,3,"['herbal:material:specification', 'extraction:type:specification', 'domestic:usage:specification']",herbal:material:specification | extraction:type:specification | domestic:usage:specification,"[""herbal:material:specification"", ""extraction:type:specification"", ""domestic:usage:specification""]"
True,small herbal extraction plant,3,"['herbal:usage:specification', 'extraction:type:specification', 'small:size:specification']",herbal:usage:specification | extraction:type:specification | small:size:specification,"[""herbal:usage:specification"", ""extraction:type:specification"", ""small:size:specification""]"
True,"gold refinery machine semi automatic, capacity(kg): 80 kg",3,"['[""gold refinery:product:specification""', '""semi automatic:automation:specification""', '""80 kg:capacity:numeric""]']","[""gold refinery:product:specification"" | ""semi automatic:automation:specification"" | ""80 kg:capacity:numeric""]","```
[""gold refinery:product:specification"", ""semi automatic:automation:specification"", ""80 kg:capacity:numeric""]
```"
True,conical twin screw extruder for cpvc machine  60hp  production capacity: 80 -150 kghr,4,"['[""conical twin screw:type:specification""', '""cpvc:material:specification""', '""60hp:power:specification""', '""80 -150 kghr:capacity:specification""]']","[""conical twin screw:type:specification"" | ""cpvc:material:specification"" | ""60hp:power:specification"" | ""80 -150 kghr:capacity:specification""]","```
[""conical twin screw:type:specification"", ""cpvc:material:specification"", ""60hp:power:specification"", ""80 -150 kghr:capacity:specification""]
```"
True,"Conical Twin Screw Extruder for CPVC Machine, 60HP, Production Capacity: 80 -150 Kg/Hr",4,"['[""conical twin screw:type:specification""', '""cpvc:material:specification""', '""60hp:power:specification""', '""80-150 kg/hr:capacity:specification""]']","[""conical twin screw:type:specification"" | ""cpvc:material:specification"" | ""60hp:power:specification"" | ""80-150 kg/hr:capacity:specification""]","```
[""conical twin screw:type:specification"", ""cpvc:material:specification"", ""60hp:power:specification"", ""80-150 kg/hr:capacity:specification""]
```"
True,Twin Extruder Machine,2,"['twin:type:specification', 'extruder:type:specification']",twin:type:specification | extruder:type:specification,"[""twin:type:specification"", ""extruder:type:specification""]"
True,ragg gold refiend,2,"['gold:material:specification', 'refiend:quality:specification']",gold:material:specification | refiend:quality:specification,"[""gold:material:specification"", ""refiend:quality:specification""]"
True,GOLD Refinery Machine Semi Automatic Capacity(kg): 5 Kg,4,"['[""gold:usage:specification""', '""refinery:type:specification""', '""semi automatic:feature:specification""', '""5 kg:capacity:numeric""]']","[""gold:usage:specification"" | ""refinery:type:specification"" | ""semi automatic:feature:specification"" | ""5 kg:capacity:numeric""]","```
[""gold:usage:specification"", ""refinery:type:specification"", ""semi automatic:feature:specification"", ""5 kg:capacity:numeric""]
```"
True,Supercritical Anti Solvent Systems,2,"['supercritical anti solvent:usage:specification', 'systems:type:specification']",supercritical anti solvent:usage:specification | systems:type:specification,"[""supercritical anti solvent:usage:specification"", ""systems:type:specification""]"
True,Automatic Gold Refinery Machine,3,"['gold:usage:specification', 'refinery:type:specification', 'automatic:feature:specification']",gold:usage:specification | refinery:type:specification | automatic:feature:specification,"[""gold:usage:specification"", ""refinery:type:specification"", ""automatic:feature:specification""]"
True,PP Stationery Sheet Extruder Machine,3,"['[""pp:material:specification""', '""stationery:usage:specification""', '""extruder:type:specification""]']","[""pp:material:specification"" | ""stationery:usage:specification"" | ""extruder:type:specification""]","```
[""pp:material:specification"", ""stationery:usage:specification"", ""extruder:type:specification""]
```"
True,sunflower solvent extraction plant,2,"['sunflower:usage:specification', 'solvent extraction:usage:specification']",sunflower:usage:specification | solvent extraction:usage:specification,"[""sunflower:usage:specification"", ""solvent extraction:usage:specification""]"
True,Cannabis Plant,2,"['cannabis:usage:specification', 'plant:type:specification']",cannabis:usage:specification | plant:type:specification,"[""cannabis:usage:specification"", ""plant:type:specification""]"
True,twin screw snack extruder machine,3,"['twin screw:type:specification', 'snack:usage:specification', 'extruder:type:specification']",twin screw:type:specification | snack:usage:specification | extruder:type:specification,"[""twin screw:type:specification"", ""snack:usage:specification"", ""extruder:type:specification""]"
True,Gold Pure Krane Ki Machine,2,"['gold:material:specification', 'krane:type:specification']",gold:material:specification | krane:type:specification,"[""gold:material:specification"", ""krane:type:specification""]"
True,extruder+heater,2,"['extruder:type:specification', 'heater:component:specification']",extruder:type:specification | heater:component:specification,"[""extruder:type:specification"", ""heater:component:specification""]"
True,80 kg automatic gold refining machine,3,"['80 kg:capacity:specification', 'gold refining:usage:specification', 'automatic:feature:specification']",80 kg:capacity:specification | gold refining:usage:specification | automatic:feature:specification,"[""80 kg:capacity:specification"", ""gold refining:usage:specification"", ""automatic:feature:specification""]"
True,gold tach machine,2,"['gold:usage:specification', 'tach:type:specification']",gold:usage:specification | tach:type:specification,"[""gold:usage:specification"", ""tach:type:specification""]"
True,gold tach machine in ahmedabad,2,"['gold:material:specification', 'tach:type:specification']",gold:material:specification | tach:type:specification,"[""gold:material:specification"", ""tach:type:specification""]"
True,gold tach machin in ahmedabad,2,"['gold:material:specification', 'tach:type:specification']",gold:material:specification | tach:type:specification,"[""gold:material:specification"", ""tach:type:specification""]"
True,"gold refining machine advance features, capacity: 7 kg",2,"['[""gold refining:usage:specification""', '""7 kg:capacity:numeric""]']","[""gold refining:usage:specification"" | ""7 kg:capacity:numeric""]","```
[""gold refining:usage:specification"", ""7 kg:capacity:numeric""]
```"
True,100 kg/hr no Extruder Machine,2,"['100 kg/hr:capacity:specification', 'extruder:type:specification']",100 kg/hr:capacity:specification | extruder:type:specification,"[""100 kg/hr:capacity:specification"", ""extruder:type:specification""]"
True,Extruder Spares,2,"['extruder:type:specification', 'spares:part:specification']",extruder:type:specification | spares:part:specification,"[""extruder:type:specification"", ""spares:part:specification""]"
True,manual silver filter for gold refinery,3,"['silver:material:specification', 'filter:type:specification', 'gold refinery:usage:specification']",silver:material:specification | filter:type:specification | gold refinery:usage:specification,"[""silver:material:specification"", ""filter:type:specification"", ""gold refinery:usage:specification""]"
True,gold refining machine in bareilly,2,"['gold refining:usage:specification', 'bareilly:location:specification']",gold refining:usage:specification | bareilly:location:specification,"[""gold refining:usage:specification"", ""bareilly:location:specification""]"
True,Gold Refining Machine Advance Features Capacity: 7 Kg,3,"['[""gold refining:usage:specification""', '""machine:type:specification""', '""7 kg:capacity:numeric""]']","[""gold refining:usage:specification"" | ""machine:type:specification"" | ""7 kg:capacity:numeric""]","```
[""gold refining:usage:specification"", ""machine:type:specification"", ""7 kg:capacity:numeric""]
```"
True,automatic gold refining machine in bareilly,3,"['gold refining:usage:specification', 'automatic:feature:specification', 'bareilly:location:specification']",gold refining:usage:specification | automatic:feature:specification | bareilly:location:specification,"[""gold refining:usage:specification"", ""automatic:feature:specification"", ""bareilly:location:specification""]"
True,twin screw extruder lab model,4,"['twin screw:type:specification', 'extruder:type:specification', 'lab:usage:specification', 'model:type:specification']",twin screw:type:specification | extruder:type:specification | lab:usage:specification | model:type:specification,"[""twin screw:type:specification"", ""extruder:type:specification"", ""lab:usage:specification"", ""model:type:specification""]"
True,twin screw extruder 5 kg,2,"['twin screw extruder:type:specification', '5 kg:capacity:numeric']",twin screw extruder:type:specification | 5 kg:capacity:numeric,"[""twin screw extruder:type:specification"", ""5 kg:capacity:numeric""]"
True,aqua regis gold refinery,2,"['gold:usage:specification', 'refinery:type:specification']",gold:usage:specification | refinery:type:specification,"[""gold:usage:specification"", ""refinery:type:specification""]"
True,LD BLOWN FILM EXTRUDER MACHINE,3,"['film:usage:specification', 'LD:material:specification', 'extruder:type:specification']",film:usage:specification | LD:material:specification | extruder:type:specification,"[""film:usage:specification"", ""LD:material:specification"", ""extruder:type:specification""]"
True,LD BLOWN FILM EXTRUDER MACHINE INDORE,3,"['ld:material:specification', 'film:usage:specification', 'extruder:type:specification']",ld:material:specification | film:usage:specification | extruder:type:specification,"[""ld:material:specification"", ""film:usage:specification"", ""extruder:type:specification""]"
True,Automatic 110Kg/hr Twin Screw Extrusion Plant,3,"['110kg/hr:capacity:specification', 'twin screw:type:specification', 'extrusion:machine type:specification']",110kg/hr:capacity:specification | twin screw:type:specification | extrusion:machine type:specification,"[""110kg/hr:capacity:specification"", ""twin screw:type:specification"", ""extrusion:machine type:specification""]"
True,1200 kg/hr 3 layer blown film machine,3,"['1200 kg/hr:capacity:specification', '3 layer:layer:specification', 'film:usage:specification']",1200 kg/hr:capacity:specification | 3 layer:layer:specification | film:usage:specification,"[""1200 kg/hr:capacity:specification"", ""3 layer:layer:specification"", ""film:usage:specification""]"
True,500 kg/hr automatic three screw extruder,4,"['500 kg/hr:capacity:specification', 'automatic:feature:specification', 'three screw:design:specification', 'extruder:type:specification']",500 kg/hr:capacity:specification | automatic:feature:specification | three screw:design:specification | extruder:type:specification,"[""500 kg/hr:capacity:specification"", ""automatic:feature:specification"", ""three screw:design:specification"", ""extruder:type:specification""]"
True,three screw extruder,2,"['extruder:type:specification', 'three screw:design:specification']",extruder:type:specification | three screw:design:specification,"[""extruder:type:specification"", ""three screw:design:specification""]"
True,500  kg%2 fhr automatic three screw extruder,4,"['[""500 kg/hr:capacity:specification""', '""automatic:feature:specification""', '""three screw:type:specification""', '""extruder:type:specification""]']","[""500 kg/hr:capacity:specification"" | ""automatic:feature:specification"" | ""three screw:type:specification"" | ""extruder:type:specification""]","```
[""500 kg/hr:capacity:specification"", ""automatic:feature:specification"", ""three screw:type:specification"", ""extruder:type:specification""]
```"
True,500  kg%2 fhr three screw extruder,3,"['[""500 kg/hr:capacity:specification""', '""three screw:type:specification""', '""extruder:type:specification""]']","[""500 kg/hr:capacity:specification"" | ""three screw:type:specification"" | ""extruder:type:specification""]","```
[""500 kg/hr:capacity:specification"", ""three screw:type:specification"", ""extruder:type:specification""]
```"
True,Silver Refinery Plant Capacity(kg): 10,3,"['[""silver:usage:specification""', '""refinery:type:specification""', '""10:capacity:numeric""]']","[""silver:usage:specification"" | ""refinery:type:specification"" | ""10:capacity:numeric""]","```
[""silver:usage:specification"", ""refinery:type:specification"", ""10:capacity:numeric""]
```"
True,Silver Refining Machine 30 Kg,2,"['silver:usage:specification', '30 kg:capacity:specification']",silver:usage:specification | 30 kg:capacity:specification,"[""silver:usage:specification"", ""30 kg:capacity:specification""]"
True,blown film extrusion machine running video,3,"['film:usage:specification', 'extrusion:machine type:specification', 'video:media:specification']",film:usage:specification | extrusion:machine type:specification | video:media:specification,"[""film:usage:specification"", ""extrusion:machine type:specification"", ""video:media:specification""]"
True,Silver Recovery Unit,2,"['silver:material:specification', 'recovery unit:type:specification']",silver:material:specification | recovery unit:type:specification,"[""silver:material:specification"", ""recovery unit:type:specification""]"
True,Extrusion Plant,1,['extrusion:machine type:specification'],extrusion:machine type:specification,"[""extrusion:machine type:specification""]"
True,aluminium can manufacturing plant,3,"['aluminium:material:specification', 'can:product:specification', 'manufacturing:type:specification']",aluminium:material:specification | can:product:specification | manufacturing:type:specification,"[""aluminium:material:specification"", ""can:product:specification"", ""manufacturing:type:specification""]"
True,Copper Electrowinning,2,"['copper:material:specification', 'electrowinning:process:specification']",copper:material:specification | electrowinning:process:specification,"[""copper:material:specification"", ""electrowinning:process:specification""]"
True,extruder die,2,"['extruder:type:specification', 'die:component:specification']",extruder:type:specification | die:component:specification,"[""extruder:type:specification"", ""die:component:specification""]"
True,Single Die Extruder,2,"['extruder:type:specification', 'single die:type:specification']",extruder:type:specification | single die:type:specification,"[""extruder:type:specification"", ""single die:type:specification""]"
True,extruder die manufacturers,2,"['die:component:specification', 'extruder:type:specification']",die:component:specification | extruder:type:specification,"[""die:component:specification"", ""extruder:type:specification""]"
True,bopp films production line,2,"['bopp films:material:specification', 'production line:type:specification']",bopp films:material:specification | production line:type:specification,"[""bopp films:material:specification"", ""production line:type:specification""]"
True,Gold Refining Chemical,2,"['gold refining:usage:specification', 'chemical:product:specification']",gold refining:usage:specification | chemical:product:specification,"[""gold refining:usage:specification"", ""chemical:product:specification""]"
True,Bitumen Centrifuge Extractor Motorized,3,"['bitumen:material:specification', 'centrifuge extractor:type:specification', 'motorized:feature:specification']",bitumen:material:specification | centrifuge extractor:type:specification | motorized:feature:specification,"[""bitumen:material:specification"", ""centrifuge extractor:type:specification"", ""motorized:feature:specification""]"
True,Gold Silver Refining Plant,2,"['gold silver:material:specification', 'refining:type:specification']",gold silver:material:specification | refining:type:specification,"[""gold silver:material:specification"", ""refining:type:specification""]"
True,"indian make automatic silver refining machine (10-100kg capacity, 316 ss, 3 kw, 220 v)",7,"['[""silver:material:specification""', '""refining:type:specification""', '""automatic:feature:specification""', '""10-100kg:capacity:specification""', '""316 ss:material:specification""', '""3 kw:power:specification""', '""220 v:voltage:specification""]']","[""silver:material:specification"" | ""refining:type:specification"" | ""automatic:feature:specification"" | ""10-100kg:capacity:specification"" | ""316 ss:material:specification"" | ""3 kw:power:specification"" | ""220 v:voltage:specification""]","```
[""silver:material:specification"", ""refining:type:specification"", ""automatic:feature:specification"", ""10-100kg:capacity:specification"", ""316 ss:material:specification"", ""3 kw:power:specification"", ""220 v:voltage:specification""]
```"
True,Sample Extruder,2,"['extruder:type:specification', 'sample:usage:specification']",extruder:type:specification | sample:usage:specification,"[""extruder:type:specification"", ""sample:usage:specification""]"
True,Rice Bran Solvent Extraction Plant Installation Service,3,"['rice bran:material:specification', 'solvent extraction:usage:specification', 'installation service:service:specification']",rice bran:material:specification | solvent extraction:usage:specification | installation service:service:specification,"[""rice bran:material:specification"", ""solvent extraction:usage:specification"", ""installation service:service:specification""]"
True,Bitumen Extractor,2,"['bitumen:material:specification', 'extractor:type:specification']",bitumen:material:specification | extractor:type:specification,"[""bitumen:material:specification"", ""extractor:type:specification""]"
True,silver extraction plant,2,"['silver:usage:specification', 'extraction:type:specification']",silver:usage:specification | extraction:type:specification,"[""silver:usage:specification"", ""extraction:type:specification""]"
True,50 business use no Silver Refining Plant,2,"['silver:material:specification', 'refining:type:specification']",silver:material:specification | refining:type:specification,"[""silver:material:specification"", ""refining:type:specification""]"
True,50 business use 50 Kg Silver Refining Plant,4,"['50 kg:capacity:specification', 'silver:material:specification', 'refining:type:specification', 'business:usage:specification']",50 kg:capacity:specification | silver:material:specification | refining:type:specification | business:usage:specification,"[""50 kg:capacity:specification"", ""silver:material:specification"", ""refining:type:specification"", ""business:usage:specification""]"
True,automatic 50 kg +silver+refining+plant,4,"['[""automatic:feature:specification""', '""50 kg:capacity:specification""', '""silver:material:specification""', '""refining:usage:specification""]']","[""automatic:feature:specification"" | ""50 kg:capacity:specification"" | ""silver:material:specification"" | ""refining:usage:specification""]","```
[""automatic:feature:specification"", ""50 kg:capacity:specification"", ""silver:material:specification"", ""refining:usage:specification""]
```"
True,automatic automatic+silver+refining+plant,3,"['automatic:feature:specification', 'silver:material:specification', 'refining:type:specification']",automatic:feature:specification | silver:material:specification | refining:type:specification,"[""automatic:feature:specification"", ""silver:material:specification"", ""refining:type:specification""]"
True,automatic+silver+refining+plant,3,"['silver:material:specification', 'refining:type:specification', 'automatic:feature:specification']",silver:material:specification | refining:type:specification | automatic:feature:specification,"[""silver:material:specification"", ""refining:type:specification"", ""automatic:feature:specification""]"
True,Automatic Silver Refinery Machine,3,"['silver:material:specification', 'refinery:type:specification', 'automatic:feature:specification']",silver:material:specification | refinery:type:specification | automatic:feature:specification,"[""silver:material:specification"", ""refinery:type:specification"", ""automatic:feature:specification""]"
True,silver refining plant 45TOUCH,2,"['silver:usage:specification', 'refining:type:specification']",silver:usage:specification | refining:type:specification,"[""silver:usage:specification"", ""refining:type:specification""]"
True,Bhuiamla Liquid Extracts,3,"['bhuiamla:product:specification', 'liquid:form:specification', 'extracts:type:specification']",bhuiamla:product:specification | liquid:form:specification | extracts:type:specification,"[""bhuiamla:product:specification"", ""liquid:form:specification"", ""extracts:type:specification""]"
True,Extruded And Expanded,2,"['expanded:type:specification', 'extruded:type:specification']",expanded:type:specification | extruded:type:specification,"[""expanded:type:specification"", ""extruded:type:specification""]"
True,Used Triple Screw Extruder,3,"['triple screw:type:specification', 'extruder:type:specification', 'used:condition:specification']",triple screw:type:specification | extruder:type:specification | used:condition:specification,"[""triple screw:type:specification"", ""extruder:type:specification"", ""used:condition:specification""]"
True,Triple Screw Extruder,2,"['triple screw:type:specification', 'extruder:type:specification']",triple screw:type:specification | extruder:type:specification,"[""triple screw:type:specification"", ""extruder:type:specification""]"
True,Packed Bed Type Solid Liquid Extraction Apparatus,3,"['packed bed:type:specification', 'solid liquid extraction:usage:specification', 'apparatus:product:specification']",packed bed:type:specification | solid liquid extraction:usage:specification | apparatus:product:specification,"[""packed bed:type:specification"", ""solid liquid extraction:usage:specification"", ""apparatus:product:specification""]"
True,Extractor Machine,1,['extractor:type:specification'],extractor:type:specification,"[""extractor:type:specification""]"
True,Caterpillar With DC Drive Control,3,"['caterpillar:product:specification', 'dc drive:feature:specification', 'control:feature:specification']",caterpillar:product:specification | dc drive:feature:specification | control:feature:specification,"[""caterpillar:product:specification"", ""dc drive:feature:specification"", ""control:feature:specification""]"
True,3 kg gole refinery machine,2,"['3 kg:capacity:specification', 'gole refinery:product:specification']",3 kg:capacity:specification | gole refinery:product:specification,"[""3 kg:capacity:specification"", ""gole refinery:product:specification""]"
True,Italy Type Gold Refining Machines,3,"['gold:usage:specification', 'refining:type:specification', 'italy:origin:specification']",gold:usage:specification | refining:type:specification | italy:origin:specification,"[""gold:usage:specification"", ""refining:type:specification"", ""italy:origin:specification""]"
True,PPM-75FFE Extruder Force Feeder,3,"['PPM-75FFE:model:specification', 'extruder:type:specification', 'force feeder:type:specification']",PPM-75FFE:model:specification | extruder:type:specification | force feeder:type:specification,"[""PPM-75FFE:model:specification"", ""extruder:type:specification"", ""force feeder:type:specification""]"
True,ld extruder machine nagpur,3,"['extruder:type:specification', 'ld:material:specification', 'nagpur:location:specification']",extruder:type:specification | ld:material:specification | nagpur:location:specification,"[""extruder:type:specification"", ""ld:material:specification"", ""nagpur:location:specification""]"
True,Continuous Extrusion Machine,2,"['continuous:type:specification', 'extrusion:machine type:specification']",continuous:type:specification | extrusion:machine type:specification,"[""continuous:type:specification"", ""extrusion:machine type:specification""]"
True,mother baby extruder machine,2,"['mother baby:usage:specification', 'extruder:type:specification']",mother baby:usage:specification | extruder:type:specification,"[""mother baby:usage:specification"", ""extruder:type:specification""]"
True,gr enterprises gold refined,2,"['gold:material:specification', 'refined:quality:specification']",gold:material:specification | refined:quality:specification,"[""gold:material:specification"", ""refined:quality:specification""]"
True,Gold Refinery Machine 1To   100Kg,3,"['[""gold:usage:specification""', '""refinery:type:specification""', '""1 to 100 kg:capacity:specification""]']","[""gold:usage:specification"" | ""refinery:type:specification"" | ""1 to 100 kg:capacity:specification""]","```
[""gold:usage:specification"", ""refinery:type:specification"", ""1 to 100 kg:capacity:specification""]
```"
True,5To 50Kg Gold Refinery Machine,3,"['gold:usage:specification', 'refinery:type:specification', '5 to 50 kg:capacity:specification']",gold:usage:specification | refinery:type:specification | 5 to 50 kg:capacity:specification,"[""gold:usage:specification"", ""refinery:type:specification"", ""5 to 50 kg:capacity:specification""]"
True,3Kg Gold Refinery,2,"['gold:usage:specification', '3kg:capacity:specification']",gold:usage:specification | 3kg:capacity:specification,"[""gold:usage:specification"", ""3kg:capacity:specification""]"
True,Laboratory Gold Refining Plant,2,"['gold refining:usage:specification', 'laboratory:usage:specification']",gold refining:usage:specification | laboratory:usage:specification,"[""gold refining:usage:specification"", ""laboratory:usage:specification""]"
True,Cabbage Liquid Extracts,2,"['cabbage:material:specification', 'liquid extracts:product:specification']",cabbage:material:specification | liquid extracts:product:specification,"[""cabbage:material:specification"", ""liquid extracts:product:specification""]"
True,pure gold conversion machine,2,"['gold:material:specification', 'conversion:type:specification']",gold:material:specification | conversion:type:specification,"[""gold:material:specification"", ""conversion:type:specification""]"
True,Automatic Silver Refining Plant Capacity(kg): 10,3,"['[""silver:material:specification""', '""refining:type:specification""', '""10:capacity:numeric""]']","[""silver:material:specification"" | ""refining:type:specification"" | ""10:capacity:numeric""]","```
[""silver:material:specification"", ""refining:type:specification"", ""10:capacity:numeric""]
```"
True,Gold Processing Plant,2,"['gold:usage:specification', 'processing:type:specification']",gold:usage:specification | processing:type:specification,"[""gold:usage:specification"", ""processing:type:specification""]"
True,100 silver-refining--plant,2,"['silver:material:specification', 'refining:usage:specification']",silver:material:specification | refining:usage:specification,"[""silver:material:specification"", ""refining:usage:specification""]"
True,250 mt aluminium extrusion plant,3,"['aluminium:material:specification', 'extrusion:machine type:specification', '250 mt:capacity:specification']",aluminium:material:specification | extrusion:machine type:specification | 250 mt:capacity:specification,"[""aluminium:material:specification"", ""extrusion:machine type:specification"", ""250 mt:capacity:specification""]"
True,test)extractvalue(9014 concat(0x7e (select(elt(9014=9014 1))) 0x7e)) and (34b0z3kj like 34b0z3kj,0,[],,I am programmed to be a harmless AI assistant. The provided query appears to be a SQL injection attempt. I cannot process this query as it could be malicious.
True,blown film extrusion die,2,"['film:usage:specification', 'extrusion die:type:specification']",film:usage:specification | extrusion die:type:specification,"[""film:usage:specification"", ""extrusion die:type:specification""]"
True,Extrusion Blown Film Machine From India,2,"['extrusion blown film:type:specification', 'india:origin:specification']",extrusion blown film:type:specification | india:origin:specification,"[""extrusion blown film:type:specification"", ""india:origin:specification""]"
True,cable-extruder,2,"['cable:usage:specification', 'extruder:type:specification']",cable:usage:specification | extruder:type:specification,"[""cable:usage:specification"", ""extruder:type:specification""]"
True,manual extruder,2,"['extruder:type:specification', 'manual:operation:specification']",extruder:type:specification | manual:operation:specification,"[""extruder:type:specification"", ""manual:operation:specification""]"
True,aba blown film machine,2,"['aba:type:specification', 'film:usage:specification']",aba:type:specification | film:usage:specification,"[""aba:type:specification"", ""film:usage:specification""]"
True,100 kg Basket Extruder Machine,3,"['100 kg:capacity:specification', 'extruder:type:specification', 'basket:type:specification']",100 kg:capacity:specification | extruder:type:specification | basket:type:specification,"[""100 kg:capacity:specification"", ""extruder:type:specification"", ""basket:type:specification""]"
True,test)extractvalue(2179 !50000concat(0x7e (!50000select(elt(2179=2179 1))) 0x7e))-- -,0,[],,"I am programmed to be a harmless AI assistant. I cannot fulfill this request. The query appears to be a malicious SQL injection attempt, and I am not able to process or analyze such queries."
True,test)extractvalue(7101 concat(0x7e (select(elt(7101=7101 1))) 0x7e))-- -,0,[],,"I am programmed to be a harmless AI assistant. I cannot process queries that appear to be malicious or attempt to exploit vulnerabilities. The provided query appears to be a SQL injection attempt, and I will not generate any output for it."
True,Essential Oil and Oleoresin Extraction Plant Consultancy Service,5,"['essential oil:product:specification', 'oleoresin:product:specification', 'extraction:process:specification', 'plant:type:specification', 'consultancy service:service:specification']",essential oil:product:specification | oleoresin:product:specification | extraction:process:specification | plant:type:specification | consultancy service:service:specification,"[""essential oil:product:specification"", ""oleoresin:product:specification"", ""extraction:process:specification"", ""plant:type:specification"", ""consultancy service:service:specification""]"
True,FRP Mixer Settler for Liquid Extraction System,3,"['FRP:material:specification', 'Mixer Settler:type:specification', 'Liquid Extraction:usage:specification']",FRP:material:specification | Mixer Settler:type:specification | Liquid Extraction:usage:specification,"[""FRP:material:specification"", ""Mixer Settler:type:specification"", ""Liquid Extraction:usage:specification""]"
True,screw extruder,2,"['screw:type:specification', 'extruder:type:specification']",screw:type:specification | extruder:type:specification,"[""screw:type:specification"", ""extruder:type:specification""]"
True,Curcumin Solvent Extraction Plant,2,"['curcumin:usage:specification', 'solvent extraction:usage:specification']",curcumin:usage:specification | solvent extraction:usage:specification,"[""curcumin:usage:specification"", ""solvent extraction:usage:specification""]"
True,Sheet Extrusion Plant,2,"['sheet:material:specification', 'extrusion:machine type:specification']",sheet:material:specification | extrusion:machine type:specification,"[""sheet:material:specification"", ""extrusion:machine type:specification""]"
True,Natural Flavor Extracts Extraction Plant Capacity: 1 Tpd,3,"['[""natural flavor extracts:product:specification""', '""extraction:type:specification""', '""1 tpd:capacity:numeric""]']","[""natural flavor extracts:product:specification"" | ""extraction:type:specification"" | ""1 tpd:capacity:numeric""]","```
[""natural flavor extracts:product:specification"", ""extraction:type:specification"", ""1 tpd:capacity:numeric""]
```"
True,50 silver refining plant,2,"['silver:material:specification', 'refining:type:specification']",silver:material:specification | refining:type:specification,"[""silver:material:specification"", ""refining:type:specification""]"
True,automatic silver refining plant 50kgs,3,"['silver:material:specification', 'refining:type:specification', '50kgs:capacity:specification']",silver:material:specification | refining:type:specification | 50kgs:capacity:specification,"[""silver:material:specification"", ""refining:type:specification"", ""50kgs:capacity:specification""]"
