Query,Key Match Count,Value Match Count,GT Unique Keys,Gemini Unique Keys,GT Unique Values,Gemini Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemini: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemini Only Keys
Autonic Shaft Encoder,1,0,2,5,1,2,50.0%,0.0%,encoder - product_category | category,Autonic - brand | manufacturer |||| Shaft Encoder - product_type | type | category,category,,product category,brand | manufacturer | product type | type
B&R 8BVI0014HWS0.000-1 ACOPOS MULTI INVERTER MODULE I0014S,2,1,5,9,2,5,40.0%,50.0%,I0014S - model_number | part_number | model |||| drive - product_category | category,B&R - brand | manufacturer |||| 8BVI0014HWS0.000-1 - part_number | model_number |||| ACOPOS MULTI - series | family |||| INVERTER MODULE - product_type | type |||| I0014S - model_code,model number | part number,i0014s,category | model | product category,brand | family | manufacturer | model code | product type | series | type
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,6,2,9,10,5,5,66.7%,40.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 52 w - power | wattage |||| 24v - voltage | supply_voltage |||| 3000 rpm - speed | rpm | rated_speed,BLDC Motor - motor_type | brushless_dc |||| Sa42bld002 - model_number | part_number |||| 3000 Rpm - rpm | speed |||| 24vdc - voltage | volt |||| 52 Watt - power | wattage,motor type | power | rpm | speed | voltage | wattage,3000 rpm | bldc motor,product type | rated speed | supply voltage,brushless dc | model number | part number | volt
BRUSHLESS MOTOR DYS 1800KV,3,0,4,7,2,3,75.0%,0.0%,bldc motor - motor_type | product_type |||| 1800 kv - kv_rating | kv,brushless motor - motor_type | type |||| dys - brand | manufacturer |||| 1800kv - kv_rating | kv | rpm_per_volt,kv | kv rating | motor type,,product type,brand | manufacturer | rpm per volt | type
Bch Submersible Pump Starters,2,0,2,6,2,3,100.0%,0.0%,pump - application | use |||| starter - application | use,bch - brand | manufacturer |||| submersible pump - application | use |||| starters - product_type | type,application | use,,,brand | manufacturer | product type | type
Belimo Damper Actuator,1,0,4,5,1,2,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Belimo - brand | manufacturer |||| Damper Actuator - product_type | type | category,category,,application | product category | use,brand | manufacturer | product type | type
Belimo Damper Fire Actuator,1,0,4,5,1,2,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Belimo - brand | manufacturer |||| Damper Fire Actuator - application | type | product_type,application,,category | product category | use,brand | manufacturer | product type | type
Bharat Benz Aluminium Housing,0,1,2,6,1,3,0.0%,100.0%,housing - product_category | category,Bharat Benz - brand | manufacturer |||| Aluminium - material | housing_material |||| Housing - part_type | component,,housing,category | product category,brand | component | housing material | manufacturer | material | part type
Bharat Bijlee Electric Motor,5,1,5,5,2,2,100.0%,50.0%,bharat bijlee - brand | manufacturer | company |||| motor - motor_type | product_type,Bharat Bijlee - brand | manufacturer | company |||| Electric Motor - product_type | motor_type,brand | company | manufacturer | motor type | product type,bharat bijlee,,
Bharat Bijlee Ie3 Motor,5,3,7,6,3,3,71.4%,100.0%,bharat bijlee - brand | manufacturer | company |||| motor - motor_type | product_type |||| ie3 - efficiency_class | efficiency,Bharat Bijlee - brand | manufacturer |||| Ie3 - efficiency_class | efficiency | ie_rating |||| Motor - motor_type,brand | efficiency | efficiency class | manufacturer | motor type,bharat bijlee | ie3 | motor,company | product type,ie rating
Blower Motors,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,blower motors - motor_type | application | category,motor type,,product type,application | category
Bonfiglioli A Series Gear Motor,3,2,5,6,2,3,60.0%,100.0%,bonfiglioli - brand | manufacturer | company |||| gear motor - motor_type | product_type,Bonfiglioli - brand | manufacturer |||| A Series - series | model_series |||| Gear Motor - product_type | type,brand | manufacturer | product type,bonfiglioli | gear motor,company | motor type,model series | series | type
Bosch Carbon Brushes,3,1,7,5,3,2,42.9%,33.3%,bosch - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,Bosch - brand | manufacturer |||| Carbon Brushes - product_type | category | part_type,brand | category | manufacturer,bosch,application | company | product category | use,part type | product type
Bosch parts,3,1,5,4,2,2,60.0%,50.0%,bosch - brand | manufacturer | company |||| spare parts - product_category | category,bosch - brand | manufacturer |||| parts - product_type | category,brand | category | manufacturer,bosch,company | product category,product type
Brake Motors,1,0,2,3,1,2,50.0%,0.0%,brake motor - motor_type | product_type,brake motors - motor_type | type |||| brake - feature,motor type,,product type,feature | type
Break Motor,1,0,2,4,1,2,50.0%,0.0%,motor - motor_type | product_type,break motor - motor_type | type |||| break - feature | brake,motor type,,product type,brake | feature | type
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,1,0,2,9,1,5,50.0%,0.0%,motor - motor_type | product_type,Brueninghaus Hydromatik Rexroth - brand | manufacturer |||| A2Fm-28/61 - model_number | part_number | series |||| Hydraulic - technology | type |||| Piston Motor - motor_type | design,motor type,,product type,brand | design | manufacturer | model number | part number | series | technology | type
Bullet Farrata Fan Motor,3,1,4,4,2,2,75.0%,50.0%,fan motor - motor_type | product_type |||| fan - application | use,bullet farrata fan - application | use |||| fan motor - motor_type | type,application | motor type | use,fan motor,product type,type
C Beam Linear Actuator,0,0,4,5,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,linear actuator - product_type | type |||| c beam - profile | series | model,,,application | category | product category | use,model | product type | profile | series | type
CG Make 1hp 1440 rpm Flange Mounted Brake Motor,10,2,13,11,5,5,76.9%,40.0%,cg power - brand | manufacturer | company |||| brake motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| 1440 rpm - speed | rpm | rated_speed |||| flange mount - mounting_type | mounting,CG - brand | manufacturer |||| 1hp - horsepower | power | hp |||| 1440 rpm - rpm | speed |||| Flange Mounted - mounting | mounting_type |||| Brake Motor - motor_type | type,brand | horsepower | hp | manufacturer | motor type | mounting | mounting type | power | rpm | speed,1440 rpm | brake motor,company | product type | rated speed,type
CG Three Phase Crompton Greaves Flameproof Motor,5,2,9,8,4,5,55.6%,50.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| three phase - phase | supply_phase |||| flame proof - enclosure | protection,Crompton Greaves - brand | manufacturer | brand_abbreviation |||| Three Phase - phase | phase_type |||| Flameproof Motor - motor_type | enclosure | protection_type,brand | enclosure | manufacturer | motor type | phase,crompton greaves | three phase,company | product type | protection | supply phase,brand abbreviation | phase type | protection type
CG make  electric motor,3,0,5,5,2,2,60.0%,0.0%,cg power - brand | manufacturer | company |||| motor - motor_type | product_type,CG - brand | manufacturer | make |||| electric motor - product_type | type,brand | manufacturer | product type,,company | motor type,make | type
COPCARBON BRUSH 25X40X10,0,2,7,5,3,4,0.0%,66.7%,25X40X10 - model_number | part_number | model |||| automotive - application | use |||| brush - product_category | category,copcarbon brush - product_name |||| copcarbon - material |||| brush - type |||| 25x40x10 - dimensions | size,,25x40x10 | brush,application | category | model | model number | part number | product category | use,dimensions | material | product name | size | type
CP - 101 ACTUATOR,0,1,4,4,1,2,0.0%,100.0%,actuator - application | use |||| actuator - product_category | category,CP - 101 - model_number | part_number |||| ACTUATOR - product_type | type,,actuator,application | category | product category | use,model number | part number | product type | type
CTV 110 Unimotion Servo Motor,1,1,2,6,1,3,50.0%,100.0%,servo motor - motor_type | product_type,CTV 110 - model_series | series |||| Unimotion - brand | manufacturer |||| Servo Motor - motor_type | servo,motor type,servo motor,product type,brand | manufacturer | model series | series | servo
Carbon Brush,1,0,4,3,2,1,25.0%,0.0%,automotive - application | use |||| brush - product_category | category,Carbon Brush - product_name | part_name | category,category,,application | product category | use,part name | product name
Carbon Brush Holder,1,0,4,3,3,1,25.0%,0.0%,automotive - application | use |||| brush - product_category | category |||| holder - product_category | category,Carbon Brush Holder - product_type | category | part_name,category,,application | product category | use,part name | product type
Carbon brush for AC HT Moter,3,0,6,4,3,2,50.0%,0.0%,motor - motor_type | product_type |||| ac - current_type | supply_type |||| automotive - application | use,Carbon brush - product_type | component |||| AC HT Moter - application | motor_type,application | motor type | product type,,current type | supply type | use,component
Chimney Motor,3,2,4,3,2,2,75.0%,100.0%,motor - motor_type | product_type |||| chimney - application | use,chimney - application | use |||| motor - motor_type,application | motor type | use,chimney | motor,product type,
Clogging Test,0,0,2,2,1,1,0.0%,0.0%,testing - product_category | category,clogging test - test_type | application,,,category | product category,application | test type
Concrete Vibrator Motor,1,1,2,3,1,3,50.0%,100.0%,vibrator motor - motor_type | product_type,concrete vibrator motor - product_type |||| concrete vibrator - application | type,product type,vibrator motor,motor type,application | type
Cooler Motor,3,1,4,3,2,1,75.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler motor - application | motor_type | use,application | motor type | use,cooler motor,product type,
Cooler Motor 1 Inch,2,1,4,5,2,2,50.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler motor - application | motor_type |||| 1 inch - stack_height | size | core_size,application | motor type,cooler motor,product type | use,core size | size | stack height
Cooler Motor 1 Inch Kit (aluminium),2,1,4,8,2,4,50.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,Cooler Motor - application | motor_type |||| 1 Inch - stack_height | size | core_size |||| Kit - type |||| aluminium - winding_material | material,application | motor type,cooler motor,product type | use,core size | material | size | stack height | type | winding material
Cooler Motor 7 Sutt,2,1,4,5,2,2,50.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler motor - application | motor_type |||| 7 sutt - stack_height | core_size | size,application | motor type,cooler motor,product type | use,core size | size | stack height
Copper Carbon Brush For Slipring Motor,2,0,4,7,2,3,50.0%,0.0%,slip ring motor - motor_type | product_type |||| automotive - application | use,copper carbon brush - product_name | item |||| copper - material | composition |||| slipring motor - application | use | compatible_device,application | use,,motor type | product type,compatible device | composition | item | material | product name
Crane Current Collector Carbon Brush,2,1,4,6,3,3,50.0%,33.3%,crane - application | use |||| automotive - application | use |||| brush - product_category | category,Carbon Brush - product_name | item_type |||| Crane - application | use |||| Current Collector - function | component_type,application | use,crane,category | product category,component type | function | item type | product name
Crane Duty Geared Motor With Brake,2,0,4,6,2,3,50.0%,0.0%,gear motor - motor_type | product_type |||| crane - application | use,crane duty - application | duty_type |||| geared motor - motor_type | gear_motor |||| brake - feature | accessory,application | motor type,,product type | use,accessory | duty type | feature | gear motor
Crane Geared Brake Motor,3,1,4,6,2,4,75.0%,50.0%,brake motor - motor_type | product_type |||| crane - application | use,crane - application | use |||| geared - feature | gearbox |||| brake - feature | brake_type |||| motor - motor_type,application | motor type | use,crane,product type,brake type | feature | gearbox
Crompton,3,1,3,3,1,1,100.0%,100.0%,crompton - brand | manufacturer | company,Crompton - brand | manufacturer | company,brand | company | manufacturer,crompton,,
Crompton  1 HP Mini Sergeant Motor,5,3,8,7,3,4,62.5%,100.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,crompton - brand |||| 1 hp - horsepower | power | hp |||| mini sergeant - model | series |||| motor - motor_type,brand | horsepower | hp | motor type | power,1 hp | crompton | motor,company | manufacturer | product type,model | series
Crompton  1.5HP 2800RPM  Foot Mounted Motor,10,2,13,10,5,5,76.9%,40.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1.5 hp - power | horsepower | hp |||| 2800 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,Crompton - brand | manufacturer |||| 1.5HP - horsepower | power | hp |||| 2800RPM - rpm | speed |||| Foot Mounted - mounting | mounting_type |||| Motor - motor_type,brand | horsepower | hp | manufacturer | motor type | mounting | mounting type | power | rpm | speed,crompton | motor,company | product type | rated speed,
Crompton  2HP  2800RPM Flange Floor  Mounted  Motor,7,2,11,9,4,5,63.6%,50.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| 2800 rpm - speed | rpm | rated_speed,Crompton - brand |||| 2HP - horsepower | power | hp |||| 2800RPM - rpm | speed |||| Flange Floor Mounted - mounting | mounting_type |||| Motor - motor_type,brand | horsepower | hp | motor type | power | rpm | speed,crompton | motor,company | manufacturer | product type | rated speed,mounting | mounting type
Crompton  3HP 1440RPM  Foot Cum Flange Motor,6,3,11,8,4,4,54.5%,75.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| 1440 rpm - speed | rpm | rated_speed,crompton - brand |||| 3 hp - horsepower | power | hp |||| 1440 rpm - rpm | speed |||| foot cum flange - mounting | mounting_type,brand | horsepower | hp | power | rpm | speed,1440 rpm | 3 hp | crompton,company | manufacturer | motor type | product type | rated speed,mounting | mounting type
Crompton 0.5hp Motor,0,0,8,0,3,0,0.0%,0.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 0.5 hp - power | horsepower | hp,,,,brand | company | horsepower | hp | manufacturer | motor type | power | product type,
Crompton 2HP  Flange Mounted  Motor,8,2,10,8,4,4,80.0%,50.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| flange mount - mounting_type | mounting,Crompton - brand | manufacturer |||| 2HP - horsepower | power | hp |||| Flange Mounted - mounting | mounting_type |||| Motor - motor_type,brand | horsepower | hp | manufacturer | motor type | mounting | mounting type | power,crompton | motor,company | product type,
Crompton 2hp Gf6834 Single Phase Electric Motor,6,2,10,9,4,5,60.0%,50.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| single phase - phase | supply_phase,crompton - brand |||| 2hp - horsepower | power | hp |||| gf6834 - model | model_number |||| single phase - phase | phase_type |||| electric motor - motor_type,brand | horsepower | hp | motor type | phase | power,crompton | single phase,company | manufacturer | product type | supply phase,model | model number | phase type
Crompton 2hp Gf6834 Single Phase Electric Motor 1440 Rpm,8,3,13,11,5,6,61.5%,60.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed,crompton - brand |||| 2hp - horsepower | power | hp |||| gf6834 - model | model_number |||| single phase - phase | phase_type |||| 1440 rpm - rpm | speed |||| electric motor - motor_type,brand | horsepower | hp | motor type | phase | power | rpm | speed,1440 rpm | crompton | single phase,company | manufacturer | product type | rated speed | supply phase,model | model number | phase type
Crompton Electric Motor,3,1,5,4,2,2,60.0%,50.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type,Crompton - brand | manufacturer |||| Electric Motor - product_type | category,brand | manufacturer | product type,crompton,company | motor type,category
Crompton Geared Motor,3,1,5,4,2,2,60.0%,50.0%,crompton - brand | manufacturer | company |||| gear motor - motor_type | product_type,Crompton - brand | manufacturer |||| Geared Motor - motor_type | type,brand | manufacturer | motor type,crompton,company | product type,type
Crompton Greaves 15HP 960RPM  Foot Mounted  Motor,10,2,13,10,5,5,76.9%,40.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| 15 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,Crompton Greaves - brand | manufacturer |||| 15HP - horsepower | power | hp |||| 960RPM - rpm | speed |||| Foot Mounted - mounting | mounting_type |||| Motor - motor_type,brand | horsepower | hp | manufacturer | motor type | mounting | mounting type | power | rpm | speed,crompton greaves | motor,company | product type | rated speed,
Crompton Greaves Flameproof IE3 Motor,7,3,9,8,4,4,77.8%,75.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| flame proof - enclosure | protection |||| ie3 - efficiency_class | efficiency,Crompton Greaves - brand | manufacturer | company |||| Flameproof - enclosure | protection_type |||| IE3 - efficiency_class | efficiency |||| Motor - motor_type,brand | company | efficiency | efficiency class | enclosure | manufacturer | motor type,crompton greaves | ie3 | motor,product type | protection,protection type
Crompton Greaves Industrial Motors,5,1,5,7,2,3,100.0%,50.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type,Crompton Greaves - brand | manufacturer | company |||| Industrial - application | use |||| Motors - motor_type | product_type,brand | company | manufacturer | motor type | product type,crompton greaves,,application | use
Crompton Greaves Motor,4,2,5,4,2,2,80.0%,100.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type,Crompton Greaves - brand | manufacturer | company |||| Motor - motor_type,brand | company | manufacturer | motor type,crompton greaves | motor,product type,
Crompton Induction Motors,3,1,5,5,2,2,60.0%,50.0%,crompton - brand | manufacturer | company |||| induction motor - motor_type | product_type,Crompton - brand | manufacturer |||| Induction Motors - motor_type | type | technology,brand | manufacturer | motor type,crompton,company | product type,technology | type
Crompton Industrial Motors 75 hp,6,2,8,8,3,4,75.0%,66.7%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 75 hp - power | horsepower | hp,Crompton - brand | manufacturer |||| Industrial - application | segment |||| Motors - product_type |||| 75 hp - horsepower | power | hp,brand | horsepower | hp | manufacturer | power | product type,75 hp | crompton,company | motor type,application | segment
Crompton Motor 10 HP 960 Rpm,6,3,11,7,4,3,54.5%,75.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,crompton - brand |||| 10 hp - horsepower | power | hp |||| 960 rpm - rpm | speed | rotation_speed,brand | horsepower | hp | power | rpm | speed,10 hp | 960 rpm | crompton,company | manufacturer | motor type | product type | rated speed,rotation speed
Crompton Single Phase 0.5 HP Flange Motor,5,3,10,8,4,4,50.0%,75.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 0.5 hp - power | horsepower | hp |||| single phase - phase | supply_phase,Crompton - brand |||| Single Phase - phase | phase_type |||| 0.5 HP - horsepower | power | hp |||| Flange Motor - mounting | mounting_type,brand | horsepower | hp | phase | power,0.5 hp | crompton | single phase,company | manufacturer | motor type | product type | supply phase,mounting | mounting type | phase type
Crompton Single Phase Electric Motor,4,2,7,6,3,3,57.1%,66.7%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| single phase - phase | supply_phase,Crompton - brand | manufacturer |||| Single Phase - phase | phase_type |||| Electric Motor - motor_type | type,brand | manufacturer | motor type | phase,crompton | single phase,company | product type | supply phase,phase type | type
Crompton Single Phase Motor,4,3,7,5,3,3,57.1%,100.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| single phase - phase | supply_phase,crompton - brand | manufacturer |||| single phase - phase | phase_type |||| motor - motor_type,brand | manufacturer | motor type | phase,crompton | motor | single phase,company | product type | supply phase,phase type
Crompton Single Phase Vibrator,4,2,7,7,3,3,57.1%,66.7%,crompton - brand | manufacturer | company |||| vibrator motor - motor_type | product_type |||| single phase - phase | supply_phase,crompton - brand | manufacturer |||| single phase - phase | phase_type |||| vibrator - type | product_type | application,brand | manufacturer | phase | product type,crompton | single phase,company | motor type | supply phase,application | phase type | type
DANFOSS ACTUATOR AME435,4,3,10,6,3,3,40.0%,100.0%,danfoss - brand | manufacturer | company |||| AME435 - model_number | part_number | model |||| actuator - application | use |||| actuator - product_category | category,danfoss - brand | manufacturer |||| actuator - product_type | type |||| ame435 - model | part_number,brand | manufacturer | model | part number,actuator | ame435 | danfoss,application | category | company | model number | product category | use,product type | type
DC Carbon,1,1,4,4,2,2,25.0%,50.0%,dc - current_type | supply_type |||| automotive - application | use,DC - motor_type | current_type |||| Carbon - material | component_material,current type,dc,application | supply type | use,component material | material | motor type
DC GEAR MOTOR,1,0,4,2,2,1,25.0%,0.0%,gear motor - motor_type | product_type |||| dc - current_type | supply_type,dc gear motor - motor_type | gear_motor,motor type,,current type | product type | supply type,gear motor
DC Motor,1,1,4,2,2,1,25.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,DC Motor - motor_type | type,motor type,dc motor,current type | product type | supply type,type
DC Motor Carbon Brushes,2,1,6,4,3,2,33.3%,33.3%,dc motor - motor_type | product_type |||| dc - current_type | supply_type |||| automotive - application | use,carbon brushes - product_type | part |||| dc motor - application | for,application | product type,dc motor,current type | motor type | supply type | use,for | part
DC Shunt Motor,1,0,4,2,2,1,25.0%,0.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,dc shunt motor - motor_type | shunt,motor type,,current type | product type | supply type,shunt
DC motor 5.5,1,1,4,4,2,2,25.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,DC motor - motor_type | type |||| 5.5 - power | rating,motor type,dc motor,current type | product type | supply type,power | rating | type
DHARMENDRA,0,0,0,2,0,1,N/A,N/A,,DHARMENDRA - brand | manufacturer,,,,brand | manufacturer
DOL STRTERS,0,0,2,3,1,1,0.0%,0.0%,starter - product_category | category,dol starters - product_type | starter_type | type,,,category | product category,product type | starter type | type
DZ Gear Motor Brushed DC Motor,2,2,4,8,3,4,50.0%,66.7%,dc motor - motor_type | product_type |||| gear motor - motor_type | product_type |||| dc - current_type | supply_type,DZ - brand | manufacturer |||| Gear Motor - motor_type | type |||| Brushed - commutation | technology |||| DC Motor - current_type | motor_class,current type | motor type,dc motor | gear motor,product type | supply type,brand | commutation | manufacturer | motor class | technology | type
Danfoss/Eaton Char-Lynn 2000 series,2,0,3,5,1,3,66.7%,0.0%,danfoss - brand | manufacturer | company,Danfoss/Eaton - brand | manufacturer |||| Char-Lynn - product_line | series |||| 2000 series - model_series | series,brand | manufacturer,,company,model series | product line | series
Dc Brake For Electric Motor,1,0,4,6,2,2,25.0%,0.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,dc brake - product_type | component | brake_type |||| electric motor - application | compatibility | use,product type,,current type | motor type | supply type,application | brake type | compatibility | component | use
Dc fan motor,4,2,6,5,3,3,66.7%,66.7%,fan motor - motor_type | product_type |||| dc - current_type | supply_type |||| fan - application | use,dc fan motor - motor_type | type |||| fan - application | use |||| dc - current_type,application | current type | motor type | use,dc | fan,product type | supply type,type
Delton Three Single Phase Oil Starter,1,0,6,5,2,3,16.7%,0.0%,single phase - phase | supply_phase |||| starter - application | use |||| starter - product_category | category,Delton - brand |||| Three Single Phase - phase | phase_type |||| Oil Starter - type | starter_type,phase,,application | category | product category | supply phase | use,brand | phase type | starter type | type
Die Cast Rotors,0,0,2,5,1,2,0.0%,0.0%,rotor - product_category | category,rotors - product_type | component |||| die cast - manufacturing_process | process | material_type,,,category | product category,component | manufacturing process | material type | process | product type
Direct Drive Motor For Juki,1,0,2,5,1,2,50.0%,0.0%,motor - motor_type | product_type,Direct Drive Motor - motor_type | type |||| Juki - compatible_brand | for_brand | application,motor type,,product type,application | compatible brand | for brand | type
Direct On Line Starter DOL Motor Starter (DMC),3,0,4,9,2,4,75.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,Direct On Line Starter - product_type | starter_type | type |||| DOL - abbreviation | acronym |||| Motor Starter - application | use |||| DMC - brand | manufacturer,application | product type | use,,motor type,abbreviation | acronym | brand | manufacturer | starter type | type
Direct oil immersed starter skn Kelson U Kit Set,0,0,4,8,1,4,0.0%,0.0%,starter - application | use |||| starter - product_category | category,Direct oil immersed starter - product_type | starter_type |||| skn - model | series |||| Kelson - brand | manufacturer |||| U Kit Set - component | spare_part,,,application | category | product category | use,brand | component | manufacturer | model | product type | series | spare part | starter type
Dol Motor Starter Dmc,1,0,4,6,2,3,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,dol - starter_type | type |||| motor starter - product_type | category |||| dmc - brand | manufacturer,product type,,application | motor type | use,brand | category | manufacturer | starter type | type
Dol Motor Starters,1,0,4,5,2,3,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,motor starters - product_type | category |||| dol - starter_type | type | full_form,product type,,application | motor type | use,category | full form | starter type | type
Dol Motor Starters Paragon,1,0,4,5,2,3,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,dol motor starters - product_type |||| dol - starter_type | type |||| paragon - brand | manufacturer,product type,,application | motor type | use,brand | manufacturer | starter type | type
Domestic Appliance Motors,1,0,2,5,1,2,50.0%,0.0%,motor - motor_type | product_type,domestic appliance - application | use | category |||| motors - product_type | type,product type,,motor type,application | category | type | use
Door Motor .,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,door motor - application | motor_type | use,motor type,,product type,application | use
Door han,0,0,2,3,1,1,0.0%,0.0%,door hardware - product_category | category,Door han - brand | manufacturer | company,,,category | product category,brand | company | manufacturer
Double Motor Vacuum Cleaner,2,1,4,4,2,2,50.0%,50.0%,motor - motor_type | product_type |||| vacuum cleaner - application | use,Double Motor - feature | configuration |||| Vacuum Cleaner - product_type | application,application | product type,vacuum cleaner,motor type | use,configuration | feature
Double Shaft Motor,3,1,4,4,2,2,75.0%,50.0%,motor - motor_type | product_type |||| dual shaft - shaft_type | shaft,double shaft - shaft_type | shaft | feature |||| motor - motor_type,motor type | shaft | shaft type,motor,product type,feature
Dual shaft Motor,3,2,4,4,2,2,75.0%,100.0%,motor - motor_type | product_type |||| dual shaft - shaft_type | shaft,dual shaft - shaft_type | shaft | feature |||| motor - motor_type,motor type | shaft | shaft type,dual shaft | motor,product type,feature
Dwe4235 Armature,0,1,2,6,1,2,0.0%,100.0%,armature - product_category | category,Dwe4235 - model_number | part_number | compatible_model |||| Armature - part_type | component | spare_part,,armature,category | product category,compatible model | component | model number | part number | part type | spare part
EG224 Grade DC Motor Carbon Brush,3,2,9,6,4,3,33.3%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type |||| EG224 - model_number | part_number | model |||| automotive - application | use,EG224 - grade | material_grade |||| DC Motor - application | motor_type |||| Carbon Brush - product_type | component,application | motor type | product type,dc motor | eg224,current type | model | model number | part number | supply type | use,component | grade | material grade
ELLDO cooler motor,3,1,4,5,2,2,75.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,ELLDO - brand | manufacturer |||| cooler motor - application | motor_type | use,application | motor type | use,cooler motor,product type,brand | manufacturer
Eaton Orbital Motor,3,1,5,4,2,2,60.0%,50.0%,eaton - brand | manufacturer | company |||| motor - motor_type | product_type,eaton - brand | manufacturer |||| orbital motor - motor_type | type,brand | manufacturer | motor type,eaton,company | product type,type
Ecoflam Burner Servo Motor,1,1,2,6,1,3,50.0%,100.0%,servo motor - motor_type | product_type,Ecoflam - brand | manufacturer |||| Burner - application | use |||| Servo Motor - motor_type | servo,motor type,servo motor,product type,application | brand | manufacturer | servo | use
Electric Actuator,0,0,4,3,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Electric Actuator - product_type | actuator_type | type,,,application | category | product category | use,actuator type | product type | type
Electric Motor,2,0,2,3,1,1,100.0%,0.0%,motor - motor_type | product_type,electric motor - product_type | category | motor_type,motor type | product type,,,category
Electric Motor Housing,1,0,2,4,1,3,50.0%,0.0%,motor - motor_type | product_type,electric motor housing - product_type | part | component |||| electric motor - application,product type,,motor type,application | component | part
Electric Motor Starters,1,0,4,3,2,1,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,electric motor starters - product_category | category | product_type,product type,,application | motor type | use,category | product category
Electric Motor with Gear,2,0,2,4,1,2,100.0%,0.0%,motor - motor_type | product_type,Electric Motor - product_type | motor_type |||| Gear - feature | component,motor type | product type,,,component | feature
Electric Motors,1,0,2,2,1,1,50.0%,0.0%,motor - motor_type | product_type,Electric Motors - category | product_type,product type,,motor type,category
Electric Motors and Components,1,0,2,3,1,2,50.0%,0.0%,motor - motor_type | product_type,Electric Motors - category | product_type |||| Components - category | parts,product type,,motor type,category | parts
Electric Rotary Actuators,1,0,4,6,1,3,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category,electric rotary actuators - product_type | category |||| rotary - actuator_type | motion_type |||| electric - power_source | drive_type,category,,application | product category | use,actuator type | drive type | motion type | power source | product type
Electric Sliding Gate Motor,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
