Query,Key Match Count,Value Match Count,GT Unique Keys,QMeans Unique Keys,GT Unique Values,QMeans Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),QMeans: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,QMeans Only Keys
Air Vane Motor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,vane motor - type,,,motor type | product type,type
Allen Bradley SMC-3 43A Smart Motor starer,1,1,7,2,3,2,14.3%,33.3%,allen bradley - brand | manufacturer | company |||| motor - motor_type | product_type |||| starter - application | use,allen bradley - brand |||| smc-3 43a - model name/number,brand,allen bradley,application | company | manufacturer | motor type | product type | use,model name/number
Alternator Carbon Brush,0,0,4,2,2,2,0.0%,0.0%,automotive - application | use |||| brush - product_category | category,alternator - usage |||| carbon brush - type,,,application | category | product category | use,type | usage
Alternator Stator Core,0,0,2,2,1,2,0.0%,0.0%,stator - product_category | category,alternator - usage |||| stator core - part type,,,category | product category,part type | usage
Aluminium Bell Housing,0,0,2,2,1,2,0.0%,0.0%,housing - product_category | category,aluminium - material |||| bell - type,,,category | product category,material | type
Aluminium Winding Cooler Fan Motor,0,1,4,3,3,3,0.0%,33.3%,fan motor - motor_type | product_type |||| fan - application | use |||| cooler - application | use,aluminium - winding material |||| cooler - usage |||| motor - part type,,cooler,application | motor type | product type | use,part type | usage | winding material
Arun D O L Motor Starter,0,0,4,2,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,arun - brand |||| motor starter - usage,,,application | motor type | product type | use,brand | usage
Auto Switch for 3 Phase Motor,1,1,4,2,2,2,25.0%,50.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase,3 phase - phase |||| motor - usage,phase,motor,motor type | product type | supply phase,usage
Automatic Door Motor,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,automatic - automation grade |||| door - usage,,,motor type | product type,automation grade | usage
Automatic Rolling Shutters Motor,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,automatic - automation grade |||| rolling shutters - usage,,,motor type | product type,automation grade | usage
Automatic Sliding Gate Motor,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,automatic - automation grade |||| sliding gate - usage,,,motor type | product type,automation grade | usage
Autonic Shaft Encoder,0,0,2,2,1,2,0.0%,0.0%,encoder - product_category | category,autonic - make |||| shaft encoder - encoder type,,,category | product category,encoder type | make
B&R 8BVI0014HWS0.000-1 ACOPOS MULTI INVERTER MODULE I0014S,0,0,5,2,2,2,0.0%,0.0%,I0014S - model_number | part_number | model |||| drive - product_category | category,8bvi0014hws0.000-1 - model name/number |||| b&r - brand,,,category | model | model number | part number | product category,brand | model name/number
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,4,1,9,5,5,5,44.4%,20.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 52 w - power | wattage |||| 24v - voltage | supply_voltage |||| 3000 rpm - speed | rpm | rated_speed,24vdc - voltage |||| 3000 rpm - speed |||| 52 watt - power |||| bldc - motor type |||| sa42bld002 - model name/number,motor type | power | speed | voltage,3000 rpm,product type | rated speed | rpm | supply voltage | wattage,model name/number
BRUSHLESS MOTOR DYS 1800KV,1,0,4,2,2,2,25.0%,0.0%,bldc motor - motor_type | product_type |||| 1800 kv - kv_rating | kv,1800kv - voltage |||| brushless - motor type,motor type,,kv | kv rating | product type,voltage
Bch Submersible Pump Starters,0,0,2,2,2,2,0.0%,0.0%,pump - application | use |||| starter - application | use,bch - brand |||| submersible pump - usage,,,application | use,brand | usage
Belimo Damper Actuator,0,0,4,2,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,belimo - brand |||| damper actuator - structure,,,application | category | product category | use,brand | structure
Belimo Damper Fire Actuator,0,0,4,2,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,belimo - brand |||| damper - structure,,,application | category | product category | use,brand | structure
Bharat Benz Aluminium Housing,0,0,2,2,1,2,0.0%,0.0%,housing - product_category | category,aluminium - material |||| bharat benz - vehicle type/model,,,category | product category,material | vehicle type/model
Bharat Bijlee Electric Motor,1,1,5,2,2,2,20.0%,50.0%,bharat bijlee - brand | manufacturer | company |||| motor - motor_type | product_type,bharat bijlee - brand |||| electric - power source,brand,bharat bijlee,company | manufacturer | motor type | product type,power source
Bharat Bijlee Ie3 Motor,2,2,7,2,3,2,28.6%,66.7%,bharat bijlee - brand | manufacturer | company |||| motor - motor_type | product_type |||| ie3 - efficiency_class | efficiency,bharat bijlee - brand |||| ie3 - efficiency,brand | efficiency,bharat bijlee | ie3,company | efficiency class | manufacturer | motor type | product type,
Blower Motors,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
Bonfiglioli A Series Gear Motor,2,2,5,3,2,3,40.0%,100.0%,bonfiglioli - brand | manufacturer | company |||| gear motor - motor_type | product_type,a series - series |||| bonfiglioli - brand |||| gear motor - motor type,brand | motor type,bonfiglioli | gear motor,company | manufacturer | product type,series
Bosch Carbon Brushes,1,1,7,2,3,2,14.3%,33.3%,bosch - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,bosch - brand |||| carbon brushes - product,brand,bosch,application | category | company | manufacturer | product category | use,product
Bosch parts,1,1,5,1,2,1,20.0%,50.0%,bosch - brand | manufacturer | company |||| spare parts - product_category | category,bosch - brand,brand,bosch,category | company | manufacturer | product category,
Brake Motors,0,0,2,0,1,0,0.0%,0.0%,brake motor - motor_type | product_type,,,,motor type | product type,
Break Motor,0,1,2,1,1,1,0.0%,100.0%,motor - motor_type | product_type,motor - part type,,motor,motor type | product type,part type
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,a2fm-28/61 - model name/number |||| hydraulic piston motor - type,,,motor type | product type,model name/number | type
Bullet Farrata Fan Motor,0,0,4,2,2,2,0.0%,0.0%,fan motor - motor_type | product_type |||| fan - application | use,farrata fan - usage |||| motor - part type,,,application | motor type | product type | use,part type | usage
C Beam Linear Actuator,0,0,4,1,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,linear actuator - actuator type,,,application | category | product category | use,actuator type
CG Make 1hp 1440 rpm Flange Mounted Brake Motor,4,2,13,5,5,5,30.8%,40.0%,cg power - brand | manufacturer | company |||| brake motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| 1440 rpm - speed | rpm | rated_speed |||| flange mount - mounting_type | mounting,1440 rpm - speed |||| 1hp - power |||| brake motor - product |||| cg - brand |||| flange - mounting type,brand | mounting type | power | speed,1440 rpm | brake motor,company | horsepower | hp | manufacturer | motor type | mounting | product type | rated speed | rpm,product
CG Three Phase Crompton Greaves Flameproof Motor,3,1,9,4,4,4,33.3%,25.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| three phase - phase | supply_phase |||| flame proof - enclosure | protection,cg - model name/number |||| crompton - brand |||| flameproof motor - motor type |||| three phase - phase,brand | motor type | phase,three phase,company | enclosure | manufacturer | product type | protection | supply phase,model name/number
CG make  electric motor,1,0,5,2,2,2,20.0%,0.0%,cg power - brand | manufacturer | company |||| motor - motor_type | product_type,cg - brand |||| electric - power source,brand,,company | manufacturer | motor type | product type,power source
COPCARBON BRUSH 25X40X10,0,1,7,2,3,2,0.0%,33.3%,25X40X10 - model_number | part_number | model |||| automotive - application | use |||| brush - product_category | category,25x40x10 - size |||| copcarbon - bristle material,,25x40x10,application | category | model | model number | part number | product category | use,bristle material | size
CP - 101 ACTUATOR,0,1,4,2,1,2,0.0%,100.0%,actuator - application | use |||| actuator - product_category | category,actuator - product |||| cp - 101 - model name/number,,actuator,application | category | product category | use,model name/number | product
CTV 110 Unimotion Servo Motor,0,0,2,1,1,1,0.0%,0.0%,servo motor - motor_type | product_type,ctv 110 - model name/number,,,motor type | product type,model name/number
Carbon Brush,0,0,4,1,2,1,0.0%,0.0%,automotive - application | use |||| brush - product_category | category,carbon - material,,,application | category | product category | use,material
Carbon Brush Holder,0,0,4,2,3,2,0.0%,0.0%,automotive - application | use |||| brush - product_category | category |||| holder - product_category | category,brush holder - product |||| carbon - material,,,application | category | product category | use,material | product
Carbon brush for AC HT Moter,0,0,6,2,3,2,0.0%,0.0%,motor - motor_type | product_type |||| ac - current_type | supply_type |||| automotive - application | use,ac ht moter - usage |||| carbon brush - type,,,application | current type | motor type | product type | supply type | use,type | usage
Chimney Motor,0,2,4,2,2,2,0.0%,100.0%,motor - motor_type | product_type |||| chimney - application | use,chimney - usage |||| motor - part type,,chimney | motor,application | motor type | product type | use,part type | usage
Clogging Test,0,0,2,1,1,1,0.0%,0.0%,testing - product_category | category,clogging - testing type,,,category | product category,testing type
Concrete Vibrator Motor,0,0,2,2,1,2,0.0%,0.0%,vibrator motor - motor_type | product_type,concrete vibrator - usage |||| motor - part type,,,motor type | product type,part type | usage
Cooler Motor,0,1,4,2,2,2,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler - usage |||| motor - part type,,cooler,application | motor type | product type | use,part type | usage
Cooler Motor 1 Inch,0,1,4,1,2,1,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler motor - usage,,cooler motor,application | motor type | product type | use,usage
Cooler Motor 1 Inch Kit (aluminium),0,1,4,1,2,1,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler motor - usage,,cooler motor,application | motor type | product type | use,usage
Cooler Motor 7 Sutt,0,1,4,1,2,1,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler motor - usage,,cooler motor,application | motor type | product type | use,usage
Copper Carbon Brush For Slipring Motor,0,0,4,3,2,3,0.0%,0.0%,slip ring motor - motor_type | product_type |||| automotive - application | use,brush - motor part type |||| copper - material |||| slipring motor - usage,,,application | motor type | product type | use,material | motor part type | usage
Crane Current Collector Carbon Brush,0,1,4,2,3,2,0.0%,33.3%,crane - application | use |||| automotive - application | use |||| brush - product_category | category,carbon brush - product |||| crane - usage,,crane,application | category | product category | use,product | usage
Crane Duty Geared Motor With Brake,0,0,4,0,2,0,0.0%,0.0%,gear motor - motor_type | product_type |||| crane - application | use,,,,application | motor type | product type | use,
Crane Geared Brake Motor,0,1,4,1,2,1,0.0%,50.0%,brake motor - motor_type | product_type |||| crane - application | use,crane - usage,,crane,application | motor type | product type | use,usage
Crompton,1,1,3,1,1,1,33.3%,100.0%,crompton - brand | manufacturer | company,crompton - brand,brand,crompton,company | manufacturer,
Crompton  1 HP Mini Sergeant Motor,2,2,8,3,3,3,25.0%,66.7%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 hp - power |||| crompton - brand |||| mini sergeant - model name/number,brand | power,1 hp | crompton,company | horsepower | hp | manufacturer | motor type | product type,model name/number
Crompton  1.5HP 2800RPM  Foot Mounted Motor,3,1,13,4,5,4,23.1%,20.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1.5 hp - power | horsepower | hp |||| 2800 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,1.5hp - power |||| 2800rpm - full load rpm |||| crompton - brand |||| foot - mounting type,brand | mounting type | power,crompton,company | horsepower | hp | manufacturer | motor type | mounting | product type | rated speed | rpm | speed,full load rpm
Crompton  2HP  2800RPM Flange Floor  Mounted  Motor,3,1,11,4,4,4,27.3%,25.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| 2800 rpm - speed | rpm | rated_speed,2800rpm - speed |||| 2hp - power |||| crompton - brand |||| flange floor mounted - mounting type,brand | power | speed,crompton,company | horsepower | hp | manufacturer | motor type | product type | rated speed | rpm,mounting type
Crompton  3HP 1440RPM  Foot Cum Flange Motor,4,1,11,5,4,5,36.4%,25.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| 1440 rpm - speed | rpm | rated_speed,1440rpm - speed |||| 3hp - power |||| crompton - brand |||| cum - motor type |||| foot - mounting type,brand | motor type | power | speed,crompton,company | horsepower | hp | manufacturer | product type | rated speed | rpm,mounting type
Crompton 0.5hp Motor,2,2,8,3,3,3,25.0%,66.7%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 0.5 hp - power | horsepower | hp,0.5hp - power |||| crompton - brand |||| motor - part type,brand | power,crompton | motor,company | horsepower | hp | manufacturer | motor type | product type,part type
Crompton 2HP  Flange Mounted  Motor,3,1,10,3,4,3,30.0%,25.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| flange mount - mounting_type | mounting,2hp - power |||| crompton - brand |||| flange - mounting type,brand | mounting type | power,crompton,company | horsepower | hp | manufacturer | motor type | mounting | product type,
Crompton 2hp Gf6834 Single Phase Electric Motor,2,2,10,5,4,5,20.0%,50.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| single phase - phase | supply_phase,2hp - power |||| crompton - brand |||| electric motor - product |||| gf6834 - model name/number |||| single phase - no of phase,brand | power,crompton | single phase,company | horsepower | hp | manufacturer | motor type | phase | product type | supply phase,model name/number | no of phase | product
Crompton 2hp Gf6834 Single Phase Electric Motor 1440 Rpm,4,2,13,6,5,6,30.8%,40.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed,1440 rpm - speed |||| 2hp - power |||| crompton - brand |||| electric - power source |||| gf6834 - model name/number |||| single - phase,brand | phase | power | speed,1440 rpm | crompton,company | horsepower | hp | manufacturer | motor type | product type | rated speed | rpm | supply phase,model name/number | power source
Crompton Electric Motor,1,1,5,2,2,2,20.0%,50.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type,crompton - brand |||| electric - power source,brand,crompton,company | manufacturer | motor type | product type,power source
Crompton Geared Motor,1,1,5,1,2,1,20.0%,50.0%,crompton - brand | manufacturer | company |||| gear motor - motor_type | product_type,crompton - brand,brand,crompton,company | manufacturer | motor type | product type,
Crompton Greaves 15HP 960RPM  Foot Mounted  Motor,4,0,13,4,5,4,30.8%,0.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| 15 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,15hp - power |||| 960rpm - speed |||| crompton - brand |||| foot - mounting type,brand | mounting type | power | speed,,company | horsepower | hp | manufacturer | motor type | mounting | product type | rated speed | rpm,
Crompton Greaves Flameproof IE3 Motor,2,1,9,3,4,3,22.2%,25.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| flame proof - enclosure | protection |||| ie3 - efficiency_class | efficiency,crompton - brand |||| flameproof - features |||| ie3 - efficiency,brand | efficiency,ie3,company | efficiency class | enclosure | manufacturer | motor type | product type | protection,features
Crompton Greaves Industrial Motors,1,0,5,2,2,2,20.0%,0.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type,crompton - brand |||| industrial - usage,brand,,company | manufacturer | motor type | product type,usage
Crompton Greaves Motor,1,1,5,2,2,2,20.0%,50.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type,crompton - brand |||| motor - part type,brand,motor,company | manufacturer | motor type | product type,part type
Crompton Induction Motors,2,1,5,2,2,2,40.0%,50.0%,crompton - brand | manufacturer | company |||| induction motor - motor_type | product_type,crompton - brand |||| induction - motor type,brand | motor type,crompton,company | manufacturer | product type,
Crompton Industrial Motors 75 hp,2,2,8,3,3,3,25.0%,66.7%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 75 hp - power | horsepower | hp,75 hp - power |||| crompton - brand |||| industrial - usage,brand | power,75 hp | crompton,company | horsepower | hp | manufacturer | motor type | product type,usage
Crompton Motor 10 HP 960 Rpm,3,3,11,3,4,3,27.3%,75.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,10 hp - power |||| 960 rpm - speed |||| crompton - brand,brand | power | speed,10 hp | 960 rpm | crompton,company | horsepower | hp | manufacturer | motor type | product type | rated speed | rpm,
Crompton Single Phase 0.5 HP Flange Motor,3,3,10,4,4,4,30.0%,75.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 0.5 hp - power | horsepower | hp |||| single phase - phase | supply_phase,0.5 hp - power |||| crompton - brand |||| flange - mounting type |||| single phase - phase,brand | phase | power,0.5 hp | crompton | single phase,company | horsepower | hp | manufacturer | motor type | product type | supply phase,mounting type
Crompton Single Phase Electric Motor,0,0,7,0,3,0,0.0%,0.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| single phase - phase | supply_phase,,,,brand | company | manufacturer | motor type | phase | product type | supply phase,
Crompton Single Phase Motor,2,3,7,3,3,3,28.6%,100.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| single phase - phase | supply_phase,crompton - brand |||| motor - part type |||| single phase - phase,brand | phase,crompton | motor | single phase,company | manufacturer | motor type | product type | supply phase,part type
Crompton Single Phase Vibrator,1,2,7,3,3,3,14.3%,66.7%,crompton - brand | manufacturer | company |||| vibrator motor - motor_type | product_type |||| single phase - phase | supply_phase,crompton - brand/make |||| single phase - phase |||| vibrator - product,phase,crompton | single phase,brand | company | manufacturer | motor type | product type | supply phase,brand/make | product
DANFOSS ACTUATOR AME435,1,3,10,3,3,3,10.0%,100.0%,danfoss - brand | manufacturer | company |||| AME435 - model_number | part_number | model |||| actuator - application | use |||| actuator - product_category | category,actuator - device type |||| ame435 - model name/number |||| danfoss - brand,brand,actuator | ame435 | danfoss,application | category | company | manufacturer | model | model number | part number | product category | use,device type | model name/number
DC Carbon,0,0,4,1,2,1,0.0%,0.0%,dc - current_type | supply_type |||| automotive - application | use,carbon - material,,,application | current type | supply type | use,material
DC GEAR MOTOR,1,0,4,1,2,1,25.0%,0.0%,gear motor - motor_type | product_type |||| dc - current_type | supply_type,dc gear - motor type,motor type,,current type | product type | supply type,
DC Motor,1,1,4,1,2,1,25.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,dc - motor type,motor type,dc,current type | product type | supply type,
DC Motor Carbon Brushes,0,1,6,2,3,2,0.0%,33.3%,dc motor - motor_type | product_type |||| dc - current_type | supply_type |||| automotive - application | use,carbon brushes - product |||| dc motor - usage,,dc motor,application | current type | motor type | product type | supply type | use,product | usage
DC Shunt Motor,1,0,4,1,2,1,25.0%,0.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,dc shunt - motor type,motor type,,current type | product type | supply type,
DC motor 5.5,1,1,4,1,2,1,25.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,dc - motor type,motor type,dc,current type | product type | supply type,
DHARMENDRA,0,0,0,0,0,0,N/A,N/A,,,,,,
DOL STRTERS,0,0,2,1,1,1,0.0%,0.0%,starter - product_category | category,dol - starter type,,,category | product category,starter type
DZ Gear Motor Brushed DC Motor,1,1,4,1,3,1,25.0%,33.3%,dc motor - motor_type | product_type |||| gear motor - motor_type | product_type |||| dc - current_type | supply_type,dc - motor type,motor type,dc,current type | product type | supply type,
Danfoss/Eaton Char-Lynn 2000 series,0,0,3,1,1,1,0.0%,0.0%,danfoss - brand | manufacturer | company,char-lynn 2000 - model name/number,,,brand | company | manufacturer,model name/number
Dc Brake For Electric Motor,1,1,4,2,2,2,25.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,dc - motor type |||| electric motor - usage,motor type,dc,current type | product type | supply type,usage
Dc fan motor,1,2,6,2,3,2,16.7%,66.7%,fan motor - motor_type | product_type |||| dc - current_type | supply_type |||| fan - application | use,dc - motor type |||| fan - usage,motor type,dc | fan,application | current type | product type | supply type | use,usage
Delton Three Single Phase Oil Starter,1,0,6,2,2,2,16.7%,0.0%,single phase - phase | supply_phase |||| starter - application | use |||| starter - product_category | category,delton - brand |||| three single phase - phase,phase,,application | category | product category | supply phase | use,brand
Die Cast Rotors,0,0,2,2,1,2,0.0%,0.0%,rotor - product_category | category,die cast - technique |||| rotors - product,,,category | product category,product | technique
Direct Drive Motor For Juki,1,0,2,2,1,2,50.0%,0.0%,motor - motor_type | product_type,direct drive - motor type |||| juki - brand,motor type,,product type,brand
Direct On Line Starter DOL Motor Starter (DMC),0,1,4,2,2,2,0.0%,50.0%,motor - motor_type | product_type |||| starter - application | use,dol - starter type |||| motor - usage,,motor,application | motor type | product type | use,starter type | usage
Direct oil immersed starter skn Kelson U Kit Set,0,0,4,0,1,0,0.0%,0.0%,starter - application | use |||| starter - product_category | category,,,,application | category | product category | use,
Dol Motor Starter Dmc,0,0,4,3,2,3,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,dmc - material |||| dol - starter type |||| motor starter - usage,,,application | motor type | product type | use,material | starter type | usage
Dol Motor Starters,0,1,4,2,2,2,0.0%,50.0%,motor - motor_type | product_type |||| starter - application | use,dol - starter type |||| motor - usage,,motor,application | motor type | product type | use,starter type | usage
Dol Motor Starters Paragon,0,0,4,2,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,dol - starter type |||| paragon - brand,,,application | motor type | product type | use,brand | starter type
Domestic Appliance Motors,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,domestic - usage,,,motor type | product type,usage
Door Motor .,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,door - usage,,,motor type | product type,usage
Door han,0,0,2,0,1,0,0.0%,0.0%,door hardware - product_category | category,,,,category | product category,
Double Motor Vacuum Cleaner,0,0,4,1,2,1,0.0%,0.0%,motor - motor_type | product_type |||| vacuum cleaner - application | use,double motor - motor,,,application | motor type | product type | use,motor
Double Shaft Motor,0,0,4,0,2,0,0.0%,0.0%,motor - motor_type | product_type |||| dual shaft - shaft_type | shaft,,,,motor type | product type | shaft | shaft type,
Dual shaft Motor,0,0,4,0,2,0,0.0%,0.0%,motor - motor_type | product_type |||| dual shaft - shaft_type | shaft,,,,motor type | product type | shaft | shaft type,
Dwe4235 Armature,0,1,2,2,1,2,0.0%,100.0%,armature - product_category | category,armature - motor part type |||| dwe4235 - model number,,armature,category | product category,model number | motor part type
EG224 Grade DC Motor Carbon Brush,0,2,9,3,4,3,0.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type |||| EG224 - model_number | part_number | model |||| automotive - application | use,brush - motor part type |||| dc motor - usage |||| eg224 - grade,,dc motor | eg224,application | current type | model | model number | motor type | part number | product type | supply type | use,grade | motor part type | usage
ELLDO cooler motor,0,1,4,1,2,1,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler motor - usage,,cooler motor,application | motor type | product type | use,usage
Eaton Orbital Motor,2,1,5,2,2,2,40.0%,50.0%,eaton - brand | manufacturer | company |||| motor - motor_type | product_type,eaton - brand |||| orbital - motor type,brand | motor type,eaton,company | manufacturer | product type,
Ecoflam Burner Servo Motor,0,1,2,3,1,3,0.0%,100.0%,servo motor - motor_type | product_type,burner - usage |||| ecoflam - brand |||| servo motor - type,,servo motor,motor type | product type,brand | type | usage
Electric Actuator,0,0,4,1,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,electric - power source,,,application | category | product category | use,power source
Electric Motor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,electric - power source,,,motor type | product type,power source
Electric Motor Housing,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,electric - power source |||| housing - motor part type,,,motor type | product type,motor part type | power source
Electric Motor Starters,0,1,4,2,2,2,0.0%,50.0%,motor - motor_type | product_type |||| starter - application | use,electric - power source |||| motor - usage,,motor,application | motor type | product type | use,power source | usage
Electric Motor with Gear,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,electric - power source,,,motor type | product type,power source
Electric Motors,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,electric - power source,,,motor type | product type,power source
Electric Motors and Components,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,electric - power source,,,motor type | product type,power source
Electric Rotary Actuators,0,0,4,2,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,electric - power source |||| rotary - actuator type,,,application | category | product category | use,actuator type | power source
Electric Sliding Gate Motor,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,electric - power source |||| sliding gate - usage,,,motor type | product type,power source | usage
Electric Vibratory Motor,0,0,2,1,1,1,0.0%,0.0%,vibrator motor - motor_type | product_type,electric - power source,,,motor type | product type,power source
Electrical carbon Brushes,0,0,4,2,2,2,0.0%,0.0%,automotive - application | use |||| brush - product_category | category,carbon brushes - product |||| electrical - usage,,,application | category | product category | use,product | usage
Electro Pneumatic Valve Positioner,0,1,4,2,2,2,0.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,pneumatic - type |||| valve - usage,,pneumatic,application | category | product category | use,type | usage
Electronic Starter,0,1,4,2,1,2,0.0%,100.0%,starter - application | use |||| starter - product_category | category,electronic - power source |||| starter - feeder type,,starter,application | category | product category | use,feeder type | power source
End Shield Cover,0,0,2,1,1,1,0.0%,0.0%,motor cover - product_category | category,shield - type,,,category | product category,type
Exhaust Fan Motor,0,0,4,2,3,2,0.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| fan - application | use,exhaust fan - usage |||| motor - part type,,,application | motor type | product type | use,part type | usage
Explosion Proof Electric Motor,0,1,4,2,2,2,0.0%,50.0%,motor - motor_type | product_type |||| explosion proof - enclosure | protection,electric - power source |||| explosion proof - features,,explosion proof,enclosure | motor type | product type | protection,features | power source
Explosion Proof Motors,0,0,4,0,2,0,0.0%,0.0%,motor - motor_type | product_type |||| explosion proof - enclosure | protection,,,,enclosure | motor type | product type | protection,
FEBRICATION BLOWER 1HP SINGLE PHASE,2,1,5,3,2,3,40.0%,50.0%,1 hp - power | horsepower | hp |||| single phase - phase | supply_phase,1hp - power |||| febrication blower - blower type |||| single phase - phase,phase | power,single phase,horsepower | hp | supply phase,blower type
FHP Motor,0,1,2,1,1,1,0.0%,100.0%,motor - motor_type | product_type,motor - part type,,motor,motor type | product type,part type
FL28STH45-0674A - Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl28sth45-0674a - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL28STH45-0674AF-14 - Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl28sth45-0674af-14 - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL28STH51-0674AF-Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl28sth51-0674af-hybrid - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL42BLSL01- Regular BLDC Motor,1,0,2,2,2,2,50.0%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type,bldc - motor type |||| fl42blsl01- - model name/number,motor type,,product type,model name/number
FL42BLSL02- Regular BLDC Motor,1,0,2,2,2,2,50.0%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type,bldc - motor type |||| fl42blsl02- - model name/number,motor type,,product type,model name/number
FL42STH33-0956AF- Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl42sth33-0956af- - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
