pc_item_name,glcat_mcat_id,glcat_mcat_name
,903,Carbon Brush
0.5 HP Air Vane Motor,84523,Air Vane Motor
0.5 HP Air Vane Motor,84523,Air Vane Motor
BLDC Motor,15240,Brushless DC Motor
BLDC Motor,15240,Brushless DC Motor
BLDC Motor,15240,Brushless DC Motor
BLDC Motor,15240,Brushless DC Motor
Stator Stack,7863,Stators
0.75 kW Crompton Greaves GD80 Electric Motor,52930,Three Phase Electric Motor
,150022,Motor Parts
,150022,Motor Parts
,150022,Motor Parts
,150022,Motor Parts
,150022,Motor Parts
,14970,AC Servo Motor
,140407,Motor Automatic Switch
Blue Cooling Tower Electric Motor,443716,Tower Fan Motor
Split Ac Outdoor Motor,186009,Air Conditioner Motor
Auto Switch,140407,Motor Automatic Switch
DC Motor Commutator,106204,Commutator
MP 61 Sharp Lift Motor,77611,Lift Motor
Cummins KTA19-M Fuel Control Actuator,444288,Cummins Actuators
Cummins KTA19-M Fuel Control Actuator,444288,Cummins Actuators
Stainless Steel Cooling Tower Motor Pump Set,131722,Cooling Tower Motors
6 Inch Oscillating Fan Motor,28231,Fan Motor
Industrial AC Motor,52915,Industrial Motors
Industrial AC Motor,52915,Industrial Motors
25HP Three Phase Electric Motor,52930,Three Phase Electric Motor
Dc Motors,445,DC Motor
Electric Motors,1274,Electric Motor
Fanuc Servo Motor,445329,Fanuc Servo Motor
Ac Induction Motor,21550,AC Induction Motor
DC Electric Motor,445,DC Motor
Motors,52930,Three Phase Electric Motor
Single Phase 2hp Electric Motor,52927,Single Phase Electric Motor
Demolition Hammer Armature,25,Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
25HP Three Phase Electric Motor,52930,Three Phase Electric Motor
Dc Motors,445,DC Motor
Dc Motors,445,DC Motor
Electric Motors,1274,Electric Motor
Ac Induction Motor,21550,AC Induction Motor
Rexroth Servo Motors,205134,Rexroth Servo Motors
1/4 HP AC Blower Motor,23098,Blower Motors
6 Inch Oscillating Fan Motor,28231,Fan Motor
Crompton IE2 High Efficiency Motors,184340,Energy Efficient Motor
DC Electric Motor,445,DC Motor
Single Phase 2hp Electric Motor,52927,Single Phase Electric Motor
1/4 HP AC Blower Motor,23098,Blower Motors
1/4 HP AC Blower Motor,23098,Blower Motors
Brass Carbon Brush Holder,55772,Carbon Brush Holder
Carbon Brush Holder,55772,Carbon Brush Holder
KNX Universal Actuator 8 Fold 10 Amp ( KAA -8R-10 ),27216,Electric Actuator
Band Sealing Machine Motor,445,DC Motor
Band Sealing Machine Motor,445,DC Motor
Band Sealing Machine Motor,445,DC Motor
Three Phase Induction Motor,131725,Three Phase Induction Motor
2HP Heavy Duty Vibrator Motor - MAXCENT VIBRATOR,2743,Vibration Motor
Rexroth Servo Motors,205134,Rexroth Servo Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Rexroth Servo Motors,205134,Rexroth Servo Motors
DC Electric Motor,445,DC Motor
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
DC Electric Motor,445,DC Motor
Worm Gear Motors,41500,Worm Geared Motor
,21550,AC Induction Motor
,21550,AC Induction Motor
,21550,AC Induction Motor
,21550,AC Induction Motor
,448,Servo Motor
Wet Rice AC Motor,188519,Wet Grinder Motor
GK4 Carbon Brush,190885,Power Tool Carbon Brush
Flange Mounted Motor with DC Brake,6408,Flange Motors
IE3 Premium Efficiency Motor,184340,Energy Efficient Motor
Magic Motor Automatic Switch,140407,Motor Automatic Switch
Magic Motor Automatic Switch,140407,Motor Automatic Switch
Magic Motor Automatic Switch,140407,Motor Automatic Switch
METASYS JOHNSON CONTROLS  VARIABLE AIR VOLUME CONTROLLER,216939,Johnson Controls Actuators
METASYS JOHNSON CONTROLS  VARIABLE AIR VOLUME CONTROLLER,216939,Johnson Controls Actuators
Asr Servotron Servo Motor,14970,AC Servo Motor
Fully Automatic Star-Delta Starter,33567,Motor Starter
AC Three Phase Induction Motor,131725,Three Phase Induction Motor
CHROMTECH Aluminium Exhaust Motor,28080,Exhaust Fan Motor
CHROMTECH Aluminium Exhaust Motor,28080,Exhaust Fan Motor
ABB IE3 37 kW Three Phase Cast Iron Induction Motor,193239,ABB Induction Motor
ABB IE3 37 kW Three Phase Cast Iron Induction Motor,193239,ABB Induction Motor
Omax Star Delta Starter,226794,3 Phase Motor Starter
Ingersoll Rand Air Motor 0.75hp,21680,Air Motors
0.5HP Mixer Grinder Motor,84526,Mixer Grinder Motor
SMC CRA1 Rotary Actuator,36873,Rotary Actuators
SMC CRA1 Rotary Actuator,36873,Rotary Actuators
2200 W PMDC Motor,52920,PMDC Motor
0.5HP Induction Motor,10971,Induction Motors
0.5HP Induction Motor,10971,Induction Motors
Servo Motor,14970,AC Servo Motor
75KW ABB Electric Motor,181114,ABB Electric Motor
Industrial  DC Motor,445,DC Motor
Induction Electric Motor,10971,Induction Motors
Three Phase Electric Motor,52930,Three Phase Electric Motor
Crompton Greaves Electric Motor,126348,Crompton Greaves Motor
Special Purpose Electric Motor,52930,Three Phase Electric Motor
FHP Motor,446,FHP Motor
15HP Three Phase Havells Elect Motor,189725,Havells Electric Motor
15HP Three Phase Havells Elect Motor,189725,Havells Electric Motor
15HP Three Phase Havells Elect Motor,189725,Havells Electric Motor
Three Phase Induction Motor,131725,Three Phase Induction Motor
75KW ABB Electric Motor,181114,ABB Electric Motor
75KW ABB Electric Motor,181114,ABB Electric Motor
Electric Motor,52927,Single Phase Electric Motor
Crompton Greaves Electric Motor,126348,Crompton Greaves Motor
T-200 32mm Rotation B Copper Cooler Motor,52897,Cooler Motor
T-200 32mm Rotation B Copper Cooler Motor,52897,Cooler Motor
Geared Dc Motor,25556,DC Geared Motor
Single Phase Electric Motor,52927,Single Phase Electric Motor
Servo Motor,14970,AC Servo Motor
Electric Motor,52927,Single Phase Electric Motor
Single Phase Electric Motor,52927,Single Phase Electric Motor
T-200 32mm Rotation B Copper Cooler Motor,52897,Cooler Motor
T-200 32mm Rotation B Copper Cooler Motor,52897,Cooler Motor
Single Phase Gear Motor,52930,Three Phase Electric Motor
Single Phase Gear Motor,52930,Three Phase Electric Motor
WABCO Spring Brake Acctuator,23776,Brake Actuators
Carbon Holder For Motor,55772,Carbon Brush Holder
Carbon Brush Holder,55772,Carbon Brush Holder
Carbon Brush Leg Holder,55772,Carbon Brush Holder
WABCO Spring Brake Acctuator,23776,Brake Actuators
Helical Gear Unit,29373,Gear Motor
2 HP Three Phase Induction Motor,131725,Three Phase Induction Motor
Single Phase Electric Motor,52927,Single Phase Electric Motor
Single Phase Electric Motor,52927,Single Phase Electric Motor
Single Phase Electric Motor,52927,Single Phase Electric Motor
Single Phase Electric Motor,52927,Single Phase Electric Motor
2 HP Three Phase Induction Motor,131725,Three Phase Induction Motor
2 HP Three Phase Induction Motor,131725,Three Phase Induction Motor
2 HP Three Phase Induction Motor,131725,Three Phase Induction Motor
2 HP Three Phase Induction Motor,131725,Three Phase Induction Motor
Hydraulic Pump Motor,141877,Hydraulic Pump Motor
Cooler Motor,52897,Cooler Motor
Leyland Alternator Slip Ring,37229,Slip Rings
Carbon Brush Holder,55772,Carbon Brush Holder
Special Purpose Electric Motor,52930,Three Phase Electric Motor
Special Purpose Electric Motor,52930,Three Phase Electric Motor
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Helical Gear Unit,29373,Gear Motor
Helical Gear Unit,29373,Gear Motor
Helical Gear Unit,29373,Gear Motor
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Helical Gear Unit,29373,Gear Motor
Helical Gear Unit,29373,Gear Motor
KNX Universal Actuator 8 Fold 10 Amp ( KAA -8R-10 ),27216,Electric Actuator
KNX Universal Actuator 8 Fold 10 Amp ( KAA -8R-10 ),27216,Electric Actuator
KNX Universal Actuator 8 Fold 10 Amp ( KAA -8R-10 ),27216,Electric Actuator
KNX Universal Actuator 8 Fold 10 Amp ( KAA -8R-10 ),27216,Electric Actuator
PPM 4 E PMDC Motor,52920,PMDC Motor
PPM 4 E PMDC Motor,52920,PMDC Motor
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Outdoor Motor,52902,Door Motor
DC Electric Motor,445,DC Motor
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Carbon Brush Holder,55772,Carbon Brush Holder
Three Phase Induction Motor,131725,Three Phase Induction Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
Single Phase 2hp Electric Motor,52927,Single Phase Electric Motor
Non Sparking Water Motor,216767,Non Sparking Motor
Brass Carbon Brush Holder,55772,Carbon Brush Holder
Carbon Holder,55772,Carbon Brush Holder
Carbon Brushes,903,Carbon Brush
V4055 Honeywell Fluid Power Actuator,28339,Fluid Power Actuators
V4055 Honeywell Fluid Power Actuator,28339,Fluid Power Actuators
Inline Gear Motor,43309,Inline Geared Motor
Inline Gear Motor,43309,Inline Geared Motor
Blue Cooling Tower Electric Motor,443716,Tower Fan Motor
Split Ac Outdoor Motor,186009,Air Conditioner Motor
Split Ac Outdoor Motor,186009,Air Conditioner Motor
Split Ac Outdoor Motor,186009,Air Conditioner Motor
Auto Switch,140407,Motor Automatic Switch
V4055 Honeywell Fluid Power Actuator,28339,Fluid Power Actuators
Auto Switch,140407,Motor Automatic Switch
Solenoid Switch ... 391,7852,Starter Solenoid Switches
240 V WEG Electric Motor,657268,Weg Motor
Hindustan Multi Speed Motors,33658,Multi Speed Motor
Outdoor Motor,52902,Door Motor
V4055 Honeywell Fluid Power Actuator,28339,Fluid Power Actuators
Split Ac Outdoor Motor,186009,Air Conditioner Motor
Carbon Brushes,903,Carbon Brush
DC Motor Commutator,106204,Commutator
Auto Part Commutator,106204,Commutator
Auto Part Commutator,106204,Commutator
My1016z2 250w Pmdc Geared Motor,183437,PMDC Geared Motor
Battery Operated Special Purpose Motors,52893,Battery Operated Motor
My1016z2 250w Pmdc Geared Motor,183437,PMDC Geared Motor
3 Phase Motor Starter,226794,3 Phase Motor Starter
3 Phase Motor Starter,226794,3 Phase Motor Starter
3 Phase Motor Starter,226794,3 Phase Motor Starter
MP 61 Sharp Lift Motor,77611,Lift Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
MP 61 Sharp Lift Motor,77611,Lift Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Nema 34 Stepper Motor,18794,Stepper Motor
Cooling Tower Motor,131722,Cooling Tower Motors
Cooling Tower Motor,131722,Cooling Tower Motors
Cummins KTA19-M Fuel Control Actuator,444288,Cummins Actuators
Cummins KTA19-M Fuel Control Actuator,444288,Cummins Actuators
Cummins KTA19-M Fuel Control Actuator,444288,Cummins Actuators
Paco Motor Terminal Plate,137749,Motor Terminal Plate
2HP Heavy Duty Vibrator Motor - MAXCENT VIBRATOR,2743,Vibration Motor
2HP Heavy Duty Vibrator Motor - MAXCENT VIBRATOR,2743,Vibration Motor
2HP Heavy Duty Vibrator Motor - MAXCENT VIBRATOR,2743,Vibration Motor
DMC Motor Starter,33567,Motor Starter
Single Phase Electronic Motor Starter,226793,Single Phase Motor Starter
Single Phase Electronic Motor Starter,226793,Single Phase Motor Starter
Air Brake Direct On Motor Starters,33567,Motor Starter
Air Brake Direct On Motor Starters,33567,Motor Starter
Stainless Steel Cooling Tower Motor Pump Set,131722,Cooling Tower Motors
Stainless Steel Cooling Tower Motor Pump Set,131722,Cooling Tower Motors
Stainless Steel Cooling Tower Motor Pump Set,131722,Cooling Tower Motors
HM0810 Mini Breaker Armature,167444,Motor Armature
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
25HP Three Phase Electric Motor,52930,Three Phase Electric Motor
Crompton IE2 High Efficiency Motors,184340,Energy Efficient Motor
Fanuc Servo Motor,445329,Fanuc Servo Motor
Helical Gear Unit,29373,Gear Motor
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Brake Actuators/ Gattu,23776,Brake Actuators
Omax Star Delta Starter,226794,3 Phase Motor Starter
5HP Three Phase Induction Motor,131725,Three Phase Induction Motor
55 KW Crompton Industrial Motors,193884,Crompton Greaves Industrial Motors
Regular Auto Switch,140407,Motor Automatic Switch
5HP Three Phase Induction Motor,131725,Three Phase Induction Motor
Pmdc Geared Motor,183437,PMDC Geared Motor
MVE-E 4 Pole Electric Vibration Motor,2743,Vibration Motor
MVE-E 4 Pole Electric Vibration Motor,2743,Vibration Motor
Cage Rotor And Wound Rotor,156253,Wound Rotor Induction Motor
50 Hz Electric Motors,52927,Single Phase Electric Motor
50 Hz Electric Motors,52927,Single Phase Electric Motor
PMDC Motor,52920,PMDC Motor
"MY6812 24VDC 150W, 2750 RPM Electric Motor (Chain)",445,DC Motor
Cooling Tower Motor,131722,Cooling Tower Motors
Cooling Tower Motor,131722,Cooling Tower Motors
0.5HP Mixer Grinder Motor,84526,Mixer Grinder Motor
0.5HP Mixer Grinder Motor,84526,Mixer Grinder Motor
Leyland Alternator Slip Ring,37229,Slip Rings
Leyland Alternator Slip Ring,37229,Slip Rings
V Type Carbon Brush Holder,55772,Carbon Brush Holder
Two Stage Helical Gear Motor,29373,Gear Motor
B5 Flange Mounted Cooling Tower Motors,131722,Cooling Tower Motors
B5 Flange Mounted Cooling Tower Motors,131722,Cooling Tower Motors
B5 Flange Mounted Cooling Tower Motors,131722,Cooling Tower Motors
SMC CRA1 Rotary Actuator,36873,Rotary Actuators
SMC CRA1 Rotary Actuator,36873,Rotary Actuators
SMC CRA1 Rotary Actuator,36873,Rotary Actuators
EF-3/3 Electric Terminal Connector Plate,137749,Motor Terminal Plate
EF-3/3 Electric Terminal Connector Plate,137749,Motor Terminal Plate
2200 W PMDC Motor,52920,PMDC Motor
2200 W PMDC Motor,52920,PMDC Motor
2200 W PMDC Motor,52920,PMDC Motor
2200 W PMDC Motor,52920,PMDC Motor
Single Phase Electric Motor,52927,Single Phase Electric Motor
Three Phase Motor,2415,Three Phase Motor
Three Phase Motor,2415,Three Phase Motor
Servo Motor,14970,AC Servo Motor
Three Phase Induction Motor,131725,Three Phase Induction Motor
Three Phase Electric Motor,52930,Three Phase Electric Motor
T-200 32mm Rotation B Copper Cooler Motor,52897,Cooler Motor
FHP Motor,446,FHP Motor
Motor Centrifugal Switch,13633,Centrifugal Switch
Motor Centrifugal Switch,13633,Centrifugal Switch
Three Phase Motor,2415,Three Phase Motor
Three Phase Motor,2415,Three Phase Motor
Three Phase Motor,2415,Three Phase Motor
Three Phase Motor,2415,Three Phase Motor
Geared Dc Motor,25556,DC Geared Motor
Geared Dc Motor,25556,DC Geared Motor
Geared Dc Motor,25556,DC Geared Motor
Single Phase Electric Motor,52927,Single Phase Electric Motor
0.5HP Induction Motor,10971,Induction Motors
0.5HP Induction Motor,10971,Induction Motors
15HP Three Phase Havells Elect Motor,189725,Havells Electric Motor
Three Phase Induction Motor,131725,Three Phase Induction Motor
Three Phase Induction Motor,131725,Three Phase Induction Motor
Three Phase Induction Motor,131725,Three Phase Induction Motor
Three Phase Induction Motor,131725,Three Phase Induction Motor
75KW ABB Electric Motor,181114,ABB Electric Motor
75KW ABB Electric Motor,181114,ABB Electric Motor
75KW ABB Electric Motor,181114,ABB Electric Motor
75KW ABB Electric Motor,181114,ABB Electric Motor
75KW ABB Electric Motor,181114,ABB Electric Motor
Industrial  DC Motor,445,DC Motor
Induction Electric Motor,10971,Induction Motors
Electric Motor,52927,Single Phase Electric Motor
Electric Motor,52927,Single Phase Electric Motor
Electric Motor,52927,Single Phase Electric Motor
Electric Motor,52927,Single Phase Electric Motor
Three Phase Electric Motor,52930,Three Phase Electric Motor
Crompton Greaves Electric Motor,126348,Crompton Greaves Motor
Crompton Greaves Electric Motor,126348,Crompton Greaves Motor
Crompton Greaves Electric Motor,126348,Crompton Greaves Motor
T-200 32mm Rotation B Copper Cooler Motor,52897,Cooler Motor
Single Phase 2hp Electric Motor,52927,Single Phase Electric Motor
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
6 Inch Oscillating Fan Motor,28231,Fan Motor
6 Inch Oscillating Fan Motor,28231,Fan Motor
Torque Motors,19705,Torque Motor
Torque Motors,19705,Torque Motor
Siemens IE3 Standard Motor,184089,Siemens Electric Motor
Industrial AC Motor,52915,Industrial Motors
Industrial AC Motor,52915,Industrial Motors
25HP Three Phase Electric Motor,52930,Three Phase Electric Motor
25HP Three Phase Electric Motor,52930,Three Phase Electric Motor
25HP Three Phase Electric Motor,52930,Three Phase Electric Motor
Motors,52930,Three Phase Electric Motor
Motors,52930,Three Phase Electric Motor
Motors,52930,Three Phase Electric Motor
Crompton IE2 High Efficiency Motors,184340,Energy Efficient Motor
Crompton IE2 High Efficiency Motors,184340,Energy Efficient Motor
Electric Motors,1274,Electric Motor
Electric Motors,1274,Electric Motor
Multi Speed Flameproof Motors,203386,Hindustan AC Motor
Multi Speed Flameproof Motors,203386,Hindustan AC Motor
Multi Speed Flameproof Motors,203386,Hindustan AC Motor
Fanuc Servo Motor,445329,Fanuc Servo Motor
Fanuc Servo Motor,445329,Fanuc Servo Motor
Fanuc Servo Motor,445329,Fanuc Servo Motor
Ac Induction Motor,21550,AC Induction Motor
Ac Induction Motor,21550,AC Induction Motor
Ac Induction Motor,21550,AC Induction Motor
Ac Induction Motor,21550,AC Induction Motor
DC Electric Motor,445,DC Motor
Single Phase 2hp Electric Motor,52927,Single Phase Electric Motor
Single Phase 2hp Electric Motor,52927,Single Phase Electric Motor
Single Phase 2hp Electric Motor,52927,Single Phase Electric Motor
Single Phase 2hp Electric Motor,52927,Single Phase Electric Motor
Demolition Hammer Armature,25,Armature
Demolition Hammer Armature,25,Armature
Demolition Hammer Armature,25,Armature
Demolition Hammer Armature,25,Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Rexroth Servo Motors,205134,Rexroth Servo Motors
1/4 HP AC Blower Motor,23098,Blower Motors
Torque Motors,19705,Torque Motor
Siemens IE3 Standard Motor,184089,Siemens Electric Motor
Siemens IE3 Standard Motor,184089,Siemens Electric Motor
25HP Three Phase Electric Motor,52930,Three Phase Electric Motor
Dc Motors,445,DC Motor
Motors,52930,Three Phase Electric Motor
Electric Motors,1274,Electric Motor
Fanuc Servo Motor,445329,Fanuc Servo Motor
Fanuc Servo Motor,445329,Fanuc Servo Motor
Ac Induction Motor,21550,AC Induction Motor
Ac Induction Motor,21550,AC Induction Motor
Ac Induction Motor,21550,AC Induction Motor
DC Electric Motor,445,DC Motor
DC Electric Motor,445,DC Motor
DC Electric Motor,445,DC Motor
DC Electric Motor,445,DC Motor
DC Electric Motor,445,DC Motor
DC Electric Motor,445,DC Motor
DC Electric Motor,445,DC Motor
Non Sparking Water Motor,216767,Non Sparking Motor
Non Sparking Water Motor,216767,Non Sparking Motor
Non Sparking Water Motor,216767,Non Sparking Motor
Industrial AC Motor,52915,Industrial Motors
Demolition Hammer Armature,25,Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
HM0810 Mini Breaker Armature,167444,Motor Armature
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
Vacuum Cleaner Motor,40749,Vacuum Cleaner Motors
1/4 HP AC Blower Motor,23098,Blower Motors
1/4 HP AC Blower Motor,23098,Blower Motors
1/4 HP AC Blower Motor,23098,Blower Motors
6 Inch Oscillating Fan Motor,28231,Fan Motor
6 Inch Oscillating Fan Motor,28231,Fan Motor
Torque Motors,19705,Torque Motor
ABB Electric Motor 1HP 750rpm,181114,ABB Electric Motor
Geco Vibro Motor,2743,Vibration Motor
Geco Vibro Motor,2743,Vibration Motor
Geco Vibro Motor,2743,Vibration Motor
Geco Vibro Motor,2743,Vibration Motor
Geco Vibro Motor,2743,Vibration Motor
,131725,Three Phase Induction Motor
,131725,Three Phase Induction Motor
,131725,Three Phase Induction Motor
,131725,Three Phase Induction Motor
Bharat Bijlee MD20L233 Series Standard Flame Proof Low Voltage Motor,21079,Flame Proof Motors
MaF-1 Single Phase DOL Starter,26266,DOL Starter
Motar Starter Repair,174217,Starters Repair Service
Flpwp DOL Starter,26266,DOL Starter
Flpwp DOL Starter,26266,DOL Starter
Direct On Line Dol Starters,26266,DOL Starter
,21079,Flame Proof Motors
High Power Stepper Linear Actuator 20DBM-L,32181,Linear Actuator
Arrow M4Q045-CA27-04 9 W AC Motor,444,AC Motor
Arrow M4Q045-CA27-04 9 W AC Motor,444,AC Motor
Arrow M4Q045-CA27-04 9 W AC Motor,444,AC Motor
Three Phase Mobile Pump Starter,146491,Pump Starter
Motor Dol Starter,26266,DOL Starter
Aluminum Bell Housing,136623,Bell Housing
Aluminum Bell Housing,136623,Bell Housing
MaF-1 Single Phase DOL Starter,26266,DOL Starter
MaF-1 Single Phase DOL Starter,26266,DOL Starter
MaF-1 Single Phase DOL Starter,26266,DOL Starter
Exhaust Fan Motor,28080,Exhaust Fan Motor
Kirloskar Motors,185261,Kirloskar Electric Motor
High Torque Geared Brushed DC Motor,25556,DC Geared Motor
High Torque Geared Brushed DC Motor,25556,DC Geared Motor
Star Delta Submersible Starter,33567,Motor Starter
,29373,Gear Motor
Crompton Flameproof 15hp Motor 2pole,193884,Crompton Greaves Industrial Motors
Crompton Flameproof 15hp Motor 2pole,193884,Crompton Greaves Industrial Motors
Crompton Flameproof 15hp Motor 2pole,193884,Crompton Greaves Industrial Motors
Crompton Flameproof 15hp Motor 2pole,193884,Crompton Greaves Industrial Motors
Crompton Flameproof 15hp Motor 2pole,193884,Crompton Greaves Industrial Motors
Double Blower Cooler Motor,52897,Cooler Motor
AC Shaded Pole Gear Motors,36931,Shaded Pole Motors
,10971,Induction Motors
,10971,Induction Motors
Single Phase Induction Motor,9483,Single Phase Induction Motor
Reduced Voltage Motor Starter,33567,Motor Starter
Motor 3000 RPM,445,DC Motor
AC Shaded Pole Gear Motors,36931,Shaded Pole Motors
,9484,Single Phase Motors
ABB Electric Motor 1HP 750rpm,181114,ABB Electric Motor
ABB Electric Motor 1HP 750rpm,181114,ABB Electric Motor
,131725,Three Phase Induction Motor
,131725,Three Phase Induction Motor
,131725,Three Phase Induction Motor
,131725,Three Phase Induction Motor
,131725,Three Phase Induction Motor
,131725,Three Phase Induction Motor
Exhaust Fan Motor,28080,Exhaust Fan Motor
Automatic Rolling Shutter Gear Motor,77612,Rolling Shutter Motor
Vibrator Motor,2743,Vibration Motor
Exhaust Fan Motor,28080,Exhaust Fan Motor
Industrial Electric Motor,52927,Single Phase Electric Motor
,52927,Single Phase Electric Motor
Foot Mounted Brake Motor,21078,Brake Motors
,29373,Gear Motor
Industrial Elgi Electric Motor,52930,Three Phase Electric Motor
Swing Gate Automatic Motor,29337,Gate Motor
Motor Dol Starter,26266,DOL Starter
Synchronous Motor,19219,Single Phase AC Synchronous Motor
,52927,Single Phase Electric Motor
Panasonic Induction Motor,205985,Panasonic Induction Motors
Panasonic Induction Motor,205985,Panasonic Induction Motors
Panasonic Induction Motor,205985,Panasonic Induction Motors
Panasonic Induction Motor,205985,Panasonic Induction Motors
Swing Gate Automatic Motor,29337,Gate Motor
Single Phase Water Pum Motor Stator Rotor,7863,Stators
Single Phase Water Pum Motor Stator Rotor,7863,Stators
Single Phase Water Pum Motor Stator Rotor,7863,Stators
Single Phase Water Pum Motor Stator Rotor,7863,Stators
,12256,Soft Starters
,149795,Slip Ring Starter
,10834,Hydraulic Motor
Direct On Line Dol Starters,26266,DOL Starter
,1275,Permanent Magnet Motor
Panasonic Servo Motors,187161,Panasonic AC Servo Motor
Helical Inline Geared Motor,43308,Helical Geared Motor
,5084,Pneumatic Actuators
Servo Motor Repair Facility,168060,Servo Motor Repair
Servo Motor Repair Facility,168060,Servo Motor Repair
Servo Motor Repair Facility,168060,Servo Motor Repair
Servo Motor Repair Facility,168060,Servo Motor Repair
T-200 32mm Rotation B Copper Cooler Motor,52897,Cooler Motor
Special Purpose Electric Motor,52930,Three Phase Electric Motor
Special Purpose Electric Motor,52930,Three Phase Electric Motor
FHP Motor,446,FHP Motor
FHP Motor,446,FHP Motor
Motor Centrifugal Switch,13633,Centrifugal Switch
Motor Centrifugal Switch,13633,Centrifugal Switch
Motor Centrifugal Switch,13633,Centrifugal Switch
Motor Centrifugal Switch,13633,Centrifugal Switch
Three Phase Motor,2415,Three Phase Motor
Three Phase Motor,2415,Three Phase Motor
Three Phase Motor,2415,Three Phase Motor
Three Phase Motor,2415,Three Phase Motor
Three Phase Motor,2415,Three Phase Motor
Geared Dc Motor,25556,DC Geared Motor
Geared Dc Motor,25556,DC Geared Motor
Single Phase Electric Motor,52927,Single Phase Electric Motor
Single Phase Electric Motor,52927,Single Phase Electric Motor
Single Phase Electric Motor,52927,Single Phase Electric Motor
0.5HP Induction Motor,10971,Induction Motors
0.5HP Induction Motor,10971,Induction Motors
15HP Three Phase Havells Elect Motor,189725,Havells Electric Motor
Servo Motor,14970,AC Servo Motor
Servo Motor,14970,AC Servo Motor
Servo Motor,14970,AC Servo Motor
Three Phase Induction Motor,131725,Three Phase Induction Motor
Three Phase Induction Motor,131725,Three Phase Induction Motor
75KW ABB Electric Motor,181114,ABB Electric Motor
75KW ABB Electric Motor,181114,ABB Electric Motor
Industrial  DC Motor,445,DC Motor
Industrial  DC Motor,445,DC Motor
Induction Electric Motor,10971,Induction Motors
Electric Motor,52927,Single Phase Electric Motor
Three Phase Electric Motor,52930,Three Phase Electric Motor
Crompton Greaves Electric Motor,126348,Crompton Greaves Motor
Crompton Greaves Electric Motor,126348,Crompton Greaves Motor
T-200 32mm Rotation B Copper Cooler Motor,52897,Cooler Motor
